,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.6417078744167867,2.4291117976945857,0.0,0.0,0.0,47/77,16.27%,IL2RG;IL18R1;HMOX1;TLR2;PIM1;CSF1;EBI3;TNFRSF1B;CCR1;FAS;CSF3R;IL6ST;CSF2RB;PIK3R5;CCL7;IFNGR2;IL2RA;CD14;IL12RB1;SOCS1;TGFB1;IL1R2;ACVR1B;IL1B;GRB2;CSF2RA;IL10RB;CD38;IL13RA1;ITGA4;IL17RA;MYD88;CBL;CD44;IFNAR1;SOCS3;LTB;IL4R;CXCL1;TNF;STAM2;IFNGR1;STAT3;PTPN2;IRF1;STAT1;CXCL13
2,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.6180741178927376,2.367135502334606,0.0,0.0,0.0,55/95,22.09%,TDRD7;TMEM140;CCRL2;ISG15;CSF1;OASL;IFIT2;BST2;IFIH1;RSAD2;IFIT3;TRIM21;PLSCR1;IRF7;IFITM2;EPSTI1;UBE2L6;IFI30;IFITM1;ISG20;CASP1;IFITM3;IRF2;SAMD9L;NMI;SELL;HELZ2;PSME1;RIPK2;ELF1;GBP2;ADAR;GBP4;SAMD9;IL4R;CMPK2;SP110;PSMB9;IFI35;IRF1;TRIM5;BATF2;TRIM25;DDX60;EIF2AK2;PARP12;PARP9;CD47;TXNIP;NUB1;TAP1;USP18;CASP8;B2M;TRAFD1
3,prerank,KEGG_2021_Human__Osteoclast differentiation,0.5823099987913958,2.3166906331200745,0.0,0.0,0.0,65/113,20.28%,FCGR3A;LILRA6;FCGR1A;LILRA2;TYROBP;NCF1;FCGR2A;OSCAR;LILRB4;SPI1;NCF2;CSF1;LILRB3;CSF1R;LILRA3;SIRPB1;LILRA5;SIRPA;RELB;IFNGR2;LILRB1;LILRB2;NCF4;SOCS1;TGFB1;SQSTM1;IL1B;IL1A;LILRA1;LCP2;TGFBR2;GRB2;NFKBIA;MAPK1;NFKB2;JAK1;LCK;FYN;BTK;IKBKB;PIK3CA;CHUK;TAB2;IFNAR1;SOCS3;TGFBR1;MAP2K1;NFKB1;PIK3CB;TNF;CREB1;RELA;PPP3CB;IFNGR1;PIK3CD;STAT1;GAB2;PPP3R1;PLCG2;TNFRSF1A;IL1R1;AKT3;FOSL2;TRAF6;SYK
4,prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.5555215896789852,2.3120071264277757,0.0,0.0,0.0,87/177,14.87%,C3AR1;MARCO;TNFAIP6;CCL2;CCRL2;FPR1;EMP3;IL18R1;P2RX7;TNFSF15;TLR2;CYBB;AQP9;CSF1;CMKLR1;EBI3;CLEC5A;BST2;BEST1;TNFRSF1B;STAB1;CSF3R;IRAK2;EDN1;RHOG;IRF7;PIK3R5;PTGER2;SCN1B;CCL7;IFNGR2;PLAUR;MXD1;OLR1;CD14;ITGA5;ACVR1B;LDLR;IFITM1;ICAM1;IL1B;IL1A;CDKN1A;CD48;LCP2;RNF144B;IL7R;PTGER4;PDE4B;PTPRE;FFAR2;TIMP1;NMI;IL10RA;GCH1;NFKBIA;KCNA3;KLF6;MEFV;NAMPT;SELL;PTAFR;CCL20;SCARF1;LYN;HIF1A;GPR132;LCK;ADM;RGS16;SLC11A2;SLAMF1;GNAI3;GABBR1;RIPK2;IFNAR1;NOD2;P2RX4;C5AR1;IL4R;TLR1;NFKB1;CXCR6;SLC31A2;ABI1;PTGIR;RELA
5,prerank,KEGG_2021_Human__NOD-like receptor signaling pathway,0.5535196165267416,2.2804930198773388,0.0,0.00019841421256267216,0.001,87/143,26.68%,TRPM2;CCL2;NLRC4;CARD16;P2RX7;CYBB;TRPV2;GABARAP;TLR4;CASP5;CARD17;IRF7;RHOA;GBP1;PSTPIP1;GABARAPL2;CASP1;NLRP12;IL1B;HSP90AA1;BIRC2;TNFAIP3;TANK;ATG5;AIM2;GBP5;NFKBIA;CARD8;MAPK1;MEFV;NAMPT;OAS2;BIRC3;JAK1;ANTXR2;IKBKB;XIAP;MYD88;TRAF3;FADD;IRAK4;CASP4;CHUK;TAB2;RIPK2;IFNAR1;NOD2;TBK1;GBP2;PRKCD;RNASEL;GBP4;ITPR2;TICAM1;CXCL1;NFKB1;TNF;RELA;PKN1;OAS3;STAT1;HSP90AB1;BCL2;IKBKE;NEK7;TRPM7;NFKBIB;TXNIP;TRAF6;RBCK1;IL6;ATG12;TAB3;ITPR1;CASP8;GABARAPL1;CYBA;TP53BP1;VDAC2;NAIP;GSDMD;IFNAR2;BCL2L1;CTSB;IFI16;GBP3;YWHAE
6,prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,0.5266614382913137,2.2374614520138367,0.0,0.00016534517713556014,0.001,105/191,20.88%,TNFAIP6;CCL2;CCRL2;TLR2;CSF1;IFIT2;PLEK;BCL2A1;IFIH1;TNIP1;RELB;EDN1;IL6ST;MARCKS;IFNGR2;CCL4;PLAUR;SOD2;MXD1;OLR1;SQSTM1;LDLR;NINJ1;ICAM1;JAG1;IL1B;EIF1;BIRC2;IL1A;CDKN1A;TNFAIP3;TANK;DDX58;IL7R;EGR2;RNF19B;PTGER4;PDE4B;LITAF;PTPRE;PLAU;DRAM1;GCH1;NFKBIA;KLF10;PFKFB3;DENND5A;DNAJB4;KLF6;NAMPT;CCL20;CD83;CEBPB;BIRC3;TRAF1;NFKB2;MAFF;SLC2A3;IER5;MCL1;TNIP2;CFLAR;PNRC1;NFKBIE;YRDC;PTX3;TGIF1;GADD45B;TIPARP;TNC;CD44;SLC2A6;RIPK2;DUSP5;SOCS3;TRIB1;B4GALT5;CXCL1;CCNL1;NFKB1;EGR3;KLF2;TNF;RELA;TNFAIP8;SNN;IRF1;TNFAIP2;STAT5A;ETS2;PPP1R15A;PHLDA2;EHD1;PHLDA1;IER3;BCL6;ZFP36;BCL3;SLC16A6;SPHK1;FOSL2;ACKR3;TAP1;IL6;ABCA1
7,prerank,KEGG_2021_Human__NF-kappa B signaling pathway,0.5837341320415974,2.237162154300873,0.0,0.00014172443754476583,0.001,53/88,21.14%,TRADD;LY96;BCL2A1;TLR4;TNFSF14;RELB;CCL4;CD14;TNFSF13B;ICAM1;IL1B;BIRC2;TNFAIP3;DDX58;PLAU;NFKBIA;BIRC3;TRAF1;LYN;NFKB2;LCK;BTK;PRKCB;CFLAR;BCL10;IRAK1;IKBKB;XIAP;MYD88;GADD45B;TRAF3;IRAK4;CHUK;TAB2;PRKCQ;LTB;TICAM1;CXCL1;NFKB1;CD40LG;TNF;RELA;TRIM25;BCL2;PLCG2;CCL19;EDARADD;PIAS4;TNFRSF1A;IL1R1;TRAF6;SYK;TAB3
8,prerank,KEGG_2021_Human__Hepatitis B,0.54588116428656,2.232737362419255,0.0,0.0001240088828516701,0.001,72/138,22.98%,BIRC5;TLR2;BAX;IFIH1;E2F3;TLR4;JAK3;FAS;IRF7;MMP9;STAT4;TGFB1;CDKN1A;DDX58;EGR2;CCNA2;PTK2B;TGFBR2;GRB2;BID;NFKBIA;YWHAZ;MAPK1;JAK1;PRKCB;YWHAQ;IRAK1;IKBKB;MYD88;NRAS;TRAF3;FADD;PIK3CA;YWHAB;IRAK4;CHUK;TAB2;IFNAR1;TBK1;TGFBR1;MAP2K1;APAF1;TICAM1;NFKB1;EGR3;ELK1;RB1;PIK3CB;TNF;CREB1;RELA;ATF2;STAT3;PIK3CD;STAT1;STAT5A;BCL2;IKBKE;STAT5B;SOS2;EP300;KRAS;AKT3;PRKCA;TRAF6;IL6;ATF4;CASP8;CASP10;RAF1;MYC;STAT6
10,prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.5245820235770957,2.2226906820417383,0.0,0.00011023011809037342,0.001,93/195,16.30%,TNFAIP6;TDRD7;CCL2;FCGR1A;SLAMF7;FPR1;ISG15;PIM1;OASL;CMKLR1;IFIT2;BST2;IFIH1;RSAD2;MT2A;IFIT3;TRIM21;PLSCR1;LYSMD2;P2RY14;FAS;TOR1B;IRF7;CSF2RB;METTL7B;CCL7;IFITM2;EPSTI1;SOD2;UBE2L6;STAT4;SOCS1;IFI30;ISG20;CASP1;LATS2;ICAM1;MTHFD2;CD274;CDKN1A;TNFAIP3;IFITM3;LCP2;ZBP1;DDX58;PDE4B;IRF2;UPP1;SAMD9L;NMI;IL10RA;GCH1;NFKBIA;PSMB2;NAMPT;CD38;OAS2;HELZ2;HIF1A;IFIT1;PSME1;EIF4E3;MX2;GZMA;MYD88;CASP4;RIPK2;SOCS3;XAF1;PTPN6;HLA-G;ADAR;APOL6;GBP4;IL4R;PNP;BPGM;NFKB1;SAMHD1;CMPK2;GBP6;STAT3;SP110;PSMB9;PTPN2;IFI35;IRF1;TNFAIP2;BATF2;OAS3;STAT1;SPPL2A;TRIM25
11,prerank,KEGG_2021_Human__Leukocyte transendothelial migration,0.577819997171777,2.1974236193855448,0.0,9.920710628133608e-05,0.001,45/86,24.05%,NCF1;NCF2;CYBB;RAC2;ITGAM;ITGB2;RHOA;CXCR4;MMP9;CD99;NCF4;ICAM1;RHOH;ITGAL;MYL12A;RAP1B;MSN;PTK2B;ACTB;CDC42;RAP1A;SIPA1;PRKCB;VASP;ITGA4;GNAI3;GNAI2;PIK3CA;ACTG1;VAV1;ITK;PIK3CB;RASSF5;PIK3CD;PLCG2;MYL12B;ACTN1;ESAM;PRKCA;PTPN11;CYBA;ROCK2;ROCK1;RAC1;TXK
