,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,MSigDB_Hallmark_2020__Allograft Rejection,0.7011612938188687,2.46890300860558,0.0,0.0,0.0,120/176,19.10%,CCL2;IGSF6;SPI1;SRGN;STAB1;WAS;IL12RB1;LY86;IL2RG;IL10;ITGB2;MMP9;IL1B;ITGAL;IL2RA;STAT4;IRF7;FGR;CCL7;TGFB1;NCF4;SOCS1;CD80;CXCR3;RPL39;CCL4;CCR1;CCR2;CCR5;UBE2N;IL16;PRF1;CD86;EIF5A;INHBA;KLRD1;GPR65;NLRP3;IRF8;ICAM1;CD3E;LCK;CAPG;CD247;IL2RB;TIMP1;LCP2;FCGR2B;PSMB10;ETS1;CD4;CCND3;GZMA;CSK;CD1D;PTPRC;NCR1;ICOSLG;SIT1;CD96;LTB;CD28;EIF3J;MAP4K1;CSF1;CD8B;CD7;FASLG;RIPK2;GZMB;CCL5;CD8A;TRAT1;TLR2;CCND2;ZAP70;TNF;CFP;RPS19;IFNGR2;CRTAM;PRKCB;IRF4;CD3D;CD3G;CD40LG;PTPN6;IL27RA;DEGS1;ITK;ELF4;IL18RAP;CCL19;HIF1A;FLNA;CD2;NCK1;BCL10;UBE2D1;HCLS1;BCAT1;IL6;HLA-DRA;CXCL13;BCL3;GBP2;TLR6;HLA-DOB;CD47;HLA-E;TLR1;CCL22;LYN;HLA-DMA;IFNG;EREG;CTSS;HLA-A;NPM1;RPS3A
2,prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.6805286439285473,2.376996364529493,0.0,0.0,0.0,108/179,18.80%,MSR1;CCL2;EMP3;TNFAIP6;CMKLR1;EBI3;BST2;CLEC5A;STAB1;CYBB;OLR1;FPR1;IL10;MARCO;TNFRSF1B;AQP9;IL1B;PLAUR;PIK3R5;IFITM1;P2RX7;CD14;CSF3R;IRF7;PROK2;CCL7;ADRM1;IL1A;RHOG;OSM;PDE4B;ITGA5;TNFSF15;CCRL2;CD48;IL10RA;KCNA3;BEST1;INHBA;CD70;MEFV;NLRP3;ICAM1;LCK;GPR132;IL2RB;PTPRE;TIMP1;LCP2;RGS16;IL7R;SLAMF1;TNFRSF9;FFAR2;CCL20;ICOSLG;CCR7;GPR183;RGS1;CSF1;SCN1B;RIPK2;CCL5;KLF6;CXCR6;NFKBIA;TLR2;SELL;IFNGR2;NAMPT;C5AR1;SLC31A2;CD69;IL18R1;IRAK2;IL18RAP;PTGER4;HIF1A;LTA;PTGIR;TNFSF9;IL6;SPHK1;CDKN1A;MXD1;HBEGF;P2RX4;NMI;NFKB1;EDN1;GNAI3;SEMA4D;PTAFR;MYC;NOD2;RASGRP1;PTGER2;TLR1;CCL22;ICAM4;LYN;ADM;RNF144B;SCARF1;GCH1;EREG;RELA;ABCA1
3,prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,0.6484508887519653,2.2785749981593537,0.0,0.0,0.0,132/195,23.89%,CCL2;TNFAIP6;BTG3;MSC;BCL2A1;OLR1;PLEK;IL1B;PLAUR;G0S2;DUSP2;RELB;CD80;IL1A;PDE4B;CCL4;EGR2;CCRL2;NINJ1;CD83;INHBA;TRAF1;ICAM1;NR4A3;PTPRE;IL7R;TNFRSF9;PTX3;NFKBIE;PFKFB3;AREG;CCL20;CXCL2;EIF1;GADD45B;CXCL3;SOD2;ICOSLG;SLC2A3;GPR183;ID2;SOCS3;CSF1;TNFAIP3;YRDC;RIPK2;CCL5;BIRC3;KLF6;NFKBIA;TLR2;LITAF;TNF;PNRC1;NFIL3;IFNGR2;NAMPT;SLC2A6;EGR3;CSF2;CXCL1;TNIP1;TNFAIP8;CD69;NFKB2;TNIP2;DENND5A;MAFF;STAT5A;PTGER4;TNFSF9;BTG1;IL6;PTGS2;MCL1;PHLDA2;CEBPB;SPHK1;DRAM1;IFIT2;CDKN1A;MXD1;MARCKS;PLAU;HBEGF;SNN;NFKB1;TRIB1;EDN1;TANK;KLF2;SERPINB8;RNF19B;KLF10;IER3;BCL3;EHD1;CD44;MYC;BIRC2;ZFP36;PHLDA1;SLC16A6;KDM6B;IER5;DUSP1;GCH1;IFIH1;RELA;ABCA1;JUNB;PPP1R15A;KYNU;MAP3K8;ETS2;FOSL2;BTG2;IRF1;MAP2K3;TGIF1;REL;FOS;DDX58;IER2;CCNL1;DUSP5;CXCL10;SQSTM1;ZC3H12A;SAT1;FOSL1;ATF3
4,prerank,KEGG_2021_Human__Viral protein interaction with cytokine and cytokine receptor,0.699658228605648,2.257789508726482,0.0,0.0,0.0,46/76,17.06%,CCL2;CSF1R;CCL3;IL2RG;IL10;TNFRSF1B;IL2RA;TNFSF14;CCL7;CXCR3;CCL4;CCR1;IL10RA;CCR2;CCR5;CX3CR1;CCL3L1;CCL4L2;CXCR4;CCL18;IL2RB;CCL8;CCL20;CXCL2;CXCL3;CCR7;TNFRSF10C;CCL23;CSF1;CCL5;TNF;CXCL5;XCL1;CXCL1;IL18R1;IL18RAP;CCL19;LTA;CXCR1;CXCR2;IL6;CCR4;CXCL13;CCR6;XCL2;CCL22
5,prerank,KEGG_2021_Human__Coronavirus disease,0.629299060886129,2.2289004292503347,0.0,0.0,0.0,126/183,27.48%,C1QB;C1QA;C1QC;CCL2;RPS27L;FCGR2A;RPL36AL;CYBB;TLR8;IL1B;RPS10;RPL39;ISG15;RPL17;TLR4;UBA52;NLRP3;RPL41;RPL36A;RPL38;RPS28;RSL24D1;RPS29;RPS13;TLR7;CASP1;NFKBIA;TLR2;RPL31;TNF;RPS27;F13A1;RPS19;PRKCB;IRAK1;MMP1;RPS15A;C5AR1;RPS24;CSF2;FAU;RPL6;IRAK4;RPS8;JAK1;RPL36;MX2;PLCG2;PIK3CD;IL6;RPL28;RPL32;RPL37;RPL21;RPL26;RPS21;RPS25;NFKBIB;RPL35A;HBEGF;RPS26;MYD88;NRP1;RPL14;RPS15;NFKB1;RPL10;RPS27A;RPL18A;RPL22;SYK;RPL24;RPL27;RPL19;OAS2;RPS16;RPLP2;RPS7;IKBKE;CFD;RPL11;RPL34;RPL30;RPS3;RPL35;IFIH1;RPL22L1;RELA;RPL37A;RPS3A;RPSA;RPS23;RPL12;TAB2;ADAM17;RPS17;RPL8;FOS;DDX58;OAS3;RPS12;RPS9;RPL9;RPL15;TRAF3;IKBKG;RPS5;CXCL10;RPL23;RPL29;RPL23A;RPL18;RPL13;RPL7A;IL6R;IFNAR1;RPLP1;TBK1;RPS2;RPL5;OAS1;MX1;MAPK13;IFNAR2;RPS6;TNFRSF1A
6,prerank,KEGG_2021_Human__Leishmaniasis,0.6904122574714356,2.2280503272695555,0.0,0.0,0.0,48/69,21.80%,FCGR3A;FCGR2A;CYBB;NCF1;IL10;ITGB2;FCGR1A;IL1B;TGFB1;NCF4;IL1A;TLR4;CR1;FCGR3B;ITGAM;ITGA4;NCF2;HLA-DPB1;NFKBIA;TLR2;TNF;MARCKSL1;IFNGR2;PRKCB;IRAK1;ELK1;HLA-DPA1;PTPN6;IRAK4;JAK1;HLA-DRB1;PTGS2;NFKBIB;MYD88;NFKB1;HLA-DRA;EEF1A1;CYBA;HLA-DOB;HLA-DMA;IFNG;RELA;HLA-DQB1;TAB2;HLA-DQA2;IFNGR1;FOS;HLA-DQA1
7,prerank,KEGG_2021_Human__Rheumatoid arthritis,0.6754860001818546,2.2265341442031725,0.0,0.0,0.0,55/82,22.13%,CCL2;ACP5;CCL3;ITGB2;TNFSF13B;ATP6V1F;IL1B;ITGAL;TGFB1;CD80;IL1A;TLR4;CD86;CCL3L1;ICAM1;HLA-DPB1;CCL20;CXCL2;CXCL3;LTB;CD28;CSF1;CTLA4;CCL5;TLR2;TNF;MMP1;HLA-DPA1;CXCL5;CSF2;CXCL1;ATP6V1B2;HLA-DRB1;CTSL;ATP6V1G1;ATP6V0E1;ATP6V0C;IL6;FLT1;ATP6V0D1;ATP6V1E1;HLA-DRA;ATP6V0B;HLA-DOB;ATP6V1D;HLA-DMA;IFNG;HLA-DQB1;ATP6V1C1;TCIRG1;HLA-DQA2;TNFSF13;FOS;HLA-DQA1;ATP6V0A1
8,prerank,KEGG_2021_Human__Ribosome,0.6451228602130703,2.224562088097408,0.0,0.0,0.0,99/126,29.82%,RPS27L;RPL36AL;RPS10;RPL39;RPL17;UBA52;RPL41;RPL36A;MRPL33;RPL38;RPS28;RSL24D1;RPS29;RPS13;RPL31;RPS27;RPS19;MRPL34;RPS15A;RPS24;MRPL36;FAU;MRPS6;RPL6;RPS8;RPL36;RPL28;RPL32;RPL37;RPL21;MRPS18C;RPL26;RPS21;RPS25;RPL35A;RPS26;RPL14;RPS15;RPL10;RPS27A;RPL18A;MRPL16;RPL22;MRPL20;RPL24;RPL27;RPL19;RPS16;MRPS10;MRPS15;RPLP2;RPS7;MRPL10;MRPS18A;RPL11;RPL34;MRPL1;RPL30;RPS3;RPL35;MRPL28;RPL22L1;MRPS12;RPL37A;RPS3A;RPSA;MRPL15;RPS23;RPL12;RPS17;RPL8;RPS12;RPS9;RPL9;RPL15;MRPL12;RPS5;MRPS14;RPL23;RPL29;RPL23A;RPL18;RPL13;RPL7A;MRPL9;MRPS21;MRPL22;RPLP1;RPS2;RPL5;MRPL11;RPS6;MRPS11;MRPL17;MRPL13;RPL27A;RPL7;RPS14;MRPL27
9,prerank,KEGG_2021_Human__Osteoclast differentiation,0.6543839771547038,2.211212068215195,0.0,0.0,0.0,73/115,23.97%,FCGR3A;ACP5;TYROBP;LILRB4;CSF1R;TREM2;SPI1;FCGR2A;NCF1;JUND;LILRA2;FCGR1A;LILRB1;SIRPB1;LILRA5;IL1B;LILRA3;LILRA6;RELB;LILRB3;LILRA1;TGFB1;NCF4;SOCS1;IL1A;LILRB2;OSCAR;LCK;LCP2;FCGR2B;BTK;FYN;SIRPA;FCGR3B;GRB2;NCF2;SOCS3;CSF1;TGFBR2;SIRPG;NFKBIA;TNF;LILRA4;IFNGR2;NFKB2;MAP2K1;JAK1;PLCG2;PIK3CD;NFKB1;GAB2;AKT3;SYK;CAMK4;MITF;CYBA;IFNG;PPP3R1;NFATC2;RELA;JUNB;FOSL2;TAB2;PPARG;IL1R1;IFNGR1;FOS;RAC1;IKBKG;TEC;SQSTM1;FOSL1;TGFBR1
10,prerank,KEGG_2021_Human__Chemokine signaling pathway,0.6316960177067804,2.2005363619785157,0.0,0.0,0.0,79/159,17.20%,CCL2;RAC2;GNGT2;CCL3;NCF1;WAS;JAK3;HCK;RASGRP2;PIK3R5;DOCK2;FGR;CCL7;CXCR3;CCL4;CCR1;CCR2;CCR5;CX3CR1;CCL3L1;CCL4L2;CXCR4;CCL18;ADCY7;PIK3R6;GNG2;RAP1B;PREX1;GNG10;GNG5;GRB2;ELMO1;CCL8;CCL20;CXCL2;CXCL3;RAP1A;CCR7;RHOA;CCL23;CDC42;GNAI2;GNB4;CCL5;PIK3CG;CXCR6;ARRB2;NFKBIA;PRKCB;CXCL5;XCL1;CXCL1;ITK;GNG7;CCL19;MAP2K1;CXCR1;CXCR2;PRKACB;PLCG2;PIK3CD;GRK6;ARRB1;GRK5;NFKBIB;NFKB1;GNAI3;AKT3;CCR4;CXCL13;ADCY3;CXCL16;NRAS;PTK2B;CCR6;XCL2;PRKACA;CCL22;LYN
