,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
2,prerank,KEGG_2021_Human__Lysosome,0.7297460855954524,2.42617454416706,0.0,0.0,0.0,28/51,13.96%,CTSA;LAMP1;CTSD;HEXB;GBA;CD164;TPP1;CD63;ASAH1;CTSC;SLC11A2;GNPTG;ATP6AP1;M6PR;CLTC;NPC1;ATP6V1H;NPC2;HEXA;MCOLN1;IGF2R;PSAP;ATP6V0A1;TCIRG1;NEU1;GNS;AP3S1;MANBA
4,prerank,KEGG_2021_Human__Vibrio cholerae infection,0.7232447570013523,2.0533993138984297,0.0,0.003207984316521119,0.006,10/23,11.16%,ADCY3;ATP6V1B2;ATP6V1E1;ATP6V1D;ATP6V1C1;ATP6V0E1;ATP6AP1;ATP6V1H;ATP6V0A1;TCIRG1
6,prerank,MSigDB_Hallmark_2020__KRAS Signaling Up,0.568600012911627,1.9489284899022536,0.0,0.009267510247727677,0.021,10/54,6.45%,MAFB;C3AR1;SLPI;IL2RG;ALDH1A2;CLEC4A;SPP1;FCER1G;AVL9;ADAM17
15,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.5149697293984323,1.8149093820027178,0.0,0.04517911245767243,0.12,25/68,21.67%,GBP4;TAP1;PARP14;IRF2;CSF1;NCOA7;IFI30;TMEM140;TRIM21;IFIH1;CCRL2;EPSTI1;DDX60;TRAFD1;SAMD9L;RIPK2;PARP9;OGFR;STAT2;ADAR;CD47;PLSCR1;CMPK2;IFI35;IFIT2
21,prerank,KEGG_2021_Human__Amyotrophic lateral sclerosis,-0.40544136723105606,-1.7259888258101053,0.0,0.026413162705667275,0.285,47/129,20.47%,NDUFB2;COX6C;GABARAPL1;DCTN3;NDUFA11;ERN1;HNRNPA1;UQCRB;NDUFA4;CHCHD10;TUBA1A;UQCRQ;MAP2K3;UQCRH;COX4I1;COX8A;SRSF3;COX7C;TUBA4A;HSPA5;NDUFA13;FUS;NDUFB7;NDUFA1;GPX1;TUBA1B;RB1CC1;TPR;NDUFB4;COX6A1;CYCS;COX7B;MATR3;PSMD13;RAB8A;NDUFB11;VDAC1;NDUFS5;COX5B;NDUFB6;NDUFB3;XBP1;ATG2A;PSMB6;COX5A;NUP98;DDIT3
17,prerank,KEGG_2021_Human__Staphylococcus aureus infection,-0.5565243255809971,-1.7757252829368886,0.007352941176470588,0.01642801178972503,0.194,9/28,8.21%,HLA-DPB1;HLA-DRB5;HLA-DPA1;CFD;C5AR1;HLA-DMA;HLA-DRA;HLA-DRB1;CAMP
16,prerank,KEGG_2021_Human__Non-alcoholic fatty liver disease,-0.45723418012220896,-1.778888588663936,0.0,0.01693151455491492,0.185,45/79,31.57%,NDUFB2;COX6C;NDUFA11;ERN1;UQCRB;NDUFA4;UQCRQ;UQCRH;COX4I1;COX8A;COX7C;NDUFA13;NDUFB7;NDUFA1;FOS;NDUFB4;COX6A1;CYCS;COX7B;NDUFB11;PIK3CD;NDUFS5;COX5B;NDUFB6;IL1B;NDUFB3;XBP1;COX5A;DDIT3;NDUFC1;UQCR10;COX7A2;NDUFA6;SDHB;NDUFS6;IL1A;SREBF1;NDUFA2;NDUFB10;IRS2;NDUFB1;NDUFAB1;COX6B1;NDUFC2;RXRA
14,prerank,KEGG_2021_Human__Type I diabetes mellitus,-0.6427952682813282,-1.8337764901833875,0.0044943820224719105,0.009058936188735092,0.097,6/19,5.72%,HLA-DPB1;HLA-DRB5;HLA-DPA1;HLA-DMA;HLA-DRA;HLA-DRB1
13,prerank,KEGG_2021_Human__Huntington disease,-0.44572288474700744,-1.837121811797159,0.0,0.009637455780051759,0.095,53/109,26.86%,NDUFB2;COX6C;SLC25A5;CLTB;DCTN3;NDUFA11;ERN1;UQCRB;NDUFA4;TUBA1A;UQCRQ;UQCRH;COX4I1;COX8A;SLC25A6;COX7C;AP2S1;TUBA4A;NDUFA13;NDUFB7;NDUFA1;GPX1;TUBA1B;RB1CC1;NDUFB4;COX6A1;CYCS;COX7B;PSMD13;POLR2F;NDUFB11;POLR2I;VDAC1;NDUFS5;COX5B;NDUFB6;NDUFB3;AP2M1;ATG2A;PSMB6;COX5A;PSMB7;NDUFC1;UQCR10;COX7A2;NDUFA6;SDHB;POLR2L;NDUFS6;POLR2K;PSMB1;CREB5;NDUFA2
12,prerank,KEGG_2021_Human__Cardiac muscle contraction,-0.5932355643291154,-1.8387473831088685,0.002386634844868735,0.010511360668581875,0.094,16/24,23.84%,COX6C;UQCRB;UQCRQ;ATP1B1;UQCRH;COX4I1;COX8A;COX7C;ATP1B3;COX6A1;COX7B;COX5B;ATP2A3;COX5A;UQCR10;COX7A2
