,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.8368262039626158,2.507725677069255,0.0,0.0,0.0,69/90,11.25%,IRF7;RTP4;ISG15;PSMB9;LGALS3BP;IFI44;BST2;UBE2L6;IFIT2;UBA7;OASL;IFI27;IFIT3;HERC6;TAP1;SP110;DHX58;TRAFD1;NMI;RSAD2;PSMB8;IRF9;OGFR;PSME2;ADAR;CMPK2;CD74;GBP2;PARP9;MX1;ISG20;PARP12;STAT2;CNP;SAMD9L;EIF2AK2;MVB12A;CXCL10;CCRL2;SAMD9;DDX60;PARP14;EPSTI1;CASP1;CXCL11;WARS1;MOV10;CSF1;IFIH1;TMEM140;HELZ2;PSME1;CMTR1;LAP3;TRIM26;RNF31;TENT5A;TRIM5;TRIM21;TRIM14;BATF2;B2M;C1S;GBP4;LY6E;PSMA3;IL4R;NUB1;TRIM25
1,prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.7814720961410881,2.479284417081265,0.0,0.0,0.0,103/173,12.37%,OAS3;IRF7;RTP4;IRF8;ISG15;OAS2;PSMB9;LGALS3BP;IFI44;BST2;UBE2L6;IFIT2;OASL;GBP6;IFI27;IFIT3;HERC6;XAF1;TAP1;SP110;DHX58;TRAFD1;NMI;RSAD2;PSMB8;IRF9;OGFR;PSME2;RNF213;ADAR;CMPK2;ZBP1;CD74;STAT1;SAMHD1;MX1;ISG20;PARP12;DDX58;STAT2;SAMD9L;EIF2AK2;CDKN1A;CXCL10;CMKLR1;GCH1;DDX60;PTPN6;CFB;IL18BP;CCL7;PARP14;PML;EPSTI1;CASP1;UPP1;IDO1;CXCL11;IL10RA;WARS1;RBCK1;PNP;IFIH1;HELZ2;PSME1;CMTR1;NLRC5;LAP3;SOCS3;ZNFX1;CASP3;TRIM26;RNF31;MTHFD2;CCL2;NAMPT;MYD88;SOCS1;PTGS2;TRIM21;TRIM14;BATF2;B2M;C1S;GBP4;TNFAIP6;IL15RA;FAS;LY6E;PSMB2;IFNAR2;NFKBIA;TOR1B;PSMA3;IL4R;FPR1;TRIM25;P2RY14;ICAM1;SOD2;IFI30;PSMA2;CD274
2,prerank,KEGG_2021_Human__Proteasome,0.8333638598240855,2.291419082077716,0.0,0.0,0.0,29/43,6.81%,PSMB9;PSMC2;PSMC4;PSMD2;PSMD3;ADRM1;PSMD8;PSMC1;PSMB8;PSME2;PSMC3;PSME3;POMP;PSMB3;PSMF1;PSMA6;PSMD12;PSMD6;PSMB6;PSMA7;PSMA1;PSMA5;PSMB1;PSME1;PSMD13;PSMD7;PSMD14;PSMD4;PSMD11
3,prerank,KEGG_2021_Human__Epstein-Barr virus infection,0.7004342725915917,2.223977338682133,0.0,0.0,0.0,51/153,10.39%,OAS3;IRF7;ISG15;OAS2;PSMC2;PSMC4;PSMD2;TAP1;PSMD3;ADRM1;TRADD;PSMD8;CCND3;PSMC1;BAK1;IRF9;SNW1;STAT1;PSMC3;DDX58;STAT2;NFKBIB;EIF2AK2;CDKN1A;CXCL10;PSMD12;PSMD6;HLA-DQA2;CALR;RELA;TAP2;CASP3;PSMD13;PSMD7;PSMD14;IRAK1;PSMD4;BAX;MAP2K3;PSMD11;BTK;MYD88;B2M;PDIA3;CYCS;FAS;IFNAR2;SAP30;PSMC6;TLR2;NFKBIA
4,prerank,KEGG_2021_Human__Influenza A,0.7042920972436391,2.177939673961721,0.0,0.0,0.0,45/118,11.59%,OAS3;IRF7;OAS2;MAP2K2;TRADD;CCND3;RSAD2;BAK1;IRF9;ADAR;STAT1;MX1;TNFRSF1A;DDX58;STAT2;NFKBIB;EIF2AK2;CXCL10;HLA-DQA2;IFNGR1;RELA;PML;CASP1;IFIH1;ACTG1;EIF2S1;TLR7;SOCS3;CASP3;NXT1;IFNGR2;CCL2;RAB11A;BAX;TICAM1;MYD88;CPSF4;CYCS;FAS;IFNAR2;DNAJC3;NFKBIA;TLR3;TRIM25;ICAM1
5,prerank,KEGG_2021_Human__Hepatitis C,0.6738659304339044,2.077141883568608,0.0,0.0,0.0,34/108,12.63%,OAS3;IRF7;OAS2;MAP2K2;TRADD;RSAD2;BAK1;IRF9;STAT1;MX1;TNFRSF1A;DDX58;PSME3;STAT2;EIF2AK2;CDKN1A;CXCL10;RELA;PPP2R1A;EIF2S1;EIF2AK1;SOCS3;CASP3;YWHAH;PPP2CA;BAX;TICAM1;CYCS;FAS;IFNAR2;NFKBIA;TLR3;TRAF2;MAP2K1
7,prerank,KEGG_2021_Human__Measles,0.6532142061701314,1.9984634563797459,0.0,0.00013073780237824435,0.001,30/107,10.39%,OAS3;IRF7;OAS2;CSNK2B;TRADD;CCND3;BAK1;IRF9;ADAR;STAT1;MX1;DDX58;STAT2;NFKBIB;EIF2AK2;RELA;IFIH1;EIF2S1;EIF2AK1;TLR7;CASP3;IRAK1;BAX;MYD88;CYCS;FAS;FCGR2B;IFNAR2;TLR2;NFKBIA
8,prerank,KEGG_2021_Human__NOD-like receptor signaling pathway,0.6378788353532544,1.9820666498703359,0.0,0.0002287911541619276,0.002,42/127,14.66%,OAS3;IRF7;OAS2;VDAC3;IRF9;DEFA5;CTSB;STAT1;GBP2;IFI16;STAT2;NFKBIB;GABARAP;RELA;CASP1;GBP7;PKN1;RBCK1;BIRC3;TXN2;RNF31;GBP5;CCL2;NAMPT;GSDMD;TICAM1;MYD88;RIPK3;GABARAPL1;PRKCD;GBP4;IFNAR2;TRPM2;NFKBIA;VDAC2;CXCL3;TRAF2;TRIP6;NOD2;IKBKB;RIPK2;CAMP
9,prerank,KEGG_2021_Human__Aminoacyl-tRNA biosynthesis,0.7394019463670195,1.9727454170174494,0.0,0.00030505487221590353,0.003,15/42,9.08%,YARS1;MARS1;SARS1;AARS1;GARS1;KARS1;CARS1;HARS1;WARS1;FARSB;PARS2;RARS1;TARS1;NARS1;FARSA
10,prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.6762957095911385,1.9618705207621072,0.0,0.0002745493849943132,0.003,30/67,11.76%,BAK1;IRF9;LTBR;STAT1;IL1R2;CSF3R;TNFRSF1A;STAT2;CXCL10;CCL7;IFNGR1;HMOX1;PLA2G2A;CD14;CXCL11;CSF1;HAX1;SOCS3;CSF2RA;IFNGR2;MYD88;SOCS1;CCR1;TGFB1;IL15RA;FAS;IL10RB;TLR2;IL4R;CXCL3
