,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,KEGG_2021_Human__Aminoacyl-tRNA biosynthesis,0.8032103952565224,1.8544209103469542,0.0,0.0,0.0,11/44,4.86%,TARS1;QARS1;NARS1;HARS1;EPRS1;DARS1;KARS1;GARS1;IARS1;VARS1;CARS1
9,prerank,KEGG_2021_Human__Cardiac muscle contraction,0.7350284795948981,1.7069236257430989,0.0029585798816568047,0.017085275981350578,0.044,15/53,1.63%,UQCRB;UQCRQ;UQCRHL;COX7A2L;COX7C;COX8A;COX6B1;COX6A1;COX5A;COX4I1;COX7B;COX6C;CYC1;UQCR10;UQCRC1
16,prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,0.5909247396553451,1.6579431961816122,0.0,0.029661937467622534,0.112,36/190,3.75%,SURF1;CYB5R3;UQCRB;ACAA1;UQCRQ;COX7A2L;COX7C;COX8A;COX6B1;COX6A1;COX5A;ATP5F1A;ATP5F1B;ATP5MC1;ATP5MC3;ATP5PD;ATP5PF;COX17;COX4I1;ATP5MF;COX7B;LDHA;ATP5PO;ATP6V0E1;COX6C;CYC1;TOMM70;UQCR10;UQCRC1;GPI;FH;CYCS;ATP5F1C;POR;HCCS;COX15
93,prerank,KEGG_2021_Human__Vibrio cholerae infection,-0.6887826363584416,-1.436881178265422,0.025373134328358207,0.04861728041266657,0.931,8/46,6.72%,ATP6V0C;ATP6V1E1;ATP6V1H;ERO1A;PLCG2;PRKACA;PRKCA;SEC61G
91,prerank,KEGG_2021_Human__Epithelial cell signaling in Helicobacter pylori infection,-0.6564007843030218,-1.4418362305357277,0.021520803443328552,0.045988759930585404,0.917,9/64,8.62%,ATP6V0C;ATP6V1E1;ATP6V1H;ADAM10;RAC1;PLCG2;F11R;CXCL1;CXCL2
90,prerank,KEGG_2021_Human__Aldosterone-regulated sodium reabsorption,-0.7606346638139891,-1.4443762147827817,0.0234009360374415,0.04473348617280412,0.907,9/29,16.42%,ATP1A1;PRKCB;PRKCA;MAPK1;FXYD2;NR3C2;IGF1;SCNN1A;ATP1A3
89,prerank,KEGG_2021_Human__Yersinia infection,-0.6134458806469243,-1.4450986087154412,0.003787878787878788,0.04464895590931928,0.907,20/125,10.99%,ARPC2;ELMO1;ROCK1;GNAQ;GSK3B;PTK2B;RAC1;MAP2K7;WASL;CRKL;AKT3;SKAP2;NFATC2;DOCK1;WAS;RPS6KA2;PIP5K1B;MAPK1;MAP2K6;MAP2K4
88,prerank,MSigDB_Hallmark_2020__Mitotic Spindle,-0.591110825455502,-1.4458724265135212,0.0,0.0447771887089841,0.906,20/198,8.81%,ROCK1;RAB3GAP1;NOTCH2;PCGF5;SSH2;DOCK2;MARCKS;NF1;WASL;RICTOR;SOS1;VCL;BIN1;PDLIM5;ACTN4;KIF1B;GSN;YWHAE;KIF15;FGD6
86,prerank,KEGG_2021_Human__Glycosaminoglycan biosynthesis,-0.7161834349334647,-1.4536631093908652,0.018404907975460124,0.040293049835964295,0.886,15/43,12.83%,B4GALT1;FUT8;CSGALNACT1;EXTL3;CHSY1;ST3GAL3;HS2ST1;CHST15;GLCE;CHST7;CSGALNACT2;UST;HS3ST3A1;EXT1;HS3ST3B1
84,prerank,KEGG_2021_Human__Inflammatory mediator regulation of TRP channels,-0.6666129264974654,-1.4585300284246139,0.00860832137733142,0.03799971342599226,0.873,16/65,14.08%,CALM2;GNAQ;ITPR2;PRKCB;PLCG2;PRKACA;PRKCA;ITPR3;CALM1;CAMK2D;MAP2K6;PLCB4;PRKCE;PLA2G6;PLA2G4B;IGF1
83,prerank,"KEGG_2021_Human__Parathyroid hormone synthesis, secretion and action",-0.6395937381024359,-1.4592941721547543,0.014104372355430184,0.03796990972918756,0.871,17/87,11.84%,ARAF;ATF4;GNAQ;ITPR2;PRKCB;ARRB1;PDE4D;PRKACA;PRKCA;ITPR3;BRAF;LRP6;MAPK1;FGFR1;LRP5;PLCB4;CREB3L2
82,prerank,KEGG_2021_Human__Aldosterone synthesis and secretion,-0.6741935102230576,-1.4652599871098053,0.01002865329512894,0.03503948137849843,0.842,15/68,12.44%,ATF4;ATP1A1;CALM2;GNAQ;ITPR2;PRKCB;CAMK1D;PRKACA;PRKCA;ITPR3;CALM1;CAMK2D;PLCB4;CREB3L2;PRKCE
80,prerank,MSigDB_Hallmark_2020__Notch Signaling,-0.7623245652750653,-1.4722710538258932,0.009630818619582664,0.031829735782690535,0.804,6/32,9.69%,NOTCH2;NOTCH1;ARRB1;PRKCA;SKP1;TCF7L2
