,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.8473399902329998,2.233924819663099,0.0,0.0,0.0,54/80,7.10%,ISG15;IFI27;BST2;IRF7;UBE2L6;RTP4;OASL;IFI44;LGALS3BP;CSF1;PSMB9;PSMB8;TRAFD1;IFIT2;DDX60;TMEM140;HERC6;DHX58;NMI;MX1;SAMD9L;SP110;OGFR;GBP2;PSME2;IRF9;ISG20;IFIT3;TAP1;UBA7;RSAD2;PARP9;CCRL2;STAT2;PSME1;TRIM21;WARS1;GBP4;CNP;IFIH1;PARP14;SAMD9;HELZ2;MOV10;ADAR;PARP12;TRIM5;EIF2AK2;CMTR1;IL4R;CMPK2;TRIM26;EPSTI1;CXCL10
2,prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.7769099380797463,2.1320901244933337,0.0,0.0,0.0,78/142,11.88%,ISG15;IFI27;BST2;IRF7;UBE2L6;RTP4;OASL;IFI44;LGALS3BP;PSMB9;XAF1;PSMB8;TRAFD1;IFIT2;DDX60;HERC6;DHX58;NMI;MX1;SAMD9L;SP110;OGFR;PSME2;IRF9;ISG20;IFIT3;GBP6;TAP1;DDX58;NLRC5;RSAD2;ZBP1;UPP1;CD274;OAS3;PTPN6;STAT2;PSME1;CDKN1A;RNF213;TRIM21;WARS1;GBP4;IFIH1;ZNFX1;PARP14;FAS;NAMPT;HELZ2;ADAR;PARP12;EIF2AK2;CMTR1;IFNAR2;SOCS1;GCH1;IL4R;CMPK2;PML;SOD2;SERPING1;TRIM26;EPSTI1;CXCL10;STAT1;CASP3;ICAM1;B2M;VAMP8;CCL2;BATF2;CASP1;IL18BP;TNFAIP6;IRF1;TNFAIP2;FPR1;IL15RA
4,prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.6857311674816144,1.8333493925333018,0.0,0.002643922987573562,0.009,53/97,19.40%,BST2;IRF7;RTP4;CSF1;CD14;INHBA;NMI;CLEC5A;P2RY2;CCRL2;CDKN1A;PLAUR;RHOG;NAMPT;EIF2AK2;RGS1;PTPRE;FFAR2;GCH1;IL4R;TIMP1;CXCL10;PTAFR;ICAM1;HBEGF;TLR2;CCL2;MXD1;CSF3R;TNFAIP6;IRF1;FPR1;IL15RA;SLC28A2;SLC31A2;RELA;PIK3R5;ABCA1;RIPK2;MSR1;SEMA4D;NOD2;SLAMF1;ADRM1;TNFSF10;CXCL11;NFKBIA;IFNGR2;PTGER2;OSM;C3AR1;LCP2;EMP3
6,prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.7241280513496225,1.8039555429005873,0.0,0.003767590257292326,0.018,27/47,14.48%,CSF1;CD14;IL1R2;IRF9;CSF2RA;STAT2;HMOX1;FAS;TNFRSF1A;BAK1;CXCL3;SOCS1;IFNGR1;IL4R;IL10RB;CXCL10;STAT1;LTBR;TLR2;CSF3R;IRF1;IL15RA;IL13RA1;PIK3R5;MYD88;SOCS3;CCR1
7,prerank,KEGG_2021_Human__Influenza A,0.6513530564249761,1.7462309133847829,0.0,0.00856631047973834,0.047,38/90,16.91%,IRF7;MX1;IRF9;DDX58;RSAD2;OAS3;STAT2;ACTG1;CCND3;IFIH1;FAS;ADAR;EIF2AK2;TNFRSF1A;BAK1;IFNAR2;IFNGR1;PML;CXCL10;STAT1;DNAJC3;CASP3;ICAM1;BAX;TMPRSS4;CCL2;CASP1;NFKBIB;RAB11A;TLR4;RELA;MYD88;SOCS3;BID;TNFSF10;KPNA5;NFKBIA;CYCS
12,prerank,KEGG_2021_Human__Cytokine-cytokine receptor interaction,0.6620805377247829,1.6953383871356402,0.0,0.019300637809287,0.12,32/62,18.70%,CSF1;IL1R2;INHBA;CXCL16;CSF2RA;NODAL;FAS;TNFRSF1A;IL1RN;IFNAR2;CXCL3;CCL8;IFNGR1;CCR9;IL4R;CCL3L3;IL10RB;CXCL10;CCL4L2;LTBR;CCL2;CSF3R;IL15RA;CCR5;IL13RA1;CCR1;CXCR2;TNFSF10;CXCL11;IFNGR2;OSM;IL17RA
14,prerank,KEGG_2021_Human__NOD-like receptor signaling pathway,0.6411559931704551,1.6770397803213586,0.0,0.023342062947435162,0.158,43/86,23.72%,IRF7;IFI16;GBP2;IRF9;GSDMD;GBP7;OAS3;STAT2;GBP4;NAMPT;MAPK13;IFNAR2;GABARAP;CXCL3;CTSB;BIRC3;STAT1;CCL2;CASP1;GBP5;NFKBIB;TLR4;VDAC2;TRAF5;RELA;RIPK2;MYD88;RBCK1;RIPK1;NOD2;NFKBIA;TRAF2;RHOA;CAMP;CYBA;STING1;MCU;GABARAPL1;TRPV2;PRKCD;TXN2;NLRC4;TNFAIP3
15,prerank,KEGG_2021_Human__RIG-I-like receptor signaling pathway,0.690651781238396,1.668187192339563,0.0034802784222737818,0.025183366456638177,0.191,14/36,16.76%,ISG15;IRF7;DHX58;DDX58;IFIH1;MAPK13;CXCL10;AZI2;NFKBIB;RNF125;RELA;RIPK1;NFKBIA;TRAF2
17,prerank,KEGG_2021_Human__Hepatitis C,0.6281430776147273,1.6439641878274356,0.0,0.03489978343597102,0.267,27/80,17.66%,IRF7;MX1;IRF9;DDX58;RSAD2;OAS3;STAT2;CDKN1A;FAS;EIF2AK2;TNFRSF1A;BAK1;IFNAR2;CXCL10;STAT1;CASP3;CLDN1;BAX;RELA;SOCS3;CFLAR;BID;RIPK1;NFKBIA;TRAF2;CYCS;YWHAH
18,prerank,KEGG_2021_Human__Toll-like receptor signaling pathway,0.644408480198461,1.6276966810804852,0.0,0.04068997477875712,0.319,19/55,16.64%,IRF7;CD14;CD80;LBP;MAPK13;SPP1;IFNAR2;CCL3L3;CXCL10;STAT1;CCL4L2;TLR2;TIRAP;TLR4;RELA;MYD88;RIPK1;CXCL11;NFKBIA
