,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.9385636847064928,2.483773597574854,0.0,0.0,0.0,68/90,3.97%,RTP4;IFI27;CXCL10;IRF7;ADAR;HERC6;OASL;RSAD2;IFI44;IFIT3;ISG15;UBA7;UBE2L6;IFIT2;DHX58;IRF9;HELZ2;LGALS3BP;SP110;GBP2;CMPK2;BST2;MX1;TAP1;OGFR;PARP9;TRAFD1;SAMD9L;NMI;EPSTI1;CMTR1;ISG20;PARP14;STAT2;PARP12;IFIH1;EIF2AK2;SAMD9;TMEM140;PSMB9;CCRL2;CSF1;MOV10;TRIM26;TRIM21;PSMB8;TRIM25;CASP1;PSME1;TDRD7;CXCL11;WARS1;B2M;PSME2;GBP4;LY6E;DDX60;MVB12A;NUB1;CNP;RNF31;SLC25A28;NCOA7;TENT5A;TRIM14;TRIM5;IRF1;BATF2
1,prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.8796154942928929,2.4239832981481255,0.0,0.0,0.0,88/172,4.52%,RTP4;IFI27;CXCL10;OAS2;IRF7;ADAR;HERC6;GBP6;OASL;RSAD2;IFI44;IFIT3;OAS3;ISG15;DDX58;UBE2L6;IFIT2;DHX58;IRF9;RNF213;HELZ2;LGALS3BP;SP110;CMPK2;GCH1;XAF1;BST2;MX1;TAP1;OGFR;TRAFD1;SAMD9L;NMI;EPSTI1;PML;CMTR1;ISG20;PARP14;STAT2;PARP12;IFIH1;STAT1;EIF2AK2;ZBP1;PSMB9;SAMHD1;NAMPT;FPR1;NLRC5;TRIM26;TRIM21;TAPBP;PTGS2;PSMB8;TRIM25;PSMB10;CASP1;PSME1;TDRD7;CXCL11;IDO1;WARS1;ZNFX1;B2M;PSME2;UPP1;GBP4;LY6E;DDX60;CASP3;FAS;IL15RA;IL18BP;NFKBIA;SOCS1;RNF31;SLC25A28;IL10RA;VAMP8;TRIM14;CDKN1A;TNFSF10;IRF1;BATF2;MYD88;TNFAIP6;CD274;SOCS3
2,prerank,KEGG_2021_Human__Influenza A,0.8272681431606609,2.2749813574702684,0.0,0.0,0.0,51/115,9.26%,CXCL10;OAS2;IRF7;ADAR;RSAD2;OAS3;DDX58;IRF9;MX1;PML;STAT2;IFIH1;STAT1;EIF2AK2;TLR7;TRIM25;CASP1;TLR3;IL1B;CASP3;FAS;NFKBIA;CPSF4;NFKBIB;TNFRSF1A;BAK1;TNFSF10;TMPRSS4;MYD88;TRADD;BID;SOCS3;TBK1;HLA-DQA2;NLRP3;DNAJC3;CCL2;CCND3;IFNGR1;ICAM1;IKBKB;HLA-DRA;NXT1;FASLG;JAK2;HLA-DMA;NXF1;APAF1;CCL5;CYCS;EIF2S1
3,prerank,KEGG_2021_Human__Measles,0.8010407422759594,2.176884345722255,0.0,0.0,0.0,34/106,9.26%,OAS2;IRF7;ADAR;OAS3;DDX58;IRF9;MX1;STAT2;IFIH1;STAT1;EIF2AK2;TLR7;IL1B;TLR2;CASP3;FAS;NFKBIA;NFKBIB;BAK1;MYD88;TRADD;BID;TBK1;HSPA8;CSNK2B;STAT5B;CCND3;TLR9;IKBKB;STAT5A;FASLG;APAF1;CYCS;EIF2S1
4,prerank,KEGG_2021_Human__Coronavirus disease,0.7589955151724751,2.133290256211254,0.0,0.0,0.0,33/165,7.61%,CXCL10;OAS2;ADAR;OAS3;ISG15;DDX58;IRF9;CGAS;MX1;STAT2;IFIH1;STAT1;EIF2AK2;TLR7;C2;CASP1;TLR3;IL1B;TLR2;NFKBIA;NFKBIB;TNFRSF1A;C1QA;MYD88;C4B;TBK1;MAPK13;NLRP3;CCL2;C1QB;RPL37;IKBKB;C1QC
5,prerank,KEGG_2021_Human__RIG-I-like receptor signaling pathway,0.8546818991905836,2.1260509515702366,0.0,0.0,0.0,16/47,4.74%,CXCL10;IRF7;ISG15;DDX58;DHX58;IFIH1;TRIM25;TKFC;AZI2;NFKBIA;NFKBIB;OTUD5;ATG12;TRADD;TBK1;MAPK13
6,prerank,KEGG_2021_Human__Hepatitis C,0.7733410600156911,2.10071851968614,0.0,0.0,0.0,23/108,4.53%,CXCL10;OAS2;IRF7;RSAD2;OAS3;DDX58;IRF9;MX1;STAT2;STAT1;EIF2AK2;TLR3;CASP3;FAS;NFKBIA;TNFRSF1A;CDKN1A;BAK1;CFLAR;TRADD;BID;SOCS3;TBK1
7,prerank,KEGG_2021_Human__NOD-like receptor signaling pathway,0.7581474233034143,2.090561206653185,0.0,0.0,0.0,42/126,9.83%,OAS2;IRF7;OAS3;IRF9;GBP2;STAT2;STAT1;GBP7;IFI16;NAMPT;GBP5;CASP1;IL1B;GBP4;NLRP12;CAMP;NFKBIA;RNF31;NOD2;NFKBIB;BIRC3;GSDMD;ATG12;TRPM2;MYD88;CYBA;TBK1;MAPK13;GABARAP;NLRP3;RBCK1;ITPR1;TXN2;RIPK2;CCL2;NLRC4;IKBKB;GABARAPL1;CCL5;TRAF2;CTSB;RIPK1
8,prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.7472708845050786,2.0647721167564685,0.0,0.0,0.0,43/161,6.59%,RTP4;CXCL10;IRF7;MXD1;GCH1;BST2;NMI;CSF3R;EIF2AK2;NAMPT;CCRL2;CSF1;FPR1;TNFSF9;TAPBP;CXCL11;TLR3;IL1B;LY6E;TLR2;P2RY2;IL15RA;RGS1;NFKBIA;PLAUR;CLEC5A;NOD2;OSM;IL10RA;RHOG;CDKN1A;PROK2;TNFSF10;IRF1;PIK3R5;TNFAIP6;TLR1;NLRP3;ABCA1;SLC31A2;IL18RAP;RIPK2;CCL2
9,prerank,KEGG_2021_Human__Epstein-Barr virus infection,0.7418579668215506,2.043222312593446,0.0,0.0,0.0,51/153,11.84%,CXCL10;OAS2;IRF7;OAS3;ISG15;DDX58;IRF9;TAP1;STAT2;STAT1;EIF2AK2;TAP2;TAPBP;B2M;TLR2;CASP3;FAS;NFKBIA;SAP30;NFKBIB;CDKN1A;BAK1;MYD88;TRADD;BID;TBK1;MAPK13;HLA-DQA2;PSMD4;CCND3;GADD45G;ICAM1;IKBKB;HLA-DRA;PSMD12;PSMC2;PSMC3;HLA-DMA;APAF1;PSMC4;CYCS;TRAF2;PSMD7;RIPK1;PSMD8;PSMD11;CASP9;SYK;STAT3;E2F3;CIR1
