,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.8903804154474361,2.439978239352262,0.0,0.0,0.0,92/169,4.71%,NMI;IRF9;EIF2AK2;PARP14;UBE2L6;STAT1;CMPK2;DDX58;IFI35;EPSTI1;MX1;B2M;RNF213;PARP12;ZBP1;SAMHD1;ADAR;PSME1;DHX58;LY6E;OGFR;PSMB8;SP110;PSMB10;PSMB9;RTP4;IRF2;NAMPT;ZNFX1;HERC6;PML;IFI44L;WARS1;LGALS3BP;BST2;NLRC5;OAS2;XAF1;IFIT2;IRF7;IL15RA;TAP1;BATF2;CXCL10;CD38;IFIH1;IFIT3;ISG15;IRF1;SOCS1;CMTR1;TRAFD1;TRIM21;CXCL9;CCL5;TOR1B;IL10RA;FAS;DDX60;IFITM3;CASP7;STAT2;HELZ2;TRIM25;LAP3;MYD88;IDO1;IL15;CD86;CXCL11;RSAD2;MARCHF1;TRIM26;PSMA3;SAMD9L;CFB;CCL2;RNF31;TNFAIP3;UPP1;GCH1;SERPING1;PLA2G4A;PSME2;TDRD7;SLAMF7;RBCK1;GZMA;IFI30;SLC25A28;NOD1;OAS3
1,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.9376203741403207,2.410067284544077,0.0,0.0,0.0,62/82,4.37%,NMI;IRF9;EIF2AK2;PARP14;UBE2L6;PARP9;CMPK2;IFI35;EPSTI1;SAMD9;MX1;B2M;PARP12;ADAR;PSME1;DHX58;LY6E;OGFR;PSMB8;SP110;PSMB9;RTP4;IRF2;HERC6;IFI44L;WARS1;LGALS3BP;BST2;IFIT2;IRF7;TAP1;TMEM140;BATF2;CXCL10;IFIH1;IFIT3;ISG15;IRF1;CMTR1;TRAFD1;TRIM21;DDX60;IFITM3;CCRL2;STAT2;HELZ2;TRIM25;LAP3;MOV10;UBA7;IL15;CXCL11;RSAD2;TRIM26;PSMA3;SAMD9L;RNF31;SELL;PSME2;TDRD7;IFI30;SLC25A28
2,prerank,KEGG_2021_Human__Influenza A,0.8261613871718598,2.20627016601773,0.0,0.0,0.0,41/113,6.82%,IRF9;EIF2AK2;STAT1;DDX58;MX1;ADAR;PML;BAK1;OAS2;IRF7;CXCL10;IFIH1;CALCOCO2;CCL5;FAS;RNASEL;STAT2;TRIM25;MYD88;IFNG;RSAD2;IL1A;IKBKE;BID;FASLG;CCL2;TBK1;NLRX1;TLR7;IL1B;OAS3;PIK3CB;TLR3;CASP3;APAF1;IL6;IFNGR1;CCND3;NLRP3;CIITA;TNFSF10
4,prerank,KEGG_2021_Human__Herpes simplex virus 1 infection,0.7698024833807432,2.10998228459634,0.0,0.0,0.0,39/172,6.35%,IRF9;EIF2AK2;STAT1;DDX58;B2M;PML;BAK1;BST2;OAS2;IRF7;TAP1;CGAS;IFIH1;TAP2;STING1;CCL5;FAS;RNASEL;STAT2;TNFRSF14;MYD88;DAXX;IFNG;IKBKE;BID;FASLG;SYK;SRC;CCL2;TBK1;IL1B;OAS3;PIK3CB;TLR3;CASP3;APAF1;IL6;TLR2;IFNGR1
5,prerank,MSigDB_Hallmark_2020__Allograft Rejection,0.7735248064330779,2.0776136731373716,0.0,0.0,0.0,65/156,10.93%,STAT1;B2M;PSMB10;C2;WARS1;IRF7;TAP1;GPR65;RARS1;TAP2;SOCS1;CXCL9;CCL5;FAS;IL15;CD86;IFNG;FASLG;TLR1;MRPL3;FYB1;RPL39;CCR2;HCLS1;CCL2;TLR6;BCL3;SRGN;GZMA;FCGR2B;IL1B;ICOSLG;TLR3;IL6;GCNT1;TLR2;PRF1;CTSS;IL2RB;IL2RG;IFNGR1;CCND3;NLRP3;CCL7;RPL3L;ELF4;IL12RB1;NCF4;LYN;IL4R;CD80;IRF8;FGR;RIPK2;WAS;EIF3J;CD40;HDAC9;LY86;IL2;CDKN2A;CD74;CD96;RPS9;EIF3D
6,prerank,KEGG_2021_Human__Coronavirus disease,0.7514707180525558,2.069241089763478,0.0,0.0,0.0,61/176,10.91%,IRF9;EIF2AK2;STAT1;DDX58;MX1;ADAR;C2;C1QB;OAS2;CXCL10;CGAS;IFIH1;ISG15;C4A;C1QA;STING1;C1QC;RPL35;UBA52;RPLP2;STAT2;MYD88;FAU;RPL22;IKBKE;RPS24;RPL39;SYK;RPS28;CFB;CCL2;TBK1;C3AR1;TLR7;RPS29;IL1B;C6;RPS27L;OAS3;PIK3CB;TLR3;RPL18A;IL6;RPS27A;RPS23;TLR2;NLRP3;RPL3L;TLR8;RPL30;RPS14;RPS16;RPL22L1;ADAM17;PLCG2;RPS20;C3;IL2;RPS18;RPL36;RPS9
7,prerank,KEGG_2021_Human__Measles,0.7760060731995215,2.064575063650742,0.0,0.0,0.0,33/109,6.38%,IRF9;EIF2AK2;STAT1;DDX58;MX1;ADAR;BAK1;OAS2;IRF7;IFIH1;FAS;STAT2;MYD88;IL1A;IKBKE;BID;FASLG;TNFAIP3;MSN;TBK1;TLR7;FCGR2B;IL1B;OAS3;CBLB;PIK3CB;CASP3;APAF1;IL6;TLR2;IL2RB;IL2RG;CCND3
8,prerank,KEGG_2021_Human__Necroptosis,0.7740399273935025,2.039584261194887,0.0,0.0,0.0,29/98,7.73%,IRF9;EIF2AK2;STAT1;ZBP1;MLKL;FAS;STAT2;IFNG;IL1A;RIPK3;BID;FASLG;RNF31;CHMP5;TNFAIP3;PLA2G4A;RBCK1;IL1B;CFLAR;CHMP2A;TLR3;HMGB1;IFNGR1;NLRP3;TNFSF10;TICAM2;PYGL;VPS4A;DNM1L
9,prerank,KEGG_2021_Human__Cytosolic DNA-sensing pathway,0.8402336546419987,2.017405454779833,0.0,0.0,0.0,17/44,6.19%,DDX58;ZBP1;ADAR;TREX1;AIM2;IRF7;CXCL10;CGAS;STING1;CCL5;IKBKE;RIPK3;TBK1;IL1B;IL6;POLR2L;POLR2F
10,prerank,KEGG_2021_Human__RIG-I-like receptor signaling pathway,0.8222134800766161,2.0042281545906393,0.0,0.0,0.0,13/49,3.75%,DDX58;DHX58;IRF7;CXCL10;IFIH1;ISG15;STING1;ATG12;TRIM25;AZI2;IKBKE;TBK1;NLRX1
11,prerank,KEGG_2021_Human__NOD-like receptor signaling pathway,0.7353720366794904,1.986790319199578,0.0,0.0,0.0,32/124,5.68%,IRF9;STAT1;AIM2;NAMPT;GSDMD;OAS2;IRF7;STING1;ATG12;CCL5;TRPM2;RNASEL;STAT2;MYD88;NLRC4;IKBKE;RIPK3;BRCC3;CCL2;RNF31;TNFAIP3;TBK1;NLRX1;RBCK1;IL1B;NOD1;OAS3;TXN2;CTSB;CAMP;MEFV;IL6
12,prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.7699187855782398,1.9446013593793974,0.0,0.00017250569542613472,0.003,29/75,10.18%,IRF9;STAT1;BAK1;IL15RA;CXCL10;CD38;IRF1;SOCS1;CXCL9;FAS;STAT2;MYD88;CXCL11;PIK3R5;IL1B;IL10RB;IL6;TLR2;IL2RG;IFNGR1;CCL7;GRB2;IL12RB1;CSF3R;PIM1;IL4R;PLA2G2A;ITGB3;ITGA4
13,prerank,KEGG_2021_Human__Oxidative phosphorylation,0.7330309244077515,1.9441861383069303,0.0,0.00015923602654720128,0.003,44/92,14.59%,NDUFA1;NDUFB4;ATP5MF;NDUFB3;NDUFB2;NDUFA13;NDUFA2;ATP5F1E;NDUFB1;NDUFS6;ND5;NDUFB7;NDUFA7;NDUFA12;NDUFV3;ATP5MG;NDUFS4;NDUFS5;SDHB;ATP5ME;NDUFA6;NDUFA11;ND1;ATP6V1E1;ATP5PD;NDUFA4;ATP6V0E1;ND4L;ND6;NDUFB9;NDUFB10;ATP8;ATP5MC3;NDUFA9;NDUFB6;ATP6V0D2;NDUFB11;NDUFS3;TCIRG1;NDUFA8;NDUFC2-KCTD14;NDUFB8;CYTB;ATP6V1F
