,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.9194554530993414,2.1037083307165325,0.0,0.0,0.0,78/128,6.19%,RTP4;UBE2L6;IFIT3;MX1;NMI;IRF9;IRF7;PSMB8;PSME1;B2M;LY6E;IFI35;ZBP1;SP110;DDX58;HERC6;CMPK2;EIF2AK2;EPSTI1;PSMB9;IFIT2;PARP14;RSAD2;TAP1;TRAFD1;PARP12;STAT1;RNF213;BST2;WARS1;STAT2;ISG15;SAMHD1;PSMB10;IFI44L;PSMA3;TNFSF10;ICAM1;CD274;IL15RA;TNFAIP2;NAMPT;IRF1;DHX58;HELZ2;ADAR;IFITM3;NOD1;TRIM21;CD38;CXCL10;OGFR;CCL5;TDRD7;PSME2;BATF2;SAMD9L;TRIM26;FAS;IFIH1;GCH1;GZMA;SOCS1;SLAMF7;CMTR1;PML;CD40;ZNFX1;SPPL2A;CFB;RIPK2;TRIM25;IFITM2;VAMP8;SLC25A28;LGALS3BP;PSMA2;IFI30
4,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.9518098448934699,2.070331566685459,0.0,0.0,0.0,48/67,2.76%,RTP4;UBE2L6;IFIT3;MX1;NMI;IRF9;IRF7;SAMD9;PSMB8;PSME1;PARP9;B2M;LY6E;IFI35;SP110;HERC6;CMPK2;TMEM140;EIF2AK2;EPSTI1;PSMB9;IFIT2;PARP14;RSAD2;TAP1;TRAFD1;PARP12;BST2;WARS1;STAT2;ISG15;IFI44L;PSMA3;IRF1;DHX58;HELZ2;ADAR;UBA7;IFITM3;TRIM21;CXCL10;OGFR;TDRD7;PSME2;BATF2;SAMD9L;TRIM26;IFIH1
19,prerank,KEGG_2021_Human__Herpes simplex virus 1 infection,0.8236111213472777,1.8506829139518803,0.0,0.00020693082573880242,0.001,18/79,4.17%,IRF9;IRF7;B2M;DDX58;EIF2AK2;TAP1;STAT1;BST2;STAT2;BAK1;TNFRSF14;TAP2;CCL5;FAS;IFIH1;STING1;PML;SRC
25,prerank,KEGG_2021_Human__Hepatitis C,0.8120492582106628,1.8204145334339012,0.0,0.0026383680281697303,0.016,11/73,2.69%,MX1;IRF9;IRF7;DDX58;EIF2AK2;RSAD2;STAT1;STAT2;BAK1;CXCL10;FAS
29,prerank,KEGG_2021_Human__Influenza A,0.8107173595850268,1.8054325647403997,0.0,0.003724754863298444,0.027,18/75,3.90%,MX1;IRF9;IRF7;DDX58;EIF2AK2;RSAD2;STAT1;STAT2;TNFSF10;BAK1;ICAM1;ADAR;CXCL10;CCL5;FAS;IFIH1;CALCOCO2;PML
30,prerank,KEGG_2021_Human__Measles,0.819173463800514,1.805222660273984,0.0,0.0031039623860820366,0.027,11/63,2.76%,MX1;IRF9;IRF7;DDX58;EIF2AK2;STAT1;STAT2;BAK1;ADAR;FAS;IFIH1
32,prerank,KEGG_2021_Human__Epstein-Barr virus infection,0.7976579707123981,1.801744439711322,0.0,0.003103962386082036,0.031,17/100,4.49%,IRF9;IRF7;B2M;DDX58;EIF2AK2;TAP1;STAT1;STAT2;ISG15;BAK1;ICAM1;TAP2;CXCL10;NFKB2;FAS;CD40;RELB
34,prerank,KEGG_2021_Human__Proteasome,0.8568252231010826,1.789255758270598,0.0,0.0042679482808628,0.046,7/40,3.50%,PSMB8;PSME1;PSMB9;PSMB10;PSMA3;PSME2;PSMF1
35,prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.803491140357072,1.784150444691691,0.0,0.004276570398601917,0.051,22/83,5.26%,RTP4;NMI;IRF7;LY6E;EIF2AK2;BST2;TNFSF10;ICAM1;IL15RA;NAMPT;IRF1;CXCL10;CCL5;FFAR2;GCH1;P2RY2;EBI3;SELL;CD40;CCRL2;ABCA1;RIPK2
36,prerank,KEGG_2021_Human__Cytosolic DNA-sensing pathway,0.8935676365164039,1.783796199740538,0.0,0.003910992606463366,0.052,8/22,3.38%,IRF7;ZBP1;DDX58;ADAR;CXCL10;CCL5;TREX1;STING1
53,prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.780121076077842,1.6863181480003095,0.0037593984962406013,0.04966339817731258,0.39,11/50,3.43%,IRF9;STAT1;STAT2;BAK1;IL15RA;IRF1;CD38;CXCL10;FAS;SOCS1;EBI3
64,prerank,KEGG_2021_Human__Sphingolipid signaling pathway,-0.5089898627294468,-1.5965426939987242,0.011049723756906077,0.04087650795500904,0.482,21/58,15.05%,ROCK1;GNAQ;PTEN;TNF;PRKCB;AKT1;GNAI3;MAPK14;GNAI2;PLCB2;RHOA;RAF1;KRAS;CERS2;ABCC1;PIK3CB;PIK3CD;MAPK1;S1PR4;MAP2K2;PPP2CA
