,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,0.7169121922426561,2.5905339326810446,0.0,0.0,0.0,123/194,17.60%,PHLDA2;CCL2;FOSL1;TRIB1;MAFF;SERPINE1;TLR2;F3;SPHK1;IER3;SPSB1;SERPINB2;ETS2;PDLIM5;SDC4;KLF9;PHLDA1;CCND1;CXCL1;LIF;DUSP5;LAMB3;FOSB;F2RL1;MYC;MAP2K3;SOCS3;LDLR;KLF10;EFNA1;CXCL2;FJX1;VEGFA;TNC;MAP3K8;YRDC;FOSL2;JAG1;GADD45A;EIF1;PPP1R15A;SERPINB8;BMP2;MXD1;PLAU;B4GALT5;MARCKS;SMAD3;TNFAIP3;EGR1;EGR3;CLCF1;B4GALT1;ICAM1;HES1;AREG;PTGS2;BTG3;IER2;NFKBIA;PTPRE;NFIL3;G0S2;ICOSLG;CCNL1;RCAN1;TRIP10;TSC22D1;SLC16A6;NAMPT;BHLHE40;PER1;IER5;NINJ1;IL1B;TGIF1;PLAUR;CEBPD;RELB;SNN;KDM6B;IFNGR2;NFKB2;FOS;CFLAR;DUSP1;KLF4;TNIP2;EDN1;DUSP4;SGK1;GADD45B;ATF3;KLF6;SQSTM1;ZFP36;IRS2;SOD2;PANX1;SAT1;PLPP3;CXCL3;KLF2;EHD1;RNF19B;GEM;BCL6;ZBTB10;BCL3;SIK1;PTX3;CCL20;CEBPB;JUN;HBEGF;CCRL2;GCH1;BCL2A1;PFKFB3;JUNB;TNFSF9;DNAJB4;TNFAIP6
7,prerank,MSigDB_Hallmark_2020__Hypoxia,0.5813378731970561,2.0616591270112052,0.0,0.0,0.0,65/168,14.94%,CAV1;CAVIN1;ADM;MAFF;SERPINE1;F3;IER3;NDST2;SDC4;AK4;NOCT;PRKCA;ERRFI1;EFNA1;NEDD4L;TKTL1;VEGFA;PKP1;HS3ST1;FOSL2;HMOX1;PPP1R15A;TPBG;GPC1;ERO1A;PGF;SDC2;TNFAIP3;SIAH2;CHST2;NDRG1;PYGM;NFIL3;EGFR;SAP30;ADORA2B;TES;SULT2B1;BHLHE40;IGFBP3;CDKN1C;AMPD3;ENO1;PLAUR;RRAGD;PIM1;CA12;PFKP;FOS;DUSP1;PPARGC1A;ATF3;JMJD6;KLF6;ZFP36;ISG20;IRS2;VLDLR;KLF7;GAPDH;SLC2A1;CXCR4;BCL2;EDN2;AKAP12
8,prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.5805547380177056,2.061222290703503,0.0,0.0,0.0,70/181,17.60%,TIMP1;CCL7;CCL2;CXCL8;P2RY2;IL1R1;ADM;SERPINE1;PDPN;TLR2;F3;SPHK1;STAB1;NLRP3;MET;FFAR2;LIF;CLEC5A;EREG;MYC;GABBR1;LDLR;PTGER2;P2RX4;PROK2;OSMR;TPBG;MXD1;CD55;IL10;ICAM1;CHST2;RGS16;NFKBIA;PTPRE;ICOSLG;SELENOS;ADORA2B;GNA15;NAMPT;IRAK2;IL1B;SLC7A1;PLAUR;ITGB8;IL4R;SELL;ATP2A2;IFNGR2;TNFSF15;SCARF1;EDN1;PIK3R5;HIF1A;KLF6;KIF1B;P2RX7;ACVR2A;EMP3;CCL20;KCNJ2;MEFV;ITGA5;HBEGF;CCRL2;GCH1;TNFRSF1B;TNFSF9;C5AR1;TNFAIP6
11,prerank,MSigDB_Hallmark_2020__Androgen Response,0.5970920174944173,1.957501204686484,0.0,0.0010855314169709446,0.004,52/95,25.02%,PDLIM5;INSIG1;CCND1;MERTK;ALDH1A3;SLC38A2;HMGCS1;ELL2;ARID5B;TMPRSS2;UBE2J1;STEAP4;B4GALT1;NDRG1;SRF;KRT19;TSC22D1;BMPR1B;KRT8;LIFR;SPCS3;NKX3-1;RRP12;MAF;SGK1;SEC24D;UAP1;SPDEF;SAT1;CAMKK2;PTPN21;MAP7;ZBTB10;AKAP12;ANKH;GSR;FKBP5;GNAI3;ABHD2;HOMER2;DNAJB9;PMEPA1;ELOVL5;ITGAV;CDK6;SRP19;CENPN;AZGP1;ADRM1;ZMIZ1;IDI1;RPS6KA3
15,prerank,KEGG_2021_Human__IL-17 signaling pathway,0.606868909154074,1.912874809231935,0.0,0.0015197439837593223,0.007,29/75,16.31%,CCL7;CCL2;FOSL1;CXCL8;CXCL1;MAPK13;FOSB;MAPK6;CXCL2;TRAF4;S100A8;TNFAIP3;PTGS2;NFKBIA;TAB2;JUND;IL1B;LCN2;MMP1;FOS;MAPK11;MAPK12;S100A9;HSP90AA1;CXCL3;CCL20;CEBPB;JUN;TAB3
16,prerank,MSigDB_Hallmark_2020__Estrogen Response Early,0.5380106530354115,1.9074411831068114,0.0,0.0016282971254564164,0.009,76/178,18.81%,RHOBTB3;P2RY2;SEMA3B;SFN;KRT15;CCND1;PMAIP1;FHL2;MYC;TFAP2C;MUC1;KLF10;FLNB;SEC14L2;FOXC1;TPBG;PTGES;HSPB8;RET;PODXL;IGF1R;ELF3;EGR3;RHOD;HR;B4GALT1;SIAH2;HES1;NAV2;AREG;RAPGEFL1;FASN;FKBP4;RAB17;KLK10;KRT19;NCOR2;OVOL2;SULT2B1;BHLHE40;KRT8;SLC7A5;PRSS23;CBFA2T3;FRK;KCNK5;SCNN1A;CA12;FOS;SLC1A4;RRP12;KLF4;BAG1;KRT18;CELSR2;WWC1;SLC16A1;SYBU;ESRP2;PPIF;XBP1;SLC2A1;OLFML3;CLDN7;BCL2;CELSR1;NXT1;MED13L;AQP3;KCNK15;PAPSS2;SYT12;FKBP5;UGCG;ABHD2;TMPRSS3
17,prerank,MSigDB_Hallmark_2020__TGF-beta Signaling,0.6315481377693627,1.89410182268606,0.0,0.0020159869172317537,0.013,17/52,10.37%,FURIN;SERPINE1;ID1;KLF10;CDH1;PPP1R15A;SLC20A1;BMP2;SMURF1;ACVR1;SMAD3;TJP1;NCOR2;CDKN1C;TGIF1;IFNGR2;THBS1
19,prerank,MSigDB_Hallmark_2020__Glycolysis,0.5280521612695205,1.8706009659277019,0.0,0.002578137115305993,0.019,55/175,15.62%,TPST1;NOL3;IER3;AK4;MET;GCLC;GPR87;MERTK;TXN;VCAN;TKTL1;VEGFA;SDC1;ARTN;BIK;SPAG4;TPBG;GPC1;ERO1A;PPP2CB;SDC2;NT5E;ELF3;B4GALT1;CHST2;ABCB6;PLOD2;B3GNT3;FKBP4;EGFR;SAP30;ADORA2B;CLDN3;IGFBP3;SOX9;ENO1;HS6ST2;RRAGD;CLDN9;PFKP;TGFA;B4GALT2;SLC25A13;ISG20;IRS2;VLDLR;B4GALT4;CDK1;CXCR4;CHPF;HOMER1;GNE;ARPP19;CTH;PKM
20,prerank,KEGG_2021_Human__MicroRNAs in cancer,0.5378802816182938,1.8612413494648594,0.0,0.0025329066395988705,0.021,64/140,23.06%,PDGFA;CYP1B1;PDGFRA;CCND1;MET;MYC;PRKCA;ST14;SPRY2;SERPINB5;EFNA1;VEGFA;TIMP3;TNC;HMOX1;TGFB2;SIRT1;PLAU;PRKCB;MARCKS;E2F3;NRAS;KRAS;SOX4;PTGS2;EZR;ERBB2;NOTCH3;ERBB3;EGFR;FGFR3;RDX;SLC7A1;PTEN;PIM1;ABCC1;THBS1;CRK;IRS2;IRS1;HRAS;BCL2;ITGA5;EFNA5;E2F1;E2F2;MAP2K2;FZD3;MAPK3;TPM1;MCL1;PIK3R3;CDC25A;GLS;BCL2L11;CDCA5;BCL2L2;CDC25B;NOTCH1;CDKN2A;NFKB1;CCNE1;CDK6;CDKN1A
21,prerank,KEGG_2021_Human__Bladder cancer,0.6506613752387518,1.8597446851958468,0.0,0.0022796159756389833,0.021,22/38,18.35%,CXCL8;CCND1;MYC;VEGFA;CDH1;E2F3;NRAS;KRAS;TYMP;ERBB2;EGFR;FGFR3;MMP1;THBS1;DAPK3;HRAS;MMP2;HBEGF;E2F1;E2F2;MAP2K2;MAPK3
