,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,KEGG_2021_Human__Ribosome,0.8373798674155578,3.144113218979459,0.0,0.0,0.0,82/114,9.84%,RPL37;RPL17;RPL26;RPS29;RPL9;RPL35A;RPS7;RPS15A;RPL27;RPS27;RPL12;RPS19;RPL23A;RPL35;RPL30;RPL6;RPL38;RPS12;RPL19;RPS8;RPL4;RPS17;RPL36;RPL7A;RPS25;RPS28;RPS6;RPL41;RPS11;RPL34;RPS13;RPL23;RPS3;RPS24;RPLP2;RPL5;RPL36AL;RPL11;RPSA;RPL7;RPL15;RPL37A;RPS27A;RPL32;RPS20;RPL27A;RPL21;RPL13A;RPLP1;RPL3;RPS3A;RPL39;RPL10A;RPL29;RPL10;RPS18;RPL13;RPL28;RPL18A;RPS14;RPL18;RPS23;RPS10;RPS27L;RPL36A;RPS2;MRPS16;RPL14;FAU;RPL22;RPLP0;RPS5;RPL24;RPS4X;RPS15;RPS26;RPS16;MRPL18;UBA52;RPS9;MRPL35;RPL8
1,prerank,KEGG_2021_Human__Coronavirus disease,0.7353430545613793,2.911797760859548,0.0,0.0,0.0,102/180,11.14%,RPL37;RPL17;RPL26;RPS29;RPL9;RPL35A;RPS7;RPS15A;RPL27;RPS27;RPL12;RPS19;RPL23A;RPL35;RPL30;RPL6;RPL38;RPS12;RPL19;C1R;RPS8;RPL4;RPS17;RPL36;RPL7A;RPS25;RPS28;RPS6;RPL41;RPS11;RPL34;RPS13;RPL23;RPS3;RPS24;RPLP2;RPL5;RPL36AL;RPL11;TLR4;RPSA;RPL7;RPL15;RPL37A;RPS27A;RPL32;RPS20;RPL27A;RPL21;RPL13A;RPLP1;RPL3;PLCG2;RPS3A;RPL39;RPL10A;RPL29;RPL10;RPS18;RPL13;RPL28;RPL18A;CGAS;RPS14;RPL18;RPS23;C1QB;RPS10;RPS27L;RPL36A;CYBB;RPS2;C1S;IFIH1;TLR2;RPL14;FCGR2A;FAU;RPL22;RPLP0;RPS5;RPL24;C1QC;STAT2;TAB2;RPS4X;RPS15;RPS26;RPS16;C1QA;C3AR1;UBA52;IFNAR1;RPS9;CASP1;IKBKE;RPL8;RPS10-NUDT3;ADAR;MAPK3;MAPK14;TNFRSF1A
2,prerank,KEGG_2021_Human__Oxidative phosphorylation,0.7023715085468825,2.5791424704360826,0.0,0.0,0.0,59/100,16.50%,COX6C;NDUFB4;ATP5MC2;ATP6V1B2;ATP5F1A;NDUFB8;UQCRC1;ATP5F1E;ATP6V1A;UQCRB;ATP5MC3;ATP6V1H;COX6A1;ATP6V1C1;ATP5ME;ATP6V0C;UQCR11;NDUFA2;NDUFA3;NDUFA4;SDHB;ATP5F1D;NDUFS2;ATP6V0B;COX6B1;ATP6V1G1;ATP6AP1;COX7C;NDUFA1;ATP6V1F;NDUFS7;NDUFC1;ATP5PF;ATP5F1C;ATP5F1B;NDUFA13;COX8A;NDUFC2;NDUFB10;COX4I1;UQCRH;COX5B;COX17;ATP5MF;UQCR10;COX5A;ATP5PB;NDUFV1;NDUFB7;NDUFA11;ATP6V0A1;NDUFS1;ATP5MG;ATP5PD;UQCRQ;NDUFAB1;COX7B;UQCRC2;NDUFS6
3,prerank,KEGG_2021_Human__Parkinson disease,0.6122548351941065,2.4625540398415438,0.0,0.0,0.0,88/193,17.50%,UBB;COX6C;NDUFB4;ATP5MC2;GNAI2;ATP5F1A;NDUFB8;UQCRC1;ATP5F1E;UQCRB;RPS27A;CALM3;PRKACA;ATP5MC3;PSMA4;PSMA2;COX6A1;UQCR11;NDUFA2;UBE2G2;NDUFA3;NDUFA4;SDHB;ATP5F1D;TUBA1B;NDUFS2;TUBB;PSMB2;COX6B1;HSPA5;COX7C;NDUFA1;NDUFS7;NDUFC1;ATP5PF;ATP5F1C;PSMD13;ATP5F1B;NDUFA13;UBE2L6;COX8A;NDUFC2;CASP3;NDUFB10;COX4I1;SLC25A6;PSMA6;UQCRH;PSMB4;COX5B;PSMA7;PSMC5;PSMB1;GNAI1;UBA52;PSMD9;UQCR10;COX5A;ATP5PB;UBA1;PSMD8;NDUFV1;NDUFB7;PSMD4;NDUFA11;SLC25A5;UBE2J1;BAX;NDUFS1;UBE2J2;APAF1;ATP5PD;PSMD3;UQCRQ;PINK1;PSMA1;NDUFAB1;DAXX;KLC2;ATF4;PPIF;COX7B;UQCRC2;NDUFS6;TXN2;PSMB6;UBC;NDUFS8
4,prerank,KEGG_2021_Human__Protein processing in endoplasmic reticulum,0.625251906932396,2.447323641234048,0.0,0.0,0.0,82/154,19.46%,HSPA8;HSPA1B;HSP90AA1;HSPA1A;SEC61G;HSP90AB1;DAD1;CANX;SSR1;SSR3;STT3B;RAD23B;BCAP31;UBE2G2;HSP90B1;HSPH1;SEL1L;DNAJB1;UBXN6;HSPA5;PDIA6;SEC24D;UBE2D1;SEC61A1;CALR;DNAJC5;PRKCSH;P4HB;CRYAB;ERP29;HSPA6;STUB1;EDEM3;CKAP4;HYOU1;SSR4;LMAN2;RPN1;PDIA3;DNAJC3;LMAN1;SEC62;OS9;MAN1A1;RPN2;MAP2K7;PREB;UBE2J1;PDIA4;TRAM1;BAX;UBE2J2;GANAB;NSFL1C;DNAJB2;BAK1;DERL2;TXNDC5;SYVN1;SAR1B;EDEM1;UBQLN2;UBQLN1;SEC61B;ATF4;DERL1;STT3A;SSR2;UBXN1;PPP1R15A;BAG2;DDOST;DNAJA1;MAN1B1;UBE2D3;NGLY1;UGGT1;UBE4B;AMFR;FBXO6;RBX1;DNAJB11
5,prerank,MSigDB_Hallmark_2020__Myc Targets V1,0.6137584288497772,2.443151579412584,0.0,0.0,0.0,99/185,23.09%,HSPE1;PCBP1;RPL6;HSP90AB1;HDAC2;PRDX3;RPS6;RPL34;RPS3;G3BP1;CANX;BUB3;PSMA4;PSMA2;RACK1;PGK1;RAD23B;SNRPD2;PRDX4;HNRNPA1;SRM;RPL18;PSMB2;RPS10;SET;RPS2;PTGES3;SSB;CBX3;RPL14;HSPD1;FAM120A;RPL22;RPLP0;RPS5;PCNA;ERH;PSMA6;PSMA7;CCT5;CCNA2;PHB2;RUVBL2;CCT4;COX5A;USP1;KPNB1;DEK;PSMD8;AP3S1;TUFM;XPO1;TRIM28;EEF1B2;TFDP1;CNBP;UBE2E1;XPOT;C1QBP;KPNA2;TCP1;PHB;PSMD3;UBA2;PSMA1;SERBP1;NDUFAB1;HNRNPR;NPM1;SNRPG;PA2G4;MCM6;SNRPB2;EIF4A1;RAN;HPRT1;LSM2;TARDBP;PPIA;IMPDH2;VDAC1;PSMD7;LSM7;CCT3;HDGF;SRSF1;VDAC3;PSMD14;HNRNPA3;SF3B3;CCT7;COPS5;POLE3;MRPS18B;RSL1D1;EIF4G2;RANBP1;FBL;TXNL4A
6,prerank,KEGG_2021_Human__Prion disease,0.6037487065162072,2.4397307621622866,0.0,0.0,0.0,99/206,17.62%,COX6C;NDUFB4;HSPA8;HSPA1B;ATP5MC2;HSPA1A;ATP5F1A;NDUFB8;UQCRC1;ATP5F1E;UQCRB;PRKACA;ATP5MC3;PSMA4;NCF2;PSMA2;COX6A1;STIP1;UQCR11;NDUFA2;NDUFA3;NDUFA4;SDHB;ATP5F1D;TUBA1B;NDUFS2;SOD1;TUBB;ATF2;PSMB2;PRNP;COX6B1;HSPA5;C1QB;COX7C;NDUFA1;CYBB;NDUFS7;NDUFC1;ATP5PF;ATP5F1C;PSMD13;ATP5F1B;NDUFA13;C1QC;COX8A;NDUFC2;CASP3;CSNK2B;NDUFB10;COX4I1;SLC25A6;PSMA6;UQCRH;PSMB4;COX5B;PSMA7;HSPA6;CSNK2A1;C1QA;PSMC5;PSMB1;PPP3R1;PSMD9;UQCR10;COX5A;ATP5PB;NCF4;PSMD8;NDUFV1;NDUFB7;PSMD4;NDUFA11;MAPK3;MAPK14;SLC25A5;BAX;NDUFS1;PIK3R1;APAF1;ATP5PD;PSMD3;UQCRQ;PSMA1;NDUFAB1;BAD;KLC2;ATF4;NCF1;PPIF;COX7B;CYBA;UQCRC2;NDUFS6;PIK3R2;PSMB6;NDUFS8;PIK3CA;MAPK13
7,prerank,KEGG_2021_Human__Phagosome,0.6367789045466491,2.41096805463527,0.0,0.0,0.0,69/118,23.61%,LAMP2;ATP6V1B2;SEC61G;M6PR;C1R;TLR4;ATP6V1A;CANX;NCF2;LAMP1;ATP6V1H;ATP6V1C1;CTSS;CTSL;ATP6V0C;SCARB1;TUBA1B;TUBB;ATP6V0B;ITGAM;ATP6V1G1;ATP6AP1;TLR6;ATP6V1F;CYBB;SEC61A1;FCGR3A;CALR;TLR2;FCGR2A;HLA-E;HLA-A;RAB5C;ACTB;HLA-B;MSR1;HLA-DMB;NCF4;STX7;HLA-C;ACTG1;ATP6V0A1;TFRC;STX18;MARCO;PIKFYVE;CD14;TAP1;CLEC7A;SEC61B;THBS2;NCF1;CYBA;SEC22B;HLA-DRA;ITGB2;ITGAV;EEA1;TUBA1C;ATP6V0D1;RAB7B;ATP6V0E1;HLA-F;VAMP3;RAB5B;OLR1;HLA-DOA;RAB5A;PIK3C3
8,prerank,KEGG_2021_Human__Antigen processing and presentation,0.710569728127502,2.3873951243643243,0.0,0.0,0.0,23/55,10.51%,HSPA8;HSPA1B;HSP90AA1;HSPA1A;HSP90AB1;PSME1;CTSB;B2M;CANX;CTSS;CTSL;IFI30;HSPA5;CALR;TAPBP;HLA-E;HLA-A;HSPA6;HLA-B;LGMN;HLA-DMB;PDIA3;HLA-C
9,prerank,KEGG_2021_Human__Tuberculosis,0.608295227446485,2.34191695625954,0.0,0.0,0.0,76/131,27.44%,CEBPB;LAMP2;TLR4;CALM3;FCER1G;LAMP1;ATP6V1H;CTSS;CTSD;ATP6V0C;ATP6V0B;ITGAM;ATP6AP1;NOD2;TLR6;FCGR3A;TLR1;TLR2;FCGR2A;HSPD1;CASP3;RAB5C;PPP3R1;AKT1;HLA-DMB;IL10RA;MAPK3;MAPK14;ATP6V0A1;ITGAX;TNFRSF1A;IRAK1;BAX;CD14;APAF1;TRAF6;AKT2;CLEC7A;BAD;IFNGR1;RHOA;STAT1;NFYA;MAPK13;TRADD;HSPA9;HLA-DRA;ITGB2;CIITA;RELA;KSR1;EEA1;ATP6V0D1;SYK;JAK2;SPHK1;VDR;CD74;CALM1;CR1;MYD88;RAB5B;CASP10;HLA-DOA;RAB5A;PIK3C3;CYCS;MAPK9;CAMK2A;CLEC4E;TGFB3;NFYB;MRC1;FCGR2B;LSP1;CEBPG
