,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,KEGG_2021_Human__Ribosome,-0.7846952418832418,-2.8654347188050395,0.0,0.0,0.0,60/101,12.95%,RPL22L1;RPS6;RPL12;RPL31;RPL35;RPL3;RPS26;RPL35A;RPL4;RPS11;RPL10A;RPS29;RPS8;RPS19;RPL10;RPS15;MRPS15;RPLP1;RPL26;RPL23A;RPS21;RPS4Y2;RPL23;RPS20;RPLP2;RPL7;RPL34;RPS17;RPS16;RPS18;RPS23;RPL18;RPS3A;RPL8;RPL18A;RPL13;RPLP0;RPL6;RPS27A;RPS7;RPL15;RPL28;RPL21;RPS25;RPS28;RPS5;RPL29;RPL11;RPL9;RPL27A;RPS15A;RPS24;MRPL34;RPL36;RPS3;RPL14;RPL30;MRPS21;RPL32;MRPL18
1,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.8452682309648718,2.252963509597012,0.0,0.0,0.0,54/79,7.37%,ISG15;IFI27;BST2;IRF7;UBE2L6;LGALS3BP;RTP4;IFI44;CSF1;OASL;PSMB9;PSMB8;TRAFD1;IFIT2;HERC6;GBP2;MX1;DDX60;DHX58;TMEM140;NMI;OGFR;PSME2;SAMD9L;SP110;ISG20;IRF9;IFIT3;TAP1;UBA7;RSAD2;PARP9;GBP4;CCRL2;STAT2;TRIM21;WARS1;PSME1;CNP;IFIH1;SAMD9;PARP14;EIF2AK2;PARP12;MOV10;TRIM5;ADAR;HELZ2;CMTR1;IL4R;CMPK2;TRIM26;EPSTI1;CXCL10
2,prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.7755846811723317,2.148056744470335,0.0,0.0,0.0,80/140,12.64%,ISG15;IFI27;BST2;IRF7;UBE2L6;LGALS3BP;RTP4;IFI44;OASL;PSMB9;XAF1;PSMB8;TRAFD1;IFIT2;HERC6;MX1;DDX60;DHX58;NMI;OGFR;PSME2;SAMD9L;SP110;ISG20;CDKN1A;IRF9;IFIT3;TAP1;DDX58;GBP6;NLRC5;UPP1;RSAD2;CD274;GBP4;STAT2;ZBP1;OAS3;RNF213;TRIM21;WARS1;PSME1;PTPN6;ZNFX1;IFIH1;NAMPT;PARP14;FAS;IFNAR2;EIF2AK2;PARP12;ADAR;HELZ2;CMTR1;SOCS1;IL4R;GCH1;SERPING1;SOD2;CMPK2;TRIM26;EPSTI1;CXCL10;PML;TNFSF10;CASP3;STAT1;ICAM1;B2M;CCL2;BATF2;VAMP8;CASP1;FPR1;TNFAIP6;TNFAIP2;IRF1;IL15RA;IDO1;PELI1
3,prerank,KEGG_2021_Human__Amphetamine addiction,-0.7075421355560705,-1.936821945825691,0.0,0.025912838633686687,0.021,7/19,11.22%,PRKACB;FOSB;GNAS;PPP3CB;CALM3;CALM2;FOS
4,prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.6827460607541085,1.8505315575915349,0.0,0.000527176876931467,0.002,54/97,20.09%,BST2;IRF7;RTP4;CSF1;CD14;INHBA;NMI;CLEC5A;CDKN1A;P2RY2;CCRL2;PLAUR;RHOG;NAMPT;RGS1;EIF2AK2;PTPRE;IL4R;FFAR2;GCH1;TIMP1;CXCL10;PTAFR;TNFSF10;ICAM1;TLR2;CCL2;HBEGF;SLC28A2;FPR1;TNFAIP6;MXD1;CSF3R;SLC31A2;IRF1;IL15RA;RELA;RIPK2;ABCA1;NOD2;PIK3R5;MSR1;SEMA4D;SLAMF1;ADRM1;LY6E;NFKBIA;CXCL11;IFNGR2;C3AR1;OSM;PTGER2;LCP2;EMP3
5,prerank,KEGG_2021_Human__Melanogenesis,-0.6305779061390471,-1.8435101687591977,0.0,0.04161758932076953,0.049,7/22,8.56%,PRKACB;TCF7;GNAS;PLCB2;CALM3;ADCY7;CALM2
6,prerank,KEGG_2021_Human__Aldosterone synthesis and secretion,-0.6485688035585884,-1.818716484626503,0.0,0.04240282685512367,0.062,8/20,8.56%,PRKACB;LDLR;GNAS;NR4A2;PLCB2;CALM3;ADCY7;CALM2
7,prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.7182918766680392,1.7870689884337017,0.0,0.0025699872750409017,0.013,27/46,14.95%,CSF1;CD14;IL1R2;IRF9;STAT2;CSF2RA;HMOX1;FAS;BAK1;CXCL3;IFNGR1;SOCS1;TNFRSF1A;IL4R;IL10RB;CXCL10;STAT1;TLR2;LTBR;CSF3R;IRF1;IL15RA;PIK3R5;IL13RA1;SOCS3;CCR1;MYD88
8,prerank,KEGG_2021_Human__Influenza A,0.6591312189808752,1.7773280230704513,0.0,0.0022141428831121616,0.014,36/89,14.95%,IRF7;MX1;IRF9;DDX58;RSAD2;STAT2;OAS3;ACTG1;IFIH1;CCND3;FAS;IFNAR2;EIF2AK2;ADAR;BAK1;IFNGR1;TNFRSF1A;CXCL10;PML;DNAJC3;TNFSF10;CASP3;STAT1;ICAM1;BAX;CCL2;CASP1;TMPRSS4;RAB11A;NFKBIB;RELA;KPNA5;TLR4;BID;SOCS3;MYD88
9,prerank,KEGG_2021_Human__Oocyte meiosis,-0.5236168872212049,-1.7604863701068245,0.0,0.0636042402826855,0.113,12/41,8.56%,PRKACB;ANAPC13;PPP3CB;SLK;SMC3;RPS6KA3;CALM3;ADCY7;ANAPC4;CPEB2;ANAPC5;CALM2
