,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.8452682309648718,2.252963509597012,0.0,0.0,0.0,54/79,7.37%,ISG15;IFI27;BST2;IRF7;UBE2L6;LGALS3BP;RTP4;IFI44;CSF1;OASL;PSMB9;PSMB8;TRAFD1;IFIT2;HERC6;GBP2;MX1;DDX60;DHX58;TMEM140;NMI;OGFR;PSME2;SAMD9L;SP110;ISG20;IRF9;IFIT3;TAP1;UBA7;RSAD2;PARP9;GBP4;CCRL2;STAT2;TRIM21;WARS1;PSME1;CNP;IFIH1;SAMD9;PARP14;EIF2AK2;PARP12;MOV10;TRIM5;ADAR;HELZ2;CMTR1;IL4R;CMPK2;TRIM26;EPSTI1;CXCL10
2,prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.7755846811723317,2.148056744470335,0.0,0.0,0.0,80/140,12.64%,ISG15;IFI27;BST2;IRF7;UBE2L6;LGALS3BP;RTP4;IFI44;OASL;PSMB9;XAF1;PSMB8;TRAFD1;IFIT2;HERC6;MX1;DDX60;DHX58;NMI;OGFR;PSME2;SAMD9L;SP110;ISG20;CDKN1A;IRF9;IFIT3;TAP1;DDX58;GBP6;NLRC5;UPP1;RSAD2;CD274;GBP4;STAT2;ZBP1;OAS3;RNF213;TRIM21;WARS1;PSME1;PTPN6;ZNFX1;IFIH1;NAMPT;PARP14;FAS;IFNAR2;EIF2AK2;PARP12;ADAR;HELZ2;CMTR1;SOCS1;IL4R;GCH1;SERPING1;SOD2;CMPK2;TRIM26;EPSTI1;CXCL10;PML;TNFSF10;CASP3;STAT1;ICAM1;B2M;CCL2;BATF2;VAMP8;CASP1;FPR1;TNFAIP6;TNFAIP2;IRF1;IL15RA;IDO1;PELI1
4,prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.6827460607541085,1.8505315575915349,0.0,0.000527176876931467,0.002,54/97,20.09%,BST2;IRF7;RTP4;CSF1;CD14;INHBA;NMI;CLEC5A;CDKN1A;P2RY2;CCRL2;PLAUR;RHOG;NAMPT;RGS1;EIF2AK2;PTPRE;IL4R;FFAR2;GCH1;TIMP1;CXCL10;PTAFR;TNFSF10;ICAM1;TLR2;CCL2;HBEGF;SLC28A2;FPR1;TNFAIP6;MXD1;CSF3R;SLC31A2;IRF1;IL15RA;RELA;RIPK2;ABCA1;NOD2;PIK3R5;MSR1;SEMA4D;SLAMF1;ADRM1;LY6E;NFKBIA;CXCL11;IFNGR2;C3AR1;OSM;PTGER2;LCP2;EMP3
7,prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.7182918766680392,1.7870689884337017,0.0,0.0025699872750409017,0.013,27/46,14.95%,CSF1;CD14;IL1R2;IRF9;STAT2;CSF2RA;HMOX1;FAS;BAK1;CXCL3;IFNGR1;SOCS1;TNFRSF1A;IL4R;IL10RB;CXCL10;STAT1;TLR2;LTBR;CSF3R;IRF1;IL15RA;PIK3R5;IL13RA1;SOCS3;CCR1;MYD88
8,prerank,KEGG_2021_Human__Influenza A,0.6591312189808752,1.7773280230704513,0.0,0.0022141428831121616,0.014,36/89,14.95%,IRF7;MX1;IRF9;DDX58;RSAD2;STAT2;OAS3;ACTG1;IFIH1;CCND3;FAS;IFNAR2;EIF2AK2;ADAR;BAK1;IFNGR1;TNFRSF1A;CXCL10;PML;DNAJC3;TNFSF10;CASP3;STAT1;ICAM1;BAX;CCL2;CASP1;TMPRSS4;RAB11A;NFKBIB;RELA;KPNA5;TLR4;BID;SOCS3;MYD88
12,prerank,KEGG_2021_Human__Cytokine-cytokine receptor interaction,0.6633561447310692,1.706219948941419,0.0,0.01383839301945101,0.081,28/60,15.30%,CSF1;IL1R2;INHBA;CXCL16;CSF2RA;NODAL;FAS;IFNAR2;IL1RN;CXCL3;CCR9;IFNGR1;CCL3L3;CCL8;TNFRSF1A;IL4R;IL10RB;CXCL10;TNFSF10;CCL4L2;CCL2;LTBR;CSF3R;IL15RA;CCR5;IL13RA1;CCR1;CXCR2
14,prerank,KEGG_2021_Human__NOD-like receptor signaling pathway,0.6401219851771077,1.6991574827392135,0.001072961373390558,0.01423377567714961,0.096,37/85,19.47%,IRF7;IFI16;GBP2;GSDMD;IRF9;GBP7;GBP4;STAT2;OAS3;NAMPT;MAPK13;IFNAR2;GABARAP;CXCL3;CTSB;BIRC3;STAT1;CCL2;CASP1;GBP5;NFKBIB;RELA;TRAF5;VDAC2;TLR4;RIPK2;NOD2;RBCK1;MYD88;RIPK1;NFKBIA;TRAF2;RHOA;STING1;GABARAPL1;CAMP;CYBA
16,prerank,KEGG_2021_Human__Hepatitis C,0.6243113881493327,1.6734660303518893,0.0,0.020757589529176515,0.157,28/80,18.09%,IRF7;MX1;CDKN1A;IRF9;DDX58;RSAD2;STAT2;OAS3;FAS;IFNAR2;EIF2AK2;BAK1;TNFRSF1A;CXCL10;CASP3;STAT1;BAX;CLDN1;RELA;CFLAR;CLDN5;BID;SOCS3;RIPK1;NFKBIA;TRAF2;YWHAH;CYCS
17,prerank,KEGG_2021_Human__RIG-I-like receptor signaling pathway,0.6930122530723687,1.6667136931285305,0.0035294117647058825,0.02091134945161486,0.177,15/35,18.47%,ISG15;IRF7;DHX58;DDX58;IFIH1;MAPK13;CXCL10;AZI2;RNF125;NFKBIB;RELA;RIPK1;NFKBIA;TRAF2;STING1
19,prerank,KEGG_2021_Human__Cytosolic DNA-sensing pathway,0.7098344073967837,1.6481821607407903,0.0036719706242350062,0.02609525540810762,0.232,14/28,18.47%,IRF7;DDX58;ZBP1;ADAR;CGAS;CXCL10;CCL4L2;CASP1;NFKBIB;RELA;RIPK1;POLR3C;NFKBIA;STING1
