,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
1,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.881441830625035,2.0892164556688835,0.0,0.0,0.0,51/74,6.90%,IFI27;RTP4;IRF7;UBE2L6;LGALS3BP;HERC6;GBP2;TMEM140;IFIT2;TRAFD1;PSMB9;ISG20;ISG15;IFI44;IFIT3;BST2;OASL;TAP1;SAMD9L;PARP9;IFIH1;NMI;DHX58;SAMD9;OGFR;PARP14;DDX60;UBA7;HELZ2;PSMB8;TRIM21;MX1;CXCL10;CNP;ADAR;SP110;STAT2;EIF2AK2;B2M;IRF9;CSF1;RSAD2;CCRL2;PARP12;PSME1;EPSTI1;CMPK2;GBP4;TRIM5;IRF1;MOV10
2,prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.8429629490715327,2.0606207009448148,0.0,0.0,0.0,79/127,10.66%,IFI27;RTP4;IRF7;UBE2L6;LGALS3BP;HERC6;XAF1;IFIT2;TRAFD1;PSMB9;ISG20;ISG15;DDX58;IFI44;IFIT3;BST2;OASL;TAP1;SAMD9L;IFIH1;NMI;DHX58;OGFR;PARP14;RNF213;OAS2;ZNFX1;FPR1;DDX60;UPP1;HELZ2;PSMB8;TRIM21;MX1;CDKN1A;CXCL10;ADAR;SP110;CD274;STAT2;NAMPT;FAS;OAS3;SERPING1;EIF2AK2;B2M;IRF9;NLRC5;RSAD2;GBP6;STAT1;PARP12;PSME1;SOD2;ZBP1;EPSTI1;VAMP8;CMPK2;GBP4;PSMB10;IRF1;PTGS2;SAMHD1;TDRD7;SOCS1;SRI;GCH1;CMTR1;MYD88;CASP3;ICAM1;WARS1;PML;TNFSF10;PELI1;RIPK1;TRIM26;PSME2;RBCK1
9,prerank,KEGG_2021_Human__Hepatitis C,0.7251436257564022,1.7405508629769884,0.0,0.027487176690510602,0.069,21/71,10.74%,IRF7;DDX58;OAS2;TNFRSF1A;MX1;CDKN1A;CXCL10;STAT2;FAS;OAS3;EIF2AK2;IRF9;RSAD2;STAT1;CLDN1;CASP3;BID;CLDN5;CFLAR;RIPK1;BAK1
10,prerank,KEGG_2021_Human__Influenza A,0.7006065646970904,1.7157287093060902,0.0010193679918450561,0.035371656320157055,0.107,28/83,10.74%,IRF7;DDX58;IFIH1;OAS2;TNFRSF1A;MX1;CXCL10;ADAR;STAT2;FAS;OAS3;EIF2AK2;IRF9;RSAD2;STAT1;DNAJC3;RAB11A;MYD88;CASP3;BID;IFNGR1;ICAM1;PML;TNFSF10;ACTG1;TMPRSS4;CCND3;BAK1
11,prerank,MSigDB_Hallmark_2020__IL-6/JAK/STAT3 Signaling,0.7369001642102215,1.6939602660340403,0.002145922746781116,0.043400805300806214,0.149,24/42,14.43%,CSF3R;TLR2;TNFRSF1A;CXCL10;STAT2;FAS;IRF9;CSF1;STAT1;IL13RA1;IRF1;CSF2RA;SOCS1;MYD88;IL10RB;IFNGR1;IL17RA;BAK1;CCR1;IL15RA;IL1R2;SOCS3;HMOX1;IL18R1
12,prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.7015262513594681,1.6771706812110163,0.0,0.04831956323489758,0.184,35/88,14.43%,RTP4;IRF7;BST2;CLEC5A;NMI;CSF3R;FPR1;TLR2;P2RY2;CDKN1A;CXCL10;NAMPT;MXD1;EIF2AK2;CSF1;CCRL2;SLC31A2;RHOG;IRF1;TNFSF9;FFAR2;NOD2;SRI;GCH1;ICAM1;TNFSF10;PTAFR;TIMP1;IL15RA;CD55;C3AR1;PDE4B;RIPK2;PROK2;IL18R1
8,prerank,KEGG_2021_Human__Estrogen signaling pathway,-0.5223177027884468,-1.7945105176427745,0.0,0.020239938584050068,0.055,7/40,5.88%,NCOA3;PRKACB;CALM3;ADCY7;GNAS;FKBP4;PIK3CD
7,prerank,KEGG_2021_Human__Melanogenesis,-0.6402940072037697,-1.821743298741463,0.0,0.01703251662264323,0.041,4/19,2.74%,PRKACB;CALM3;ADCY7;GNAS
6,prerank,KEGG_2021_Human__Calcium signaling pathway,-0.5875226955633387,-1.8331200744866678,0.007936507936507936,0.018580927224701706,0.039,12/28,12.65%,PRKACB;CALM3;ADCY7;GNAS;SLC25A5;VDAC3;SLC25A4;ATP2B1;PPP3CB;ATP2A2;RET;ADRB2
5,prerank,KEGG_2021_Human__Amphetamine addiction,-0.6792599129978889,-1.879663177599811,0.005681818181818182,0.017419619273157848,0.029,4/17,2.74%,PRKACB;CALM3;FOSB;GNAS
