,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
32,prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,0.9485689385402577,1.7190381116369455,0.0,0.0,0.0,50/64,5.11%,RTP4;NMI;IFIT3;MX1;UBE2L6;B2M;IRF7;PSME1;IRF9;PARP9;RSAD2;SP110;LY6E;PSMB8;IFI35;CMPK2;HERC6;SAMD9;EPSTI1;ISG15;TRAFD1;PARP14;EIF2AK2;IFIT2;IFI44L;PSMB9;TMEM140;TAP1;PSMA3;HELZ2;BST2;STAT2;UBA7;TRIM21;IFITM3;PSME2;WARS1;DHX58;PARP12;DDX60;ADAR;TDRD7;OGFR;IRF1;LGALS3BP;SAMD9L;TRIM25;IFITM2;TRIM26;SELL
38,prerank,MSigDB_Hallmark_2020__Interferon Gamma Response,0.9221629739983886,1.670187641727335,0.0,0.0006009705674664583,0.002,62/119,4.88%,RTP4;NMI;IFIT3;MX1;UBE2L6;B2M;IRF7;PSME1;IRF9;ZBP1;RSAD2;SP110;LY6E;PSMB8;DDX58;IFI35;CMPK2;HERC6;EPSTI1;ISG15;STAT1;TRAFD1;PARP14;EIF2AK2;IFIT2;IFI44L;PSMB9;RNF213;SAMHD1;TAP1;PSMA3;PSMB10;HELZ2;BST2;STAT2;TNFSF10;NAMPT;TRIM21;IFITM3;IL15RA;PSME2;WARS1;DHX58;CCL5;NOD1;PARP12;DDX60;CD274;ADAR;TDRD7;OGFR;IRF1;LGALS3BP;FAS;GZMA;SAMD9L;TRIM25;PSMA2;IFITM2;IFIT1;CFB;TRIM26
56,prerank,KEGG_2021_Human__mTOR signaling pathway,-0.515522031545294,-1.5619967393864607,0.009345794392523364,0.04873382015240244,0.45,17/54,13.68%,PTEN;SOS2;AKT1;TNF;PRKCB;ULK2;GSK3B;KRAS;SGK1;PIK3CB;CLIP1;PIK3CD;CAB39;STK11;MAPK1;DDIT4;BRAF
55,prerank,KEGG_2021_Human__Axon guidance,-0.5607427854688323,-1.5732435975775008,0.0189873417721519,0.04471572350254284,0.419,12/38,11.55%,PPP3CA;ROCK1;PAK2;GNAI3;GSK3B;GNAI2;KRAS;PIK3CB;PLXNC1;PIK3CD;SSH2;MAPK1
54,prerank,MSigDB_Hallmark_2020__Estrogen Response Early,-0.5746633689637518,-1.5769076633777543,0.017045454545454544,0.04418072704424504,0.412,6/36,4.65%,ADD3;SVIL;FOS;KLF10;TOB1;JAK2
53,prerank,KEGG_2021_Human__Regulation of actin cytoskeleton,-0.4864600923518185,-1.5841714935295053,0.0,0.042219951187698765,0.4,35/78,21.18%,ROCK1;PAK2;PPP1R12A;SOS2;WASF2;ACTR2;EZR;ACTN1;VAV3;ITGA4;MSN;ITGAM;KRAS;PPP1CB;PIK3CB;PIK3CD;PIP5K1B;SSH2;MYH9;MAPK1;PIP4K2A;BRAF;IQGAP2;VCL;DIAPH1;PPP1R12C;ROCK2;ITGAX;PAK1;IQGAP1;RDX;ITGB2;ACTB;MAP2K2;ARPC2
52,prerank,KEGG_2021_Human__Gastric acid secretion,-0.6949011390709803,-1.5855298609758959,0.023026315789473683,0.042657041839548514,0.398,7/15,7.39%,GNAQ;EZR;PRKCB;GNAI3;GNAI2;CALM1;PLCB2
51,prerank,KEGG_2021_Human__Long-term depression,-0.638192417309795,-1.5971066203334596,0.01556420233463035,0.03952451708766717,0.369,8/20,13.68%,GNAQ;PRKCB;GNAI3;GNAI2;KRAS;PLCB2;MAPK1;BRAF
50,prerank,KEGG_2021_Human__Rap1 signaling pathway,-0.5161046422063603,-1.5973038251502387,0.0,0.04026335645699588,0.368,18/62,13.68%,TLN1;GNAQ;VEGFA;AKT1;VAV3;PRKCB;GNAI3;ITGAM;GNAI2;KRAS;CALM1;PLCB2;PIK3CB;MAPK14;PIK3CD;MAPK1;MAP2K3;BRAF
49,prerank,KEGG_2021_Human__Leukocyte transendothelial migration,-0.5374201343772756,-1.5993801070549398,0.021897810218978103,0.04047941613495324,0.365,13/43,9.96%,ROCK1;EZR;ACTN1;VAV3;ITGA4;PRKCB;MSN;GNAI3;ITGAM;GNAI2;PIK3CB;MAPK14;PIK3CD
