,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,0.5329993825185703,1.652696996507016,0.0,0.4067611114488965,0.161,33/128,9.69%,COX8A;LDHA;ATP5PF;COX4I1;ATP6V0E1;ATP5PO;COX7C;COX6B1;ATP5MC3;COX17;ATP5MF;COX6C;ATP5PD;ATP5F1B;GPI;UQCRQ;COX6A1;ATP5F1A;UQCRB;COX5A;COX7A2L;UQCR10;CYB5R3;POR;UQCRC1;ACAA1;ATP5MC1;COX7B;CYCS;SLC25A5;CYC1;HSD17B10;NDUFS4
1,prerank,KEGG_2021_Human__Cardiac muscle contraction,0.6520641481553732,1.5267959646893698,0.01834862385321101,0.6466224843436493,0.44,16/26,9.23%,COX8A;COX4I1;COX7C;COX6B1;UQCRHL;COX6C;UQCRQ;COX6A1;UQCRB;COX5A;COX7A2L;UQCR10;UQCRC1;COX7B;TPM3;CYC1
2,prerank,KEGG_2021_Human__Insulin secretion,-0.8547681646046366,-1.4855686196877205,0.002680965147453083,0.6170919118631363,0.413,6/15,11.67%,ATF4;PRKCB;VAMP2;CREB5;GNAQ;ATP1A1
3,prerank,KEGG_2021_Human__cAMP signaling pathway,-0.7044325548434672,-1.4403370992428635,0.009846827133479213,0.8148777810500388,0.709,9/58,11.67%,RAC1;RAP1A;ROCK1;PPP1R12A;CALM1;CALM2;CREB5;EP300;ATP1A1
4,prerank,KEGG_2021_Human__Adherens junction,-0.771412550349852,-1.4348296363325679,0.020481927710843374,0.6041992033531751,0.746,7/28,14.07%,RAC1;IQGAP1;WAS;TGFBR2;EP300;VCL;SRC
5,prerank,KEGG_2021_Human__Protein processing in endoplasmic reticulum,-0.6776139827006479,-1.429308406644804,0.004158004158004158,0.5080899217334655,0.78,9/93,8.86%,HSP90AB1;ATF4;UBE2D2;UBE2D3;DNAJA1;HSP90AA1;UBQLN1;SEC61B;NFE2L2
6,prerank,KEGG_2021_Human__Amphetamine addiction,-0.7841110491795298,-1.420122086150432,0.025348542458808618,0.4840039981080382,0.832,7/22,9.79%,ATF4;CALM1;PPP3CA;PRKCB;CALM2;CREB5;PPP3R1
7,prerank,MSigDB_Hallmark_2020__UV Response Dn,-0.7243591920879019,-1.4171336197694373,0.011534025374855825,0.42619192108496273,0.84,8/37,10.06%,PTEN;TGFBR2;ANXA4;SYNE1;INSIG1;NOTCH2;ATRX;CELF2
8,prerank,KEGG_2021_Human__PI3K-Akt signaling pathway,-0.6674356964978975,-1.4152746576372552,0.002061855670103093,0.3757303622902937,0.851,12/110,6.19%,HSP90AB1;RAC1;ATF4;GRB2;YWHAZ;IL2RG;YWHAQ;PTEN;IL6R;PIK3AP1;HSP90AA1;YWHAE
9,prerank,KEGG_2021_Human__Prostate cancer,-0.7141958016820678,-1.4038577762794837,0.01639344262295082,0.3964507866813026,0.89,8/42,12.94%,HSP90AB1;ATF4;GRB2;PTEN;HSP90AA1;CREB5;EP300;GSK3B
10,prerank,KEGG_2021_Human__Thyroid hormone synthesis,-0.7980436254373593,-1.3990860842709811,0.027777777777777776,0.38316739003467604,0.908,5/17,11.67%,ATF4;PRKCB;CREB5;GNAQ;ATP1A1
11,prerank,KEGG_2021_Human__MicroRNAs in cancer,-0.6799983201624858,-1.3934240305472512,0.024096385542168676,0.3775512480701097,0.924,9/63,11.50%,PIM1;ROCK1;GRB2;PTEN;MARCKS;NOTCH2;PRKCB;EP300;NOTCH1
12,prerank,KEGG_2021_Human__Th17 cell differentiation,-0.7051947037962493,-1.3911778148020115,0.01925254813137033,0.3538569005089312,0.926,7/44,9.79%,HSP90AB1;IL2RG;TGFBR2;IL6R;HSP90AA1;PPP3CA;PPP3R1
13,prerank,MSigDB_Hallmark_2020__Protein Secretion,-0.6830712264403327,-1.3874019479462234,0.017640573318632856,0.3439276503083362,0.935,14/61,15.52%,RAB2A;VPS4B;VAMP3;AP2M1;IGF2R;CLTC;ARFIP1;GOSR2;ADAM10;ATP1A1;YKT6;ARF1;SNAP23;GLA
14,prerank,KEGG_2021_Human__Basal transcription factors,0.6508237154581453,1.3678298338902115,0.1073170731707317,1.0,0.788,2/17,4.88%,TAF7;TAF9
15,prerank,MSigDB_Hallmark_2020__Adipogenesis,0.4705455942914661,1.3653614235637892,0.0,0.97905393080805,0.793,14/95,10.61%,COX8A;ATP5PO;UQCRQ;COX6A1;CD302;UQCR10;SCP2;STOM;SLC66A3;POR;UQCRC1;COX7B;CYC1;LPCAT3
16,prerank,MSigDB_Hallmark_2020__Unfolded Protein Response,-0.6681656677569427,-1.3620155954936315,0.02826086956521739,0.46528703106840236,0.983,9/61,15.69%,IFIT1;ATF4;YWHAZ;TUBB2A;FUS;GOSR2;WIPI1;BANF1;EIF4A1
17,prerank,KEGG_2021_Human__Bacterial invasion of epithelial cells,-0.6957058253674846,-1.358469908345682,0.03274853801169591,0.45277266752595385,0.984,8/39,15.07%,ARPC2;RAC1;ELMO1;CLTC;CBL;VCL;SRC;ACTR3
18,prerank,KEGG_2021_Human__Pancreatic secretion,-0.7345273893674737,-1.356305325327255,0.06060606060606061,0.436711199164681,0.989,5/22,11.67%,RAC1;RAP1A;PRKCB;GNAQ;ATP1A1
19,prerank,KEGG_2021_Human__Chemokine signaling pathway,-0.6413842642865448,-1.3551244061654586,0.021208907741251327,0.4157898494462442,0.989,14/88,14.07%,RAC1;RAP1A;ROCK1;GRB2;WAS;CXCL2;PTK2B;ELMO1;PRKCB;DOCK2;GNAQ;HCK;GSK3B;SRC
20,prerank,KEGG_2021_Human__Aldosterone synthesis and secretion,-0.7476696541883417,-1.3534902149825039,0.05012531328320802,0.40105286311467103,0.989,7/22,11.67%,ATF4;CALM1;PRKCB;CALM2;CREB5;GNAQ;ATP1A1
21,prerank,KEGG_2021_Human__Ubiquitin mediated proteolysis,-0.6539924055418899,-1.352967523382742,0.021574973031283712,0.3813604574025982,0.989,14/71,17.27%,UBA52;UBE2D2;UBE2R2;UBE2D3;UBE2W;UBE3A;UBE2K;CBL;UBE2N;COP1;AIRE;RBX1;ANAPC11;FZR1
22,prerank,KEGG_2021_Human__Cushing syndrome,-0.6899722280612526,-1.35196593978507,0.03051643192488263,0.36711833263112803,0.99,6/39,12.94%,ATF4;RAP1A;FH;CREB5;GNAQ;GSK3B
