"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Oas3",200.940317024096,4.050702688759,0.264790619130182,286.399758365321,3.02714358553521e-64,3.82297963417242e-60
"Ifi27l2b",477604.34008452,5.35516293108239,0.286013210255848,193.349567633057,5.90507576117647e-44,3.72876008939488e-40
"Tifab",3983.63056206676,3.56961550479438,0.230581075672352,165.569143528914,6.87041689916409e-38,2.89221650065144e-34
"C2",4131.54128941935,4.05761642584931,0.258191695133707,161.543844347566,5.20411337322732e-37,1.64306869476219e-33
"Irf7",27825.1555060914,6.28551096820222,0.359965173813205,153.736702474046,2.64405271745497e-35,6.67834835374776e-32
"Cbln4",36.3442623974038,-4.5726788323124,0.407304754247799,152.805190401233,4.22521126813491e-35,8.89336551754596e-32
"SCoV2_UTR3",2612.8666197637,14.0992928104183,1.29223919649931,144.042618844725,3.47754592840195e-33,6.2739896471126e-30
"Ube2v1",2794.91284195946,0.898395178872902,0.0742957773614448,137.156131837919,1.11466959830322e-31,1.75964529462143e-28
"Rnase6",661.876760628027,2.15720621186609,0.175489562670828,128.799148665726,7.5040374579839e-30,1.0529832117431e-26
"Rtp4",5624.85905614895,3.31721148933571,0.249670707786513,124.390544623758,6.91924914350787e-29,8.73831974333609e-26
"Unc93b1",7108.62324258346,2.4300533238443,0.196097678652601,119.891313954572,6.68233678605678e-28,7.67193011555555e-25
"Oasl2",1437.79536311679,4.2221982706544,0.315420536617355,118.214963914224,1.55579168026617e-27,1.63734109417345e-24
"Oas1c",4368.81083841326,6.97323487928152,0.45551355763609,116.539700875052,3.6205852419724e-27,3.51725930929765e-24
"Mgam",854.371161837532,-1.68959157877118,0.163883240740403,114.339568510901,1.09799746959287e-26,9.90472145963454e-24
"Irf8",2562.18960943605,2.05839003824264,0.17561001216349,113.001846379659,2.15574014057083e-26,1.81498948235127e-23
"Isg15",92300.9024695073,8.20027789365567,0.500642035426858,112.102827206104,3.39250810161269e-26,2.67774905095417e-23
"Prkar2b",490.723799543733,-1.08083453070176,0.105953966718924,108.652427592539,1.93391071218156e-25,1.43666814024358e-22
"Siglec1",876.468151265998,6.10694292455766,0.460297676816315,107.745818698437,3.05556387482689e-25,2.14381756528827e-22
"Cd209b",357.745521457388,5.01729080501367,0.41723501729742,106.099837870155,7.0112365898621e-25,4.66025825754571e-22
"Oas2",101.232106124743,4.24167521247539,0.432536036597231,101.830851612626,6.04709790207589e-24,3.81843997026582e-21
"Psmb9",5164.41961535725,1.40529690618077,0.13141729904234,100.544967740178,1.15739239466413e-23,6.96033740581585e-21
"Map2k2",2061.36799428836,0.623930680897647,0.0615919269530974,99.2762260184354,2.19628807001143e-23,1.26076918346247e-20
"Slfn1",2384.8712273041,5.89938053994486,0.44157335176078,98.3579653056854,3.49193401550298e-23,1.91737542094727e-20
"Coro1b",3249.30795914458,1.16117949644918,0.111857150024452,97.6685807937501,4.94608547280558e-23,2.60267139316924e-20
"Ddost",2755.00769143228,0.628331440815286,0.0627655367437559,96.3698315600771,9.53084192011815e-23,4.81460010436689e-20
"Lgals3bp",9152.61344234476,4.70564846522099,0.375565675539093,93.8321357513135,3.4345016870614e-22,1.66824314638071e-19
"Rrp1",923.583661656845,1.13031207280056,0.112704079130374,93.4823248572172,4.09844198383462e-22,1.91700828940175e-19
"Ifi44",6781.01940417947,3.83860152453271,0.32342259128312,93.0526315786473,5.09220100596219e-22,2.29676451801059e-19
"Psmc2",1851.04146885496,1.02752906725168,0.102673690673911,92.6703824682318,6.17711149589392e-22,2.65277056204088e-19
"Hilpda",2103.81217084772,2.01042562224022,0.189960020215229,92.6308890940677,6.30161666491617e-22,2.65277056204088e-19
"Shisa5",17054.3476451748,2.02955505598841,0.191222075112545,91.8442108184062,9.37758223106525e-22,3.82030599987494e-19
"Bst2",24193.4403817402,3.56951362439806,0.307637320871201,91.317217933738,1.22391027658126e-21,4.83023840092024e-19
"Zpr1",650.152287099987,1.03663122407496,0.106299179640672,90.6281460512045,1.7337645067492e-21,6.63506422901081e-19
"Sct",560.147885767047,9.52168810155714,1.02158118572059,89.5364848909288,3.01035296638083e-21,1.11816904742422e-18
"Hmox2",1237.10130582056,0.991771302046217,0.101803999625511,88.8468366625618,4.26595202580165e-21,1.53927737525283e-18
"Trabd",1582.76384082985,0.948596770604393,0.0980557215450783,87.5160158781344,8.36001020647039e-21,2.93273802493096e-18
"Syngr2",2555.05418646646,1.41776489086335,0.142839354300659,86.8755838637322,1.1556733757686e-20,3.94459434123829e-18
"Ranbp2",1287.02111654686,-0.589110262254871,0.0650445342887993,84.1690059663689,4.54236172486059e-20,1.50961805850696e-17
"Psmc4",2107.74330048274,0.916459449422659,0.0970776183204685,83.1954430540125,7.432886240463e-20,2.40692103412326e-17
"Zfpl1",668.96472703384,1.2075387507759,0.128215592069044,82.3386243370353,1.14659480349635e-19,3.62008644333885e-17
"Rnf44",446.574613819322,-0.830571454908762,0.0929047916034344,82.18528437247,1.23908985283315e-19,3.81669896376339e-17
"Ube2l6",6452.53915897658,4.45532083859322,0.38575167074141,82.1158005781785,1.28342489392223e-19,3.85913642508187e-17
"Sys1",1576.37876983238,1.15230740277206,0.121979426314485,81.4496754601412,1.79781729010762e-19,5.28014757134166e-17
"Tor1a",942.897652727356,0.848751364432284,0.0932008542950651,79.2081758475103,5.58982755134268e-19,1.60440754877061e-16
"Apobec1",2010.02058305424,5.75192464119638,0.483762979550519,78.5091068114987,7.96302948649199e-19,2.23477998633127e-16
"Usp18",6809.8543247855,5.81377732921224,0.483574123215726,77.012332925522,1.69893723740954e-18,4.66432138505327e-16
"H2bc18",112.872896907214,-1.57000748076655,0.183692916245373,76.7255644961331,1.96443913836258e-18,5.21871809642357e-16
"Lat2",3267.86950185336,1.57649054476509,0.167268793601801,76.7064768476385,1.98351784486762e-18,5.21871809642357e-16
"Puf60",2072.29025252349,0.745227628757554,0.083364491797974,75.8831706599977,3.00954133243535e-18,7.75663214027061e-16
"Mrps18b",1048.52844955246,1.34172289941532,0.146179732710598,75.8191012012855,3.10879218706881e-18,7.8521873060984e-16
"Ifit2",18478.4182854586,6.5046154256026,0.52668617932499,75.0715276711365,4.53965992321755e-18,1.1241444151042e-15
"Tmem9b",1365.82761098207,0.90836125198649,0.101850685582624,74.6601992727663,5.59120313379056e-18,1.35790969955079e-15
"Impdh1",1104.60868687492,1.56150806426975,0.169463518743243,74.4245980916046,6.29991155677793e-18,1.50116194434997e-15
"Uba7",1148.27549288154,3.58670527664491,0.347352131362248,74.3400407699606,6.57561628752191e-18,1.53784181657619e-15
"Csnk2b",4950.05008590458,1.03054036028252,0.114374869672879,74.2273510565325,6.96190053536261e-18,1.59857894292899e-15
"Eif3d",2668.3604376029,1.01839321173898,0.113498215747919,74.0024696387631,7.80193596162488e-18,1.75947587963144e-15
"Plac8",21383.431911259,3.43946955504533,0.33192836831385,73.9590991431128,7.97524871251223e-18,1.76700729807574e-15
"Zfp385a",221.820906187464,1.38679686837743,0.159920307635504,72.8666927931637,1.38709422562637e-17,3.02027809921301e-15
