"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rtp4",2760.66694019997,2.41137228740759,0.146023009137197,217.175200870002,3.73733514192036e-49,4.4440652172575e-45
"Oasl2",1001.32008873056,3.86998764563072,0.278688313745295,134.223258166782,4.88245825714302e-31,2.90286555678438e-27
"Ifi27",24751.7574148966,3.07618687709294,0.236304555101846,121.955196276798,2.36110132676425e-28,7.4400385626304e-25
"Oas1c",3243.38997546959,6.7214725492399,0.435964161706562,121.839608742199,2.50274613157191e-28,7.4400385626304e-25
"Cxcl10",1821.66951062971,6.67351388526518,0.460236952936165,112.908697798744,2.25943263607268e-26,5.37338269510805e-23
"Oas2",165.625818127789,5.15315897499232,0.464552500596886,112.482193589554,2.80169879767428e-26,5.55250006719081e-23
"Usp18",2514.61434885621,4.53875037213325,0.342557872543274,109.092054600986,1.54921323267206e-25,2.63167064995763e-22
"Irf7",8760.77956426223,4.78074941770837,0.353307961056921,108.598758914255,1.98699063550165e-25,2.95341320584377e-22
"Adar",790.914618428019,1.62090714735365,0.146699320397067,108.097698326371,2.55850468809342e-25,3.38035324956876e-22
"Ifi27l2b",221594.97949583,4.41037835110961,0.353455849037249,95.5063169748559,1.4742013545737e-22,1.75297283072358e-19
"Herc6",2389.10036108913,4.35248452898053,0.357449486306514,93.6921374755195,3.68622319102626e-22,3.98480726949939e-19
"Gbp6",926.402023457932,3.45344238544711,0.322124502616333,81.762484762252,1.5346408905302e-19,1.46337956018624e-16
"Oasl",2475.75870479629,3.52675673216269,0.324149952435435,81.6802287204686,1.59985991778834e-19,1.46337956018624e-16
"Rsad2",2738.46663954117,5.51431334348065,0.457565047123902,81.1093812425409,2.13563746692458e-19,1.81391893708573e-16
"Ifi44",3748.16541474008,3.13308044941473,0.296710901643588,80.171051601851,3.43360929104521e-19,2.71628561516205e-16
"Ifit3",6524.99791003283,4.98305517228246,0.424200033400099,80.0476353476622,3.65491294614354e-19,2.71628561516205e-16
"Oas3",113.027000825232,3.36154062810521,0.356232557252571,79.7985341475628,4.14600200482763e-19,2.90000646114149e-16
"Isg15",24850.5918508155,6.480061664922,0.512531705313254,78.6751189584951,7.32118785824325e-19,4.83645804568725e-16
"Ccl3",263.048705397826,2.06397310069264,0.219087259190562,78.0265817987994,1.01663209955546e-18,6.36251173463896e-16
"Ddx58",1231.873248756,3.04583919076348,0.297907269609697,77.0822857601547,1.63981529127837e-18,9.74952181429553e-16
"Uba7",526.415676853343,2.58505140073206,0.263962858369409,76.4310602788995,2.28036281918116e-18,1.29122829918491e-15
"Slfn1",965.355255081521,4.75952792186175,0.438627625965368,73.245659532316,1.14476641738617e-17,6.18746248597224e-15
"Ube2l6",2748.34925803142,3.36755157436381,0.332589127450912,71.8552835333178,2.31572641143699e-17,1.19723055471292e-14
"Ifit2",6229.8411481442,5.10282519283983,0.465966437407004,68.6163514884855,1.19608234361718e-16,5.92608964497994e-14
"Mxd1",628.249986827117,1.57906600567124,0.179341026611633,68.3956434491597,1.3377277522497e-16,6.36276828080046e-14
"Ifit1bl",1446.47453033173,4.37746597504915,0.422214994629682,68.0645800720937,1.58227524444215e-16,7.23647497371599e-14
"Dhx58",462.902850947845,2.3867802618093,0.262171725386725,67.5703589074301,2.03301090988519e-16,8.9535306405351e-14
"Apobec1",632.881756522542,4.24138345782382,0.424483134495396,66.1245900058339,4.23301703515802e-16,1.79767162732372e-13
"Irf9",190.869430875392,2.05298320026951,0.242325763368025,63.9083953977261,1.30341020957379e-15,5.34443131104896e-13
"Rnf213",2320.04343804105,2.36017500521621,0.262938697712249,63.5792232440469,1.54045348239802e-15,6.10584411973162e-13
"Helz2",892.85008216832,1.90794654114958,0.219657008058545,63.4896092888843,1.61214957566091e-15,6.18389374328514e-13
"Lgals3bp",3062.86779365661,3.26111746618071,0.348373341513132,62.052280741203,3.34458775340135e-15,1.24282790549048e-12
"Sp110",1116.75973286811,1.66053251601212,0.197006064202132,61.2420982402248,5.04707165690157e-15,1.81862815370353e-12
"Gbp2",4801.590175616,3.01564407670129,0.332780074847851,59.6807631230584,1.11561700296668e-14,3.901706406552e-12
"Ifi47",2541.06652311348,2.60338790147872,0.296437183671099,59.0531576671495,1.53469476806138e-14,5.21401585343367e-12
"Cgas",259.9478807543,2.58444769756542,0.310296836965481,56.4827363147871,5.6693950038718e-14,1.87263266641777e-11
"Cmpk2",1510.87380442226,3.2255872447025,0.366556148862637,55.3918191427653,9.87465633678256e-14,3.17350104055896e-11
"RT1-T24-4",669.643037277259,2.56753357159497,0.306496016980723,54.9872702089164,1.21313002539779e-13,3.79613924526452e-11
"Gch1",373.515691043901,2.75133620750622,0.328877485841867,54.8236671118137,1.31843487278499e-13,4.01987412109905e-11
"Xaf1",1960.21420681602,2.51265899528117,0.302473454279711,53.4892089043035,2.60017178325036e-13,7.72966066865752e-11
"Unc93b1",3321.42318757987,1.38741386303061,0.178071797439136,53.397993919902,2.72374856751739e-13,7.89953517471934e-11
"Bst2",12479.9485763084,2.7504867191296,0.326844891348024,52.9761465399175,3.37623681064544e-13,9.55876950366308e-11
"Mx2",945.272851009812,4.90702535556393,0.528063631329003,52.1942337794258,5.02735423057083e-13,1.39023881757483e-10
"Tap1",2188.53640112824,1.3367032269999,0.174575665655108,51.9681473896821,5.64083017886053e-13,1.52443435583706e-10
"Ogfr",2294.56220538363,1.53168957285756,0.198891425067708,51.4206006044805,7.45521062998312e-13,1.96999799113621e-10
"Trem1",507.908062562229,1.3935371772835,0.185066891058336,51.0365393606421,9.06624826705626e-13,2.34362517703404e-10
"Parp9",1505.26828802116,1.89373561580792,0.243502896333702,50.4772297888377,1.20555448972484e-12,3.05005285900386e-10
"Siglec1",352.691006331277,4.97700054333543,0.563712875747114,50.1696576458501,1.41011430269892e-12,3.43004805111732e-10
"Trafd1",1312.56848224224,1.72757046738468,0.22510876626095,50.1650326878767,1.41344171646412e-12,3.43004805111732e-10
"Samd9l",105.451526328128,4.66789887604662,0.593284255759571,48.9796597441097,2.58630651589258e-12,6.15075415609573e-10
"Tifab",1380.58518235515,2.12343710889605,0.276173889168973,48.0658136944002,4.12150130275655e-12,9.60956313550551e-10
"Nmi",3986.40868869418,1.94649540362354,0.255132254286856,47.9968752283014,4.26898968230374e-12,9.76203006005266e-10
"Dtx3l",1932.30184162165,2.02844820499715,0.268060599242689,46.9294728898272,7.35877068942275e-12,1.65100268430049e-09
"Pla2g5",872.956496972255,3.05583337291336,0.382718734449966,46.7853010009385,7.92052640155162e-12,1.74412924890463e-09
"Lgals9",2371.97090559267,1.7208306408207,0.231819514040037,46.7399455060117,8.10597589059244e-12,1.75251198754608e-09
"H2-T23",11872.1165082898,0.930036667809843,0.131128500838154,46.3015299063175,1.01384764312974e-11,2.15279684365281e-09
"Tgtp2",3577.40788492658,2.67110555862166,0.346279823074825,45.0488582048721,1.92179279762872e-11,4.00912950115844e-09
"Csf3r",992.972166979775,2.13386228310313,0.287293760699957,44.9245798077153,2.04771279825508e-11,4.19816429035365e-09
"Epsti1",205.100400684078,2.1090248030198,0.291923584264151,44.6693013099497,2.33286481495836e-11,4.70171110418133e-09
"Nt5c3",1122.92471843433,2.08252525550971,0.284554207000179,43.8048698082083,3.62801184063062e-11,7.19011479948979e-09
"Pml",694.808583077304,1.87128398198921,0.262537282442766,42.8190922266528,6.00432841728629e-11,1.17045031491723e-08
"Csrnp1",511.971731633129,1.76223733800647,0.251647878482679,42.0856878055893,8.73602333444823e-11,1.67548473338587e-08
"Cmtr1",538.900749634411,1.19855455072834,0.176729000730273,42.0334227153438,8.97266216918471e-11,1.69355437863136e-08
"Igtp",2225.9410868558,2.36246033789511,0.326259340230021,41.2448139489506,1.34307713234481e-10,2.49539534073628e-08
"Shfl",1160.12513133593,1.25474823252146,0.187179150617873,40.3106483166079,2.16625062920778e-10,3.96290557413995e-08
