"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Aicda",421.270519673494,5.85502541331332,0.352462329351773,229.991015678138,5.98827747691715e-52,4.79098559646825e-48
"Plac8",58178.8731750368,2.40407435275432,0.140112152251422,229.495438743191,7.6803231748449e-52,4.79098559646825e-48
"Nmi",5221.35662594527,1.86937338964031,0.11399518265905,225.358016013293,6.13374823643217e-51,2.55082143325759e-47
"Irf9",5969.48804388786,2.06918150292398,0.137059103339727,186.083057020325,2.27698885902683e-42,7.10192825130468e-39
"Eif2ak2",1723.67097517183,2.08739273805807,0.143002250210338,176.606349462268,2.66950138104558e-40,6.66093984598494e-37
"Parp14",4478.02006255799,2.28162931237727,0.155350736972818,172.093280547499,2.58219537643072e-39,5.36924491939161e-36
"Dtx3l",418.898966438149,2.73612015317,0.193672890420387,166.347612727752,4.64444675187358e-38,8.27773109662497e-35
"Ube2l6",2338.18722663226,3.31343490407212,0.221351048774589,160.1008133293,1.07552839489783e-36,1.67728653184317e-33
"Siglec1",538.206469404787,4.13451629802715,0.281938204059109,154.644506970184,1.67448194642215e-35,2.3212040848403e-32
"Fcgr4",1440.24350820743,3.49595931256211,0.238134256577876,152.957269238416,3.91391743142682e-35,4.8830033874481e-32
"Stat1",2824.5838709395,1.69204514405709,0.12781802298664,150.238961475655,1.53719409928678e-34,1.74345759842744e-31
"Parp9",1890.584594212,2.23957918066725,0.16905571796131,142.002881392452,9.7107168929203e-33,1.00959086630061e-29
"Cmpk2",855.910828484343,2.95039320128314,0.222366140912806,134.562838453692,4.1148955173604e-31,3.94903357496834e-28
"Mitd1",1506.69790851293,1.74837448599216,0.14137135484423,131.34973241038,2.07609758237456e-30,1.85009953126464e-27
"Mnda",22217.3487886976,2.19773862836975,0.173353716326884,128.450870117075,8.94338411765303e-30,7.43851068345594e-27
"Ddx58",1102.76370864502,2.13735814657725,0.172715508716348,126.542294573889,2.33962022867795e-29,1.82431887331163e-26
"Ifi35",4386.6605325439,2.07626373975118,0.167110021585425,125.853985972988,3.30960359432593e-29,2.42885967310649e-26
"Epsti1",2643.76579943822,1.82215832580349,0.149876183875778,124.71202341535,5.884355690134e-29,4.07851231056177e-26
"Samd9",3859.62793757943,1.91629874464763,0.156702310464942,124.286028385453,7.29346807886313e-29,4.78912146062613e-26
"Mx2",6458.79136835075,2.606996113906,0.205522851760496,122.930671475398,1.44407607840371e-28,9.00814657708236e-26
"Rnf114",1567.25283829277,1.37741838426492,0.117820361037996,122.146935147799,2.1435977863793e-28,1.27350123727943e-25
"Usp18",1729.26216360143,4.01580350635957,0.299180492794971,119.226180439496,9.34434576980099e-28,5.29909353745623e-25
"B2m",96151.5386035945,1.18383382881822,0.102819104672533,118.726956106262,1.20185071363573e-27,6.51925630579102e-25
"Rnf213",2004.57762282536,2.01413083731842,0.169812129725906,116.355155503745,3.97366048296406e-27,2.06564117439415e-24
"Parp12",1101.28480231086,1.85135891924741,0.160883237029073,112.80464734793,2.38117036494145e-26,1.18829925892038e-23
"Calhm6",2451.09600666529,2.16835149267247,0.186617939775051,109.359610700195,1.35359746914283e-25,6.49518539424073e-23
"Zbp1",958.306301922827,2.18997885144038,0.190379125883494,108.815412266532,1.78125044861246e-25,8.23069651736634e-23
"Samhd1",3567.02438151018,2.45136839167144,0.208764139065295,107.612010339232,3.2689820005321e-25,1.45656497995137e-22
"Adar",769.087194871025,1.57774937362727,0.143907479006184,106.428870760733,5.93862316912455e-25,2.55483664337924e-22
"Slfn5",1536.53298716345,2.63025745062299,0.224515091546992,106.004655882353,7.35621654481474e-25,3.05920525377029e-22
"Dnajc8",3790.94517916275,0.499034528000595,0.0479880467832101,104.835122967195,1.32733559066357e-24,5.34188349326409e-22
"Psme1",12050.5242948055,1.47040983328674,0.13440031464696,104.092192152969,1.93117752889052e-24,7.52917839076191e-22
"Dhx58",491.343551684882,2.32512615820791,0.211085250768934,100.449640957627,1.2144583866602e-23,4.5913887369614e-21
"Rnase6",2035.4947862726,2.31774948195622,0.207368500221371,99.5683207939824,1.89511687135326e-23,6.95396414323624e-21
"Ly6e",7892.77193976773,2.57419893112824,0.226061779100852,99.2725490390194,2.20036960355161e-23,7.8433746211171e-21
"Ogfr",1224.28421597487,0.893266742641445,0.0907383625620142,91.3421115349978,1.20860962186617e-21,4.15740672737907e-19
"Psmb8",8766.8678516883,1.92188552829427,0.182843741145689,91.3026409770503,1.23295967387805e-21,4.15740672737907e-19
"Mrpl52",6991.23281769675,0.674422354545719,0.0692216824873401,89.9063436595074,2.49705084812782e-21,8.19821220559018e-19
"Hsh2d",683.112250470521,1.92118116536072,0.187452873220027,89.4526057549019,3.14073107780598e-21,1.00471181863352e-18
"Dynlt5",51.934042264522,5.73199426816387,0.744422563586331,88.9714331900239,4.00555183271523e-21,1.24933161662388e-18
"Sp110",3049.35022138027,1.45408225313511,0.145133351700796,87.8755153110593,6.97062238628916e-21,2.12110938759375e-18
"Trex1",535.214595970441,2.25720167439091,0.21892835419447,87.7663079154652,7.36630748222886e-21,2.18814409876875e-18
"Aim2",581.8038080258,1.07585773891823,0.112416774999739,86.3309419771065,1.52208309383137e-20,4.4161648089861e-18
"Psmb10",4194.68672855011,1.40541234079362,0.144434486551936,83.1707292398013,7.52639612245188e-20,2.13407540962976e-17
"Psmb9",4679.85996856315,1.87907883421431,0.188560697628543,82.6198195996583,9.94548180153441e-20,2.75732957679874e-17
"Rtp4",2111.70702900112,2.98478253208369,0.281987630604325,82.3251042259949,1.15446471820795e-19,3.13110909225269e-17
"Aire",146.890786382174,3.31073152630107,0.334918043506822,81.7532836760614,1.54180208967408e-19,4.09266444059017e-17
"Rbm43",842.280879671046,1.15296229968259,0.124222742064859,79.2562320746412,5.45549999922502e-19,1.39332617597214e-16
"Xdh",3868.08300129554,1.60779939999707,0.167366424823969,79.2501410102723,5.47234551319611e-19,1.39332617597214e-16
"Irf2",3171.79308989838,0.754434504877942,0.0823864359888581,79.0763428330329,5.97556110180877e-19,1.49102200612332e-16
"Milr1",1941.42511108235,1.28333501720222,0.138529628867997,76.7774416386702,1.91350862707642e-18,4.68096737870694e-16
"Aif1",7509.91982919471,1.14734812385471,0.125189362041258,75.6986379358434,3.3043548145212e-18,7.92790974345511e-16
"Mrps18c",1721.7268563106,0.686232150886017,0.077235434987065,75.4435521522118,3.7600410879898e-18,8.85099483278506e-16
"Mlkl",428.277646342825,1.14060585952551,0.127543737118047,75.239510455717,4.16939556463263e-18,9.50767619457555e-16
"Nt5c3a",2085.12964322375,1.27693947036009,0.139242682374652,75.2291058788413,4.19142506173177e-18,9.50767619457555e-16
"Mx1",7905.73521816953,4.21248681777125,0.387563304293084,74.4737974210231,6.14484697765091e-18,1.36898412309237e-15
"Nampt",2114.28865993592,1.12043214230104,0.124789496458045,73.3389545996697,1.09191486338772e-17,2.38995260274125e-15
"Znfx1",881.72060267169,1.36535785211155,0.151150293789107,73.1117781147559,1.22511244763868e-17,2.63525912012761e-15
"Herc6",2066.98253279572,3.0890541267059,0.308496862485018,72.691046632184,1.51620390167119e-17,3.2061287927542e-15
"C2",626.4195011795,3.52551031775595,0.348964941220814,72.4746883274713,1.69188088418334e-17,3.51798431851188e-15
"Slamf8",94.1397988247712,2.20822250173088,0.257174352045339,70.3941286153082,4.85642512657099e-17,9.93258358673766e-15
"Gsdmd",601.017977645395,1.0915979565931,0.125942231231977,69.9346602420348,6.13017760654006e-17,1.23354993256764e-14
"Pml",1095.77374682601,1.56801904285604,0.175294371672302,69.7113175802855,6.86510659406566e-17,1.35950904551687e-14
