"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMBIM4",3722.45688731334,-3.28009392504021,0.179562606799536,403.963683881876,7.55267836431586e-90,1.55358593953977e-85
"AL133415.1",777.741797253603,9.48621446559639,0.68686390752293,396.458037037482,3.25075275693505e-88,3.3433992105077e-84
"AC005921.2",96.7969351363168,-6.71371227659195,0.393901217716128,341.086286144952,3.70081947688984e-76,2.53752855465413e-72
"ATP6V0C",9206.90645950399,7.16946906805694,0.295555038416743,261.959743108546,6.41719138139362e-59,3.30004066788167e-55
"ZGPAT",283.233113968321,7.17772423640426,0.545005441412317,239.964688578687,4.00317884884831e-54,1.6469077784162e-50
"AL662899.2",517.749573500814,12.0166590100869,1.22120840672362,230.462659658187,4.72546619686927e-52,1.62004732782668e-48
"OVCA2",564.558660701464,9.34574965016418,0.7953485503662,203.792914270438,3.10578176178859e-46,9.12656154857019e-43
"AL133453.1",84.165392267167,-7.13393875855058,0.539615195251981,197.535399437595,7.2057502360555e-45,1.85277852944577e-41
"NDUFB8",1831.57904361522,-3.92633140939255,0.308151247224919,194.912636443548,2.69202175115424e-44,5.75409967869138e-41
"PHKG1",275.163330697338,-6.26370852584539,0.466221227257448,194.836281366501,2.79732604700602e-44,5.75409967869138e-41
"PARL",425.267718349448,-3.07339973220646,0.24207174909332,193.739136051427,4.85511022492364e-44,9.07905612060721e-41
"EDC4",160.558184633711,5.57514041652617,0.450640385456154,174.828050135123,6.5276402575151e-40,1.11894633414238e-36
"CLEC3B",21.9233482683982,-7.47638179810378,0.690752937632498,165.782507434146,6.17128118855837e-38,9.76486569604966e-35
"CCNI",5085.90534317655,-1.70162683949964,0.143776803533374,162.662447801127,2.96458968239825e-37,4.35582926906658e-34
"AL157938.3",40.7008033713699,-5.9988459665328,0.512066086422215,161.743538135913,4.70672421842846e-37,6.45448781153823e-34
"SLC35A1",307.617736611238,-2.31215617257331,0.205320293816797,148.307988445785,4.0626251598142e-34,5.22301247108613e-31
"SELL",1181.40865817437,4.97148183077349,0.318892724732402,141.631546124142,1.17070251813658e-32,1.41655004694526e-29
"R3HDM2",530.74189496898,-2.81310390228123,0.260600153133913,139.977992551753,2.69169759343469e-32,3.07601219427508e-29
"VKORC1",1244.68912038601,-2.64012012717048,0.245048912208637,139.498700825976,3.42639670410668e-32,3.70952527386707e-29
"PIAS2",445.689652692298,-2.13231695203412,0.19526700254155,139.221074781333,3.94048761685787e-32,4.05279151393832e-29
"KBTBD11",80.2211793559371,-3.57046367877324,0.328584674911472,138.242683860324,6.44933516512662e-32,6.31727734984069e-29
"RPS10",9966.82227428314,-4.31494413517146,0.401811865746143,137.100869338513,1.14612644502644e-31,1.07162822609972e-28
"RPL23",11017.5019609745,-2.70947349731022,0.255144295142944,136.284875238119,1.72862729789404e-31,1.5459940659861e-28
"SCO2",200.901144083922,7.77619399760239,0.793425825003058,132.263462990822,1.31023851188835e-30,1.12298359123097e-27
"AC090517.4",57.9625873277333,3.43491238420968,0.342472890530072,132.120089596113,1.40836614603486e-30,1.15880366495748e-27
"TM2D1",1182.27359767462,-1.39349518440098,0.129168959784088,131.525705492041,1.89998089523716e-30,1.5031771928857e-27
"RPL13A",30689.1926954959,-2.98014338623695,0.288054456864469,129.796271636726,4.54070025506699e-30,3.45934089802696e-27
