"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL136114.1",9.04456654722113,-5.71871544350083,0.682498542245579,83.7424980825624,5.63605251023688e-20,1.30773326395026e-15
"ADAMTSL4-AS1",256.377069926502,-2.91001344406394,0.364523626381029,75.81753953891,3.11125182432545e-18,3.60951880399117e-14
"LINC00513",580.41444650885,-1.88779350998018,0.236511394063413,73.9929351181822,7.83971086160886e-18,6.06349370406368e-14
"AC016831.1",30.6134024926256,-2.53035509192492,0.332007127254818,67.3752766391585,2.24445940024087e-16,1.30195478659473e-12
"AC245014.3",5.95530395548265,-5.83231896951364,0.78324981352363,66.7109056447626,3.14390977382472e-16,1.4589627696411e-12
"AP002383.2",14.003187705702,-3.64872104986904,0.48492382379417,66.3256162872602,3.8225846692734e-16,1.47825720135251e-12
"TEX14",31.9619275957181,-2.45213886314023,0.334747981327157,62.2372067733945,3.04480540043658e-15,9.38115759922468e-12
"AC009065.4",12.480678923531,-3.76119879495162,0.51626128657934,62.0745045419114,3.30705430428924e-15,9.38115759922468e-12
"AC098588.3",48.4661600093656,-2.5580432151312,0.35147186118362,61.8862739524363,3.63877164129734e-15,9.38115759922468e-12
"LINC01090",117.138390726825,-2.59367614139642,0.358908498185261,61.650354519534,4.10193266299743e-15,9.51771435795294e-12
"AC003991.1",66.6942509638481,-3.93372649180009,0.548153187688764,60.3452657859653,7.95957638144717e-15,1.63898260828422e-11
"ACSM6",32.8265426386916,-2.96511507598612,0.413253115982807,60.2214366657132,8.47640016351792e-15,1.63898260828422e-11
"LINC01811",52.1286749681148,-4.33703836729452,0.612565571665919,58.4863646523867,2.04704756525331e-14,3.6536649735825e-11
"AL353576.1",4.14764567164368,-2.81129944453453,0.393011151839712,58.0607767653504,2.54143374014081e-14,4.21206336232052e-11
"SLC24A1",52.6963390952378,-1.57902582174851,0.220506227172016,57.1537421708024,4.03040224078991e-14,6.23449487953656e-11
"SYT1",79.4830231793134,-2.53312715517981,0.363677703748777,57.0137138919955,4.32783410761186e-14,6.23689900397171e-11
"AGBL1-AS1",6.43676085091737,-5.75122570354129,0.812055266040473,56.9068342211499,4.56955062136444e-14,6.23689900397171e-11
"ERFL",24.3653421233939,-2.7065320733199,0.388441262505637,56.764452798173,4.91266968425829e-14,6.3327041491025e-11
"ITM2B",295.274127090105,1.25641467357008,0.156747339850355,56.4032985947755,5.90312572505757e-14,7.00343934243687e-11
"SPRY4",38.3842591148922,-2.69914602642557,0.389183700440027,56.3593131186385,6.03666710549228e-14,7.00343934243687e-11
"RGS7",25.6091003794786,-4.80239475537316,0.688044755925333,56.2361029761981,6.42704963376443e-14,7.10127774534457e-11
"ATP2A1",10.5438148898419,-2.23109487273148,0.316929605677669,54.696819170818,1.40633724837944e-13,1.46289629990457e-10
"AC096741.1",40.6760201062468,-2.93402129700046,0.429574128980523,54.636599222782,1.45009761228312e-13,1.46289629990457e-10
"SCPEP1",132.884349703784,1.82835886838496,0.22691884018539,54.1625369384717,1.84572486948073e-13,1.77678536948527e-10
"AC009318.1",36.0328587233641,-1.32015358535402,0.186032030036244,54.0907621508138,1.91439185610188e-13,1.77678536948527e-10
"BMP1",124.357433408066,-2.15163600920551,0.317346044663849,53.5559723172943,2.51329212736067e-13,2.24291989350575e-10
"UBB",90.4580605812853,3.29612589045287,0.383645150330683,52.6070601719773,4.07421961026344e-13,3.50126361544232e-10
"IQCN",64.4365355796297,-4.66871695180121,0.69170944167073,52.2291711685871,4.93870087307605e-13,4.02163539794074e-10
"NEURL1",21.2514842930071,-3.02785100586935,0.451688470176857,52.1946087733432,5.026394282648e-13,4.02163539794074e-10
"RBMX2",20.9398415122432,1.581120611734,0.225252495145539,51.9594868380763,5.66576498144028e-13,4.38209149547863e-10
"LMO7-AS1",20.8769343303573,-1.47794763081712,0.212519856136738,51.6937024874233,6.4870488814307e-13,4.85545145793021e-10
"COX6C",53.4901517625104,1.97182036343754,0.256786317879471,51.1805309693052,8.42500812303802e-13,6.1089207337141e-10
"AASDHPPT",48.9238766683765,1.00890331302614,0.142073764144473,50.8016019264544,1.02190274253168e-12,7.18521494998864e-10
"CYP4Z1",12.2854035985103,-3.15013551952899,0.473348036195464,50.7377339583602,1.05570275714791e-12,7.20455031591266e-10
"LINC01389",8.09501812704411,-1.7587212563383,0.253294643222225,50.5722963130079,1.14854919525959e-12,7.61422485074524e-10
"AL354743.2",1.89879413374225,-4.12056432264111,0.623627440106339,50.2855405119169,1.32925373897808e-12,8.56740958486345e-10
"GNG10",70.352133627887,1.97152285678757,0.255933978941059,50.0527429033818,1.49668430670796e-12,9.38582864014727e-10
"AC068533.3",77.9870206630709,-1.10135875682643,0.16169335885447,49.953103489553,1.57464819377519e-12,9.41378789898215e-10
"CEBPB",362.443733759058,3.00457869581647,0.353881184337047,49.915950539054,1.60474806497651e-12,9.41378789898215e-10
"AC008649.2",22.6997614339737,-1.70099412680006,0.252765134736086,49.8939327669216,1.62285702693309e-12,9.41378789898215e-10
"C4orf3",39.7867338335681,2.88189744533045,0.367607065815978,49.7811126199774,1.71890714776575e-12,9.58338763704733e-10
"FOSB",171.070324374586,-5.30571187843922,0.794065366185973,49.7186734551533,1.77448956527771e-12,9.58338763704733e-10
"SH3TC2",6.17088474582726,-2.41557888441797,0.360603719007218,49.7170022862531,1.77600167389146e-12,9.58338763704733e-10
"CYP3A5",89.1286932211292,-3.39503992401012,0.525093435132093,49.6157061654137,1.87010571959518e-12,9.83516871569991e-10
"ARID3A",167.659819437177,1.25624431244599,0.168312434764573,49.5769283661754,1.90743693576906e-12,9.83516871569991e-10
"GNE",91.9580574492455,-0.938606672294252,0.137969069411475,49.0716442715404,2.46782026036222e-12,1.24480072828662e-09
"AC105206.1",14.5433112649915,-4.96961739232331,0.757867583367847,48.7319187020542,2.93451512877714e-12,1.42319524151136e-09
"PMF1",86.6542499006712,-0.897229324250505,0.131879485546004,48.7254824345891,2.9441611684931e-12,1.42319524151136e-09
"AP001363.1",14.3782289208457,-3.44682729866554,0.538955280873718,48.1434332579263,3.96153444606913e-12,1.87590783167637e-09
"AC105206.3",11.9027053237481,-4.04089629588687,0.629821229278755,48.0755767131921,4.10103046552434e-12,1.90312419783122e-09
"MTMR7",14.1290503245833,-3.06259326651218,0.477954597838316,47.9555785158514,4.35985857816271e-12,1.98356467821783e-09
"AFF3",548.684068314577,-2.38230502469508,0.374404690096421,47.9065659151315,4.47022081369317e-12,1.99466410654082e-09
"SLC20A2",327.910871183694,-1.06827806971701,0.161883142910155,47.8246102285459,4.66104295622593e-12,2.04056942855302e-09
"MAT2B",58.1843450371162,2.17877763983712,0.288629779059567,47.5555967665478,5.34658965942695e-12,2.29735036792007e-09
"RPL37",101.74096378307,2.71006683337754,0.34046719355451,47.4733199192345,5.57576782336536e-12,2.32962990798111e-09
"POLR3H",34.725279335849,-2.04192773150029,0.317018936763616,47.4569525627672,5.6225175557877e-12,2.32962990798111e-09
"SECISBP2",304.024536453126,-0.667117685591136,0.0999779125048704,47.0226610767202,7.01706652157886e-12,2.85643850000341e-09
"CTXND1",11.2372656171442,-4.55184093539252,0.712055909863483,46.7706327174741,7.98003274499734e-12,3.19242585831333e-09
"PLEKHG6",20.6976974788125,-3.49071161368233,0.554821384162916,46.1298015003357,1.10672132575178e-11,4.35241608837601e-09
