"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Hilpda",1137.292883499,2.27153129554285,0.169319469187724,148.491752891735,3.70371383762376e-34,3.94334412291802e-30
"Cbln4",35.3376264950616,-4.58701403689314,0.417919022473924,145.00352149972,2.14383356243582e-33,1.14126979696271e-29
"Irf7",7549.96545997248,5.07204511581224,0.323718817950568,142.143018429571,9.04918876777223e-33,3.21155709368237e-29
"Ifi27l2b",39104.3219224077,5.67358277060938,0.352132430700065,138.882636937348,4.67263635167918e-32,1.24373898090821e-28
"Aars1",222.3407372351,2.24745643371106,0.219299102345932,95.7498347718846,1.30357380034303e-22,2.77583005045045e-19
"Trib3",65.4828196060911,7.80248031141067,1.23731115419094,93.4100661871197,4.25083315852329e-22,7.53874818926244e-19
"Isg15",18251.8833076455,6.71020604209826,0.483630670518605,93.1061127779222,4.95644193902856e-22,7.53874818926244e-19
"Acot7",177.415236325161,3.46642680801776,0.345229712545108,85.3261116172126,2.53000107597989e-20,3.36711518199474e-17
"Ube2l6",979.77816540381,4.52715534462109,0.404902529784288,80.2448413538837,3.30774909738472e-19,3.91306718220612e-16
"Ifit2",4202.86841949434,5.24712287561232,0.4435242471805,79.6220540933137,4.53336892878736e-19,4.8266778984799e-16
"Shisa5",1971.55058840808,2.29951487601058,0.232562308260882,78.0915434704988,9.83742006729147e-19,9.52172831422293e-16
"Apol11a",1265.85923848976,4.35654246823317,0.397000478751283,77.4145392001672,1.38591242903299e-18,1.22965080265952e-15
"Tnfrsf1a",1327.75715893581,1.82525745817588,0.192263944738072,76.4709486769056,2.23476461258428e-18,1.83027221770652e-15
"Frmd4a",260.116891474281,-1.16870729512758,0.137318639871528,75.6865998138153,3.32456169932308e-18,2.5283291723352e-15
"Gpihbp1",845.17886706631,6.47830647280754,0.57092870149016,73.853465344409,8.4136571256345e-18,5.97201382777537e-15
"Oasl2",306.124899707126,3.01821793081344,0.313265459522123,73.6758828061539,9.20567914647138e-18,6.12580411703005e-15
"Tfpi",436.006400680726,-2.14984969597823,0.262432960379229,72.4198718911332,1.7395346040824e-17,1.08946028998031e-14
"Yars1",170.655256014886,2.28762194855741,0.256952304058315,71.5182521434369,2.74705222226187e-17,1.6248813894679e-14
"Pla2g5",1488.64863251871,3.77844895226285,0.368421011203066,71.2334504412851,3.17361719684855e-17,1.7783948576235e-14
