"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Prelp",273.615132564262,-1.28882170265303,0.141237323733148,87.6771774846471,7.70584269337814e-21,7.97862952472372e-17
"Irf7",3221.02855577758,4.08954330263984,0.355397731051635,85.4250707593184,2.40650009376152e-20,1.24584509854034e-16
"Rtp4",716.770209899727,1.82270189364973,0.202355602942782,69.350651326152,8.24253978771013e-17,2.84477523206502e-13
"Csrnp1",214.983536493139,3.02145517960943,0.337520806560584,63.8744145690238,1.32608722476351e-15,3.43257678130035e-12
"C4b",435.320811214636,3.60039772134402,0.387693783155903,61.5215849636285,4.3791602641479e-15,9.06836507499747e-12
"Xdh",1362.25181716388,1.73141911644758,0.208931489734721,58.5217585951755,2.01055063805142e-14,3.46954021773074e-11
"Oasl2",205.897950923463,2.68755345228437,0.321815174617206,56.9491967958218,4.47216915685735e-14,6.61497706430014e-11
"RT1-T24-4",239.684660195873,3.33746779694871,0.388837992287686,55.9007586111659,7.62231427138981e-14,9.86518024574626e-11
"Ube2l6",348.641541541128,3.25938580463935,0.405940331123834,47.5906137959498,5.25193416053491e-12,6.04205847757538e-09
"Sertad1",363.099051778751,0.733079793337339,0.106078633448657,46.7846626288517,7.92310688456818e-12,8.2035848682819e-09
"Oas1c",59.2527274585367,4.39519808137629,0.61985137812249,44.9642053248119,2.00669202536929e-11,1.88884447551579e-08
"Ddx58",422.118041795245,2.76159372111243,0.363895352501582,44.4102757289606,2.66285728312756e-11,2.2976020257919e-08
"Oasl",581.180754506945,2.5966031218472,0.351080818363502,42.5536639250506,6.876933102911e-11,5.17324782825668e-08
"Larp1b",83.0207913557502,1.68768912009161,0.2541694052186,42.5203884669044,6.99492655935807e-11,5.17324782825668e-08
"Gbp2",1662.85673785235,2.65217529401241,0.355929062120886,42.2955124887855,7.84724122796704e-11,5.41668904495805e-08
"Ifi27l2b",16859.1938120907,4.71334690973927,0.560140253501344,42.0070822044869,9.09434416895111e-11,5.88517747033249e-08
"Ifi44",1025.34795433671,2.41642186210369,0.334966200040115,40.9324134666641,1.57585709729111e-10,9.59789669726595e-08
"Pla2g5",708.699747808654,2.93406506306603,0.396510516087684,40.7660682913047,1.71586735456855e-10,9.87005032733485e-08
"Ifi27",7689.90937164542,1.78224674832098,0.257602808912074,40.1497219232666,2.35224971858986e-10,1.28185229401471e-07
"Sox17",368.250838544852,-0.871690665861762,0.140680724218759,39.9776894919374,2.56880186276233e-10,1.32986872435206e-07
"H2-T23",5407.62488821284,0.878111281282657,0.135362218069843,38.9779245376758,4.28625084652236e-10,2.04872973917977e-07
"Tgtp2",655.161982026455,2.71630704468031,0.380338700893824,38.9477103683028,4.35310549178626e-10,2.04872973917977e-07
"Uba7",120.693704993965,1.79621961877003,0.275940465258113,38.391580325686,5.78815824887967e-10,2.60567784821305e-07
"Lgals9",347.993089302408,2.01764296169506,0.299441076693059,38.0938932135003,6.74208152284934e-10,2.90864633698259e-07
"Cxcl10",319.20496405887,6.81790279141675,0.847384479109513,37.7205852411246,8.16384929251238e-10,3.38113982298693e-07
"Trafd1",208.341170482297,2.31927595238708,0.345525236424985,37.2097210635881,1.06083638127844e-09,4.224576881445e-07
"Ly6h",65.7680854904459,2.13502199643942,0.338764660875322,36.8618943222286,1.26800147682708e-09,4.86255084854355e-07
"C1s",54.9867321027925,3.53728599803152,0.544570264848318,36.6762700360906,1.39466845490255e-09,5.15728470787894e-07
"Atp2b4",220.143410131324,-0.900335122261238,0.153971116289047,35.5111856689444,2.53590133092556e-09,9.05404220013906e-07
"Herc6",757.977212470139,3.70679851842451,0.513449825725522,35.43396897656,2.6384502651823e-09,9.10617134856585e-07
"Tinagl1",166.52314251544,1.59139760298365,0.25665307860519,34.7155837921519,3.81564897551676e-09,1.2744267578226e-06
"Slfn1",44.94559083584,4.51676251004094,0.736955050417646,33.9630426656699,5.61688955126118e-09,1.81741482542994e-06
"Gch1",107.961139366657,2.76052346753313,0.431018975680736,33.5899764635545,6.80424593201717e-09,2.13488370848805e-06
"Ifit2",1058.28043084253,3.47920464062276,0.507238744695008,32.5938776642274,1.13571942871025e-08,3.45859969554879e-06
"RT1-N3",1752.86512801566,0.954202959781247,0.161738130378801,32.0866028221909,1.47450631186785e-08,4.32545272386322e-06
"Pml",223.645411832031,2.37823646005137,0.37885122435465,32.0482254825145,1.50392406856361e-08,4.32545272386322e-06
"Stat2",203.696761247454,2.09461406119083,0.340798139832883,31.8072119265142,1.70259372765029e-08,4.76450147461921e-06
"Usp18",643.335554105266,3.61987024332789,0.534691970013871,31.4859076712878,2.00892968527207e-08,5.47380472665973e-06
"Xaf1",359.521887058559,2.16487953967348,0.356622485415334,30.2009514657763,3.89518329682289e-08,1.03412122705908e-05
"Hilpda",433.793883890816,0.956515280183948,0.168876153195668,29.9914471265029,4.33956177445813e-08,1.11336664589867e-05
"Nr4a1",149.530006510775,1.31585658678332,0.231684900462018,29.9411264298981,4.45365398830209e-08,1.11336664589867e-05
"Tap1",554.020582117304,1.18792043299607,0.206933330429887,29.914058111833,4.51626416145878e-08,1.11336664589867e-05
"Irf9",35.248671130675,1.81296504812064,0.336645854907812,29.8255471697703,4.72721611611688e-08,1.13826966665754e-05
"Ifit3",812.527630398198,3.55640934873847,0.542633091844677,29.5599391715889,5.42139352820573e-08,1.27575246797823e-05
"Isg15",5055.83518124812,5.11154319745741,0.713551747097753,29.1958601449142,6.54188325750327e-08,1.50521464995975e-05
"Bst2",3234.53991230446,2.05963451865239,0.344295065374281,29.0944220203147,6.89351747537711e-08,1.55164086826206e-05
"Gpihbp1",54.0064065187327,2.68532825390329,0.46724781476411,28.999579324091,7.23940181176152e-08,1.59482481614848e-05
"Ogfr",442.692893793408,1.60273578563268,0.27834518772686,28.8221559896515,7.93383082103831e-08,1.7113934233548e-05
"Mustn1",452.793632355414,1.13529270686914,0.202812332918719,28.6875036294045,8.5050788326414e-08,1.79717522924835e-05
"Dusp1",774.850509091134,1.03548329936973,0.185521091078893,28.6259243883907,8.77988295003647e-08,1.81813816129355e-05
"Parp9",348.594423941478,1.63928067013231,0.286635165473375,28.4418598894214,9.65548789101541e-08,1.96025336516811e-05
"Ifit1bl",572.350453852119,3.53185402391005,0.552402912690894,28.371770987995,1.00114553657302e-07,1.99343478570712e-05
"Plin2",253.417452789624,1.99525263989346,0.345281824157315,28.0726273613306,1.16846893141447e-07,2.28270326714443e-05
"Ido1",2687.28400482725,2.20083804813551,0.373069492360319,27.8404283228174,1.31744216564523e-07,2.52607336723902e-05
"Psmb10",65.9036070418765,2.45522110166998,0.434384486795239,27.797133359709,1.34725587471544e-07,2.53627042305522e-05
"Aplnr",286.190919345556,-1.20465707569828,0.236872503041805,27.4835785577854,1.5843404344168e-07,2.92933229606277e-05
"Macf1",761.347100326806,-0.566465782826287,0.109935915918325,27.4006359781819,1.65376841124654e-07,3.0040558122889e-05
"Ifi207",939.261065901599,1.42072015620964,0.255806663703671,27.1150524089317,1.9169947359506e-07,3.4221661200056e-05
"Mx2",281.725132436814,5.44448965196565,0.813261353886467,26.655591933339,2.43146065539686e-07,4.26700739423375e-05
"Sik1",38.4703930571111,2.04606911115312,0.391177507720094,26.3847178876431,2.79745071046192e-07,4.82746744268712e-05
"Ebf1",63.2743168964551,-1.06049745807954,0.209488893958972,26.2401940204798,3.01481781077173e-07,5.09364149773046e-05
"Igtp",1181.58189269291,1.95429336577709,0.346873736750156,26.2177348961755,3.05008472917992e-07,5.09364149773046e-05
"Ifi47",555.553805406913,1.72791215365652,0.312123536269725,26.143327163925,3.16990654541696e-07,5.20971624940431e-05
"Sox4",313.506379292715,-1.2771283404626,0.258879828467658,25.9083736727497,3.58012754624461e-07,5.79197509590886e-05
"Rnf213",668.119428447139,1.89004268889183,0.340349133419776,25.7697776145215,3.84664919108612e-07,6.12741626530857e-05
"Cebpb",493.411546012382,1.77108053386669,0.323242588083326,25.4943863057145,4.43671961387354e-07,6.96027195182524e-05
"Dtx3l",388.218554744526,2.04160436436334,0.368257105307627,25.4289308085896,4.58983009986493e-07,6.98745926248354e-05
"Apol11a",291.742124789008,2.40894113300203,0.426739455537535,25.4107153988053,4.63337325785848e-07,6.98745926248354e-05
"Tspo2",23.1437488551488,-1.49661564398942,0.302259133558447,25.4011077286939,4.6565065589276e-07,6.98745926248354e-05
"Nmi",949.288190118434,1.45667345444327,0.270912911383381,25.2977212692561,4.91288809102131e-07,7.26686332777638e-05
"Isg20",349.299653734793,1.89753465714857,0.347667965073189,25.0767755461463,5.50924080687369e-07,8.03418018512256e-05
"Tapbp",12.3326758653413,2.87695719932771,0.649194339149424,24.8859373251544,6.08245048830395e-07,8.74690171609709e-05
"Tap2",354.862756276232,1.22472822433869,0.23404036277689,24.8575818967618,6.17257916473748e-07,8.75491570845094e-05
"Helz2",305.647649881235,1.6453777212442,0.308521806787051,24.7173542232594,6.63837325720353e-07,9.28834009528181e-05
"Vps13c",72.7432837089605,-0.909010640105185,0.185484545396658,24.6217476682422,6.97600020018251e-07,9.63060080969196e-05
"Eif6",72.3114864952908,1.94024787986268,0.373985019531096,24.1457912802079,8.93111394079551e-07,0.000121674675977627
"Gchfr",332.844849890095,-0.835106856971934,0.176533688322342,23.3803485897802,1.32929605202542e-06,0.000178747160034691
"Eif2ak2",334.983734900997,2.12971518732651,0.398976115849372,23.3351848956059,1.36087657594677e-06,0.00018064764188914
"Slfn3",13.7814289492934,3.8432616965931,0.877987125304822,23.1700567533228,1.48288431800171e-06,0.000194351699096073
"Shisa5",1034.89074992831,1.54723655164104,0.299593492102017,23.078399232734,1.55528184757969e-06,0.000200157547113141
"Serpinb9",454.597721690854,1.39567432896288,0.273701579310375,23.0465144533152,1.58128924224507e-06,0.000200157547113141
"Oas3",10.4123141350316,5.40545879611613,1.32824759631324,23.031702479387,1.59351884687268e-06,0.000200157547113141
"Clca5",5.76933066373418,-3.06280685958842,0.682971917538125,23.0184897565577,1.60450805586157e-06,0.000200157547113141
"Gbp6",277.949837844779,3.75154251709269,0.648813840162929,22.9490874465251,1.6634915791641e-06,0.000205045140603156
"Lxn",144.921993559797,-0.77083725491064,0.163733212809564,22.8218033945745,1.77737831800637e-06,0.00021613943263541
"Ifih1",309.325971389453,1.57565424480536,0.308497954280847,22.8025779129265,1.79524736397965e-06,0.00021613943263541
"Ncoa7",76.2829083474851,1.49103433539293,0.302898925426624,22.6693389225069,1.92413817713421e-06,0.000228994559609742
"Rsad2",475.929097714855,4.33957202016732,0.727460704780955,22.5964785228615,1.99850582118351e-06,0.000235142378096978
"Pdia5",162.325518888149,-0.690000112400415,0.147313155323844,22.4320783500532,2.17707385681176e-06,0.000253274412510437
"Wfdc1",510.905975880778,-0.78162613399932,0.169699637108761,22.1589078527953,2.50988690680564e-06,0.00028874854481184
"Adar",169.104331300388,1.31371372985554,0.267184445125071,22.132259291609,2.54496947815968e-06,0.00028956718655896
"Nub1",269.390450264358,0.77597882033285,0.161900118952388,22.0368952056044,2.67459498695371e-06,0.000301008222770856
"Atox1",388.434530511612,-0.490941273135108,0.105645277281129,21.9987922536946,2.72822087331217e-06,0.000303741923895422
"Klf6",1059.25506222472,1.04143831543135,0.212663680576013,21.9121898886524,2.85415144099909e-06,0.00031438174489473
"Vat1",451.605553995792,-0.491662871583887,0.107010558288334,21.5820737499633,3.39005604816442e-06,0.000369480424449415
"Rnf114",175.107602954691,1.25102121051151,0.258822067799783,21.4546675988598,3.62293041087522e-06,0.000390748140356272
"Mafk",104.199436899449,1.14168051789474,0.240880891910269,21.3831928786829,3.76053326934286e-06,0.000401407850214186
"Irgm1",1170.4881891841,1.51280767152814,0.304908079068284,21.3598780919432,3.80654370970822e-06,0.000402172995615499
"Tnfrsf1a",587.897701714587,0.724842336151875,0.153288169202442,21.2477470284425,4.03584463992484e-06,0.000422092276785675
"Dhx58",66.2041069672984,1.833795426765,0.380354254509425,21.0412143207899,4.49509261576846e-06,0.000465421889436667
"Cxcl11",687.596722281409,5.9117375492582,0.948156554339016,20.9471885185645,4.72120200448901e-06,0.000483993322321576
"Itih4",17.7581686463914,2.12380926371782,0.483372759485557,20.8177475771475,5.05127049772258e-06,0.000512753477778624
"Psmb8",1585.64515314107,1.36061829691614,0.281589792040699,20.5742393480281,5.73628332308985e-06,0.000571990841615634
"Dll1",175.641767074722,1.1138359457375,0.236958361755368,20.5712258114306,5.74532041027873e-06,0.000571990841615634
"Mtss2",68.997912719985,-0.999938852201093,0.225232083719325,20.3789840839222,6.35235971511977e-06,0.00062405006702861
"Parp14",1004.46161312732,1.45587631838427,0.301530667276081,20.3680475671863,6.38876831224963e-06,0.00062405006702861
"Trim34a",336.45958801504,1.81409752426025,0.370789621688952,20.3007798867782,6.61736055315894e-06,0.000640337861377642
"Parp12",311.012668481504,1.75899653475135,0.36111279018814,20.2648275710265,6.74288390833895e-06,0.000646442777656866
"Slfn4",15.4386524939716,2.66336477708763,0.614099015771646,20.2365404184045,6.84332312065728e-06,0.000650052913681518
"Wars1",467.172123948594,1.55068323009805,0.322186967156755,20.1440322084651,7.18239905792625e-06,0.000676059634961531
"Cmtr1",101.29972407191,1.1913870642139,0.264484028014314,19.1214346086311,1.2265956772333e-05,0.00114257745247832
"Birc6",206.69951050129,-0.546116594834094,0.125969889366082,19.1069581785691,1.23593465981816e-05,0.00114257745247832
"Sox7",374.331576698827,-0.694622064782413,0.162899809780853,18.8861910578811,1.38753443261054e-05,0.00127137447037607
"Psmb9",1025.26657653598,0.630320281864689,0.142208569086384,18.7296447253803,1.50622568544981e-05,0.00136802287255678
"Atp13a2",89.6333218168521,-0.782199289349669,0.183248934197771,18.6655894585695,1.55768411431112e-05,0.00140245750605021
"Samhd1",92.9533821030363,1.78174542551741,0.38849716351757,18.5255189889634,1.67644621286592e-05,0.00149637276620808
"Perm1",49.2587236184043,1.6240016716619,0.366219307689586,18.4221416601943,1.76989412785628e-05,0.00155881304467612
"Pfkfb3",30.453496885366,2.17425569117911,0.49172247273015,18.4150310045985,1.77651090662336e-05,0.00155881304467612
"Klf2",3831.68663171628,1.08748420798528,0.242257756320118,18.2464480257892,1.9408754065492e-05,0.00168733673572032
"Lgals3bp",642.10358518404,3.54133054497165,0.687614189304228,18.2320748599395,1.95557666878925e-05,0.00168733673572032
"Mitd1",292.2990399668,1.44045625521977,0.319158523690907,18.0241232869224,2.18123346814556e-05,0.00186648688670902
"Serping1",220.269997478017,1.90466389803102,0.413052202142854,17.9321040550235,2.2892677899447e-05,0.00194287530303995
"Unc93b1",170.25949985457,1.68085968951143,0.370743809560618,17.8764286329552,2.3572271063416e-05,0.00198428694789113
"Csf3r",9.02572869359141,4.2860310905616,1.19584012117299,17.250176401837,3.27667126808934e-05,0.0027360205088546
"Rassf2",115.794977290245,-0.809085895506529,0.198835019070648,17.141316335645,3.46992133483223e-05,0.00285144886446605
"Lamp2",349.280727186442,1.08578095842293,0.251089507434903,17.1412798469132,3.46998799423143e-05,0.00285144886446605
"Cmpk2",411.976287426232,2.62906295228317,0.558488765947369,17.0137544629489,3.71100159370599e-05,0.00302548901584503
"Shfl",252.970883541647,1.08951459136864,0.254006402672338,16.9410670876327,3.85583287813615e-05,0.00311900731407982
"Pnp",2432.55294208844,0.467595387194629,0.111772890206516,16.8738164543271,3.99488776521208e-05,0.00320329737917587
"Atf3",68.6924927916048,2.03112432919715,0.460213675762125,16.8610207769372,4.02191094545936e-05,0.00320329737917587
"Spry2",121.033812695487,-1.18450373769523,0.297390700104422,16.8395577278784,4.06765201727153e-05,0.0032149976325824
"Nt5c3",117.961162612012,1.65336882858214,0.379276926902538,16.7743179648746,4.2099241073522e-05,0.00330223895511551
"Il18bp",1444.63996185468,3.27622625311834,0.679876337802077,16.3513083089988,5.26198250644279e-05,0.00409643359937659
"Znfx1",492.868163633841,1.65704902794826,0.380722829675613,16.2340014267786,5.59803194412978e-05,0.00432552408578505
"Trim25",353.981362696832,0.533312510902414,0.130861135600797,16.1616288854883,5.81603957239432e-05,0.00446068694315339
"Tmem140",101.398365301322,1.37733250786983,0.329133965037083,16.0265867259212,6.24592090361792e-05,0.00475516654676912
"Socs1",71.2829327697962,1.98236348314916,0.461940701163804,15.9718089673929,6.42927853033138e-05,0.00485903283963877
