"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mx1",873.819247997817,4.89698952286426,0.220412453324351,348.847153080779,7.55421812547585e-78,7.47792052240854e-74
"Ube2l6",178.469596187593,3.78835804585053,0.225875475451936,291.462823263672,2.38683877611176e-65,1.18136585223652e-61
"Irf9",770.096994350447,1.80080883925861,0.103387410097504,272.347545104827,3.49365547966377e-61,1.15278985310639e-57
"Usp18",254.325430682842,3.98144477798024,0.231746817740097,264.309874315047,1.97285667953789e-59,4.88232706768638e-56
"Isg15",1214.27203084299,4.76047789725933,0.240819537687932,255.437871702253,1.69427723091011e-57,3.35433006175584e-54
"Mx2",319.624243240784,4.84852405818318,0.27835275336516,252.2239823325,8.50354253992377e-57,1.40294279337842e-53
"Cmpk2",164.375887007133,3.19128083303785,0.218916434566179,201.984761940543,7.70411644132671e-46,1.0894721236099e-42
"Parp14",494.694005736999,2.48534894168759,0.161320100538962,200.26821753854,1.82516032239536e-45,2.25840775392396e-42
"Ifit2",331.780983023487,5.04171414512829,0.323798697887801,183.276149674094,9.33552440307267e-42,1.02680395628907e-38
"Stat1",324.221815961641,1.87510248764817,0.133961818716442,181.468293494525,2.31653738744199e-41,2.29314035982883e-38
"Rnf213",340.841726678423,2.35501830917089,0.164548976979378,179.064107751319,7.75829778324245e-41,6.98176270511972e-38
"Ddx58",140.410021627342,2.17207105406219,0.167663499517107,169.449981141127,9.75657091519788e-39,8.04835795746199e-36
"Ifitm3",1737.35386193753,3.74808113152843,0.238316075543149,169.086711448619,1.17122650015284e-38,8.91843932693305e-36
"Mitd1",203.836500521041,2.14998206120458,0.161803893287752,166.007825614407,5.51006393663917e-38,3.89600877919936e-35
"Samd9",441.721729328054,2.27990735521718,0.171583593847405,150.111480746374,1.63905207649454e-34,1.08166510034796e-31
"Nmi",331.740640578085,1.5256894472122,0.121846133192165,147.673204821627,5.5920044225365e-34,3.45970323616805e-31
"Bst2",1372.58100725571,1.91602920912785,0.145449591434997,146.267702719057,1.13453447195654e-33,6.60632749288108e-31
"Oas2",134.588880974106,2.94775517688532,0.235765989631209,146.036659926116,1.27446153150884e-33,7.00883038911446e-31
"Psmb8",856.592272160087,1.66843600872445,0.129868635155772,145.091967848965,2.05047529001023e-33,1.06829762609533e-30
"Apobec1",143.862423238355,4.04401086656442,0.320250627374029,140.057180352197,2.58648366252161e-32,1.28018008876507e-29
"Rtp4",286.593332599565,2.38652573561853,0.192917446797848,131.460210650087,1.96371216493208e-30,9.25656510507744e-28
"Irf7",267.351810442198,4.28906798871832,0.325995818197163,129.495587353212,5.28337862391114e-30,2.3772802271862e-27
"Eif2ak2",163.08448336945,1.76859762897236,0.154961762121452,127.198959545894,1.68052706550779e-29,7.23284235715724e-27
"Parp9",134.473191676344,1.92492858259517,0.172758759622614,121.549761545566,2.89644535721995e-28,1.19466302463001e-25
"Herc6",297.654029462976,3.17611385208537,0.25786615277595,119.968689697385,6.42670814296545e-28,2.5447193562886e-25
"Amd1",128.732503609903,-1.48061686473727,0.146788533100645,107.563558738125,3.34988357322676e-25,1.27540374966814e-22
"Rnf114",198.065140384119,1.57397302502529,0.148181785824413,107.426618036293,3.58953105957515e-25,1.31602844291609e-22
"Ifi44l",276.576627104477,3.19180952651452,0.279935803604688,101.380680168437,7.59004772329553e-24,2.68335294331795e-21
"Ly6e",735.959874323817,2.58996025664864,0.228211771600142,101.28121877364,7.98089141150279e-24,2.72423600284366e-21
"B2m",13305.8687487944,1.02146650196315,0.0988849553080921,97.3635678351133,5.76979353651706e-23,1.90383954059941e-20
"Ifit3",476.878875941872,5.55796277486263,0.450892922365213,94.2077192348458,2.84090632790864e-22,9.07165539998957e-20
"Wars1",611.10324929258,1.69263094976855,0.165029278440666,91.66391158973,1.02721234558401e-21,3.17761719029254e-19
"Ifi35",366.031344251834,1.73674699928682,0.172088743578415,90.2918373336597,2.05498655728866e-21,6.16433694866679e-19
"Rpgrip1l",49.8947883291705,3.10726352438131,0.342341151417608,86.7933253680337,1.2047544293313e-20,3.50760708704426e-18
"Ddx60",117.584450505876,2.14702388309766,0.223706812360923,85.7610898484896,2.03042353635045e-20,5.74261788180945e-18
"Parp12",120.880262738865,1.83818954915035,0.1939766153103,85.6731490762278,2.122758541824e-20,5.83699633486549e-18
"Pml",179.710957849153,1.61193727240254,0.172229192722799,82.054022900987,1.32417376286791e-19,3.54270164287283e-17
"Nlrc5",119.058815241143,1.47196653004945,0.163692564758987,80.2891658214275,3.23437617574128e-19,8.42554993780603e-17
"Psmb9",551.238127256089,1.2936265668189,0.138153358070453,80.043424227057,3.66271076858967e-19,9.29671125596644e-17
"Adar",124.03801880853,1.48475561930445,0.164955768412596,79.6102447094864,4.56054647161166e-19,1.1286212380621e-16
"Serping1",97.9907605451912,3.71061676577234,0.388821592886396,76.0573002273715,2.75551737791681e-18,6.65289427414597e-16
"Psmb10",204.675218347674,1.48656379288457,0.167523580839823,73.245345235653,1.14494872323426e-17,2.69853509792761e-15
"Rsad2",128.26158443184,6.31878411921562,0.673675890003461,71.0561618567364,3.4719954304057e-17,7.99285645711302e-15
"Psme1",693.940287663203,1.07143283899006,0.123411323492714,69.7710460157078,6.66034054218482e-17,1.49842525061562e-14
"Ilvbl",62.8389366746212,1.94740637262623,0.234667028412265,69.6308959419725,7.1507986316268e-17,1.57301679232164e-14
"Ifih1",260.65157955294,1.85519539337591,0.211949976869495,67.1609563004207,2.50220841617082e-16,5.38464371992934e-14
"Lgals3bp",335.641825199689,2.70017995296887,0.294836751564088,66.0183828460922,4.46736891788732e-16,9.40903934429077e-14
"Tap1",198.005651951784,1.2282935205564,0.153096848051582,61.294954240985,4.91337908444898e-15,1.01328207410334e-12
"Mnda",314.956856610015,2.55061302987719,0.292383673017782,60.6030531293605,6.98256271459974e-15,1.41062016962904e-12
"Sp110",226.245367187412,1.09989053427527,0.140740290265245,58.3400026478733,2.20514383401972e-14,4.36574376259224e-12
"Tie1",766.534636346858,-0.80906314760275,0.108926216147058,57.6639204067241,3.10954518379606e-14,6.03556623027397e-12
"rna-NC_013276.1:1101..2662",2057.15589196167,1.15620230706911,0.145937552514732,56.7432288902564,4.96597861214267e-14,9.45350428492313e-12
"Trim21",78.3157634086952,1.46475722464086,0.196531682563509,55.6006068223601,8.87962166442557e-14,1.65847877087073e-11
"Wfdc1",300.173111410392,-1.5721794212058,0.218823982631168,55.2689636604761,1.05115276925021e-13,1.90439172154819e-11
"Slfn11",74.2504102205318,3.17191442216527,0.394521629984489,55.2560111113304,1.05810227987828e-13,1.90439172154819e-11
"Abcc9",67.7530564918803,2.29784125543202,0.299407075040927,54.6229163245591,1.46022910016658e-13,2.58121568974089e-11
"Uxs1",173.725056298124,-0.953862467552445,0.13384317787372,52.6457360244855,3.99477251539921e-13,6.93758826840996e-11
"Helz2",222.444427654748,1.64894776587802,0.223343768819702,48.488399170466,3.32248505987475e-12,5.67056544960348e-10
"Batf2",31.944154773806,2.15933452331093,0.32327176173632,47.2826928275836,6.14524256929538e-12,1.0310467151433e-09
"Tap2",274.824506241051,0.889073038269502,0.128434870293329,46.1875790131012,1.07456060956108e-11,1.77284591234086e-09
"Lap3",299.148842823345,1.26740658910926,0.180574590167028,45.138247810084,1.83604222257403e-11,2.97950523955088e-09
"Sh3pxd2a",131.815292700729,-0.907587496553092,0.141571154720266,42.7992918937539,6.06541107967692e-11,9.68411359318093e-09
"Brcc3",78.9766899403459,1.32915959195661,0.203903566300116,41.6696933438271,1.08071305106301e-10,1.69809182420202e-08
"Dtx3l",31.8521703410931,2.3200829466751,0.36135628354772,41.6342780046252,1.10046799508603e-10,1.70211448177448e-08
"Znfx1",109.081555288055,1.69249495383646,0.251338424123419,41.5268534340893,1.16262902166789e-10,1.77059456699853e-08
"Unc5b",184.251385788031,-0.750082713258135,0.122068035377817,38.9421938688209,4.36542403365378e-10,6.54747462259678e-08
"Insig1",141.247324928755,1.39912839445353,0.217055183754317,38.3622550109088,5.87579373828218e-10,8.6812660022769e-08
"Ankfy1",89.5739748695138,1.01218565963977,0.164243596129865,38.0712476501091,6.8207874460832e-10,9.92926101893788e-08
"Ca4",669.167436537202,-0.922256875192351,0.154421093004109,37.5192261461334,9.05163323547567e-10,1.29858141156484e-07
"Aicda",10.2137142555309,6.81604632944678,1.30498543646756,36.0601681557776,1.91317848783515e-09,2.70550769301144e-07
"Slfn5",59.579647557468,2.08852285479822,0.334161824107494,35.6661275821868,2.34200948415509e-09,3.26528899769736e-07
"Trafd1",149.320865684007,1.50347148655444,0.240939923044662,35.2698128138613,2.87046974638532e-09,3.94649722492615e-07
