"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HSPB1",15.8508247743714,5.82143323625329,0.6892936912796,87.6791807138665,7.69804223207537e-21,6.01678980859011e-17
"HSPA1B",11.4978519751588,5.92952461042343,0.811207861846572,61.2524061049003,5.02071658889035e-15,1.96209604293835e-11
"AC079921.1",8.42019509385141,-2.18220945343481,0.309289644948567,59.1259199216998,1.47898191789416e-14,3.85324089008692e-11
"STARD13-AS",19.5298237800704,-2.15255575801963,0.303566674603417,57.2992544541186,3.74297088954506e-14,7.31376511817105e-11
"HSPA1A",26.1589335027217,6.98842245033365,0.843811672342574,54.3460403827825,1.68116412183356e-13,2.62799575525023e-10
"ADAMTSL4-AS1",6.97939055732986,-3.11690186314099,0.478247959624876,50.4061312521726,1.25003072329344e-12,1.62837335554359e-09
"KIAA1211L",4.21775156890078,-2.53983086681402,0.378899417836615,49.7620686695151,1.73567256905232e-12,1.938002399959e-09
"KLHL5",22.1429945072293,-1.07621740972066,0.169992996210483,44.146789814696,3.04651003861182e-11,2.83899422640364e-08
"CMTM8",27.8197771583865,-1.35698289218316,0.216131110737451,44.0087829705674,3.2690568113655e-11,2.83899422640364e-08
"DPYSL2",15.2261800879209,-1.12055069656311,0.182584882550058,41.6019565639385,1.11881246560018e-10,8.74463823113104e-08
"LINC01619",7.34510659285372,-2.11202915864692,0.35691853496347,38.2972435617696,6.0748394274031e-10,4.31644954223478e-07
"IFT140",11.9151044219559,-2.1392905956041,0.367759569538082,37.3276369772881,9.9859401802038e-10,6.50417570403941e-07
"NDEL1",8.02284599845729,-1.78528507138392,0.317159855605577,35.5306987877732,2.51062455147125e-09,1.4778653715692e-06
"AL162586.2",2.78014413683822,-3.11381135567818,0.56050046481956,35.4275580647933,2.64714882317923e-09,1.4778653715692e-06
"OPHN1",27.2057232714073,-1.16662751126333,0.205536259090288,34.938263868817,3.40326556631527e-09,1.77332824442134e-06
"DNAJB1",9.31867531826783,6.74605895922454,1.03187722340198,34.528183966405,4.20123898746559e-09,2.05230524537694e-06
"RASAL2",65.4791200901485,-0.979688060526287,0.171934277066932,34.2694729613706,4.79849917522062e-09,2.20618056197202e-06
"HSP90AA1",69.7996738315173,4.40915782660634,0.616635797262419,32.6961194437673,1.07752129054368e-08,4.67883689271635e-06
"AK9",4.56879961979905,-1.59582730674116,0.299093212926604,32.424843973286,1.23892394132816e-08,5.09654185548467e-06
"SYTL1",1.90263679349765,-3.63404727188381,0.713638000454326,32.1240816004656,1.44633369900614e-08,5.49098238509357e-06
"NFATC2",5.47125800086369,-3.38258073282851,0.647674479095807,32.007438042934,1.53583396958151e-08,5.49098238509357e-06
"CSRNP1",4.59753527846777,-2.4028706905252,0.462791824006882,31.9951644971781,1.54556822507751e-08,5.49098238509357e-06
"ROBO4",12.9307902113437,-1.66712283635559,0.314296723421994,31.580331130712,1.91357991684093e-08,6.50284375218641e-06
"ST5",15.4815998829609,-2.69513611250878,0.51923884230189,31.4643378914008,2.03137048019612e-08,6.61549653050537e-06
"MYO15B",14.2898182662165,-1.15817624002958,0.213856374034853,30.9433169219379,2.65675351308726e-08,8.306074183316e-06
"SNX25",7.29567890476621,2.48194047027884,0.441618291862866,30.7590570356176,2.92137116803679e-08,8.78209117283674e-06
"STARD13",52.3063864937385,-1.2578928678916,0.237600768691209,30.650658979694,3.08921662813364e-08,8.94271006129354e-06
"CYP3A5",7.7143926456022,-3.30601377721222,0.654477871009679,30.4238403979246,3.47234377323645e-08,9.69279961843433e-06
"LHFPL6",42.1813498313937,-1.21466047718466,0.232222827362842,30.2388483028253,3.81981206967704e-08,9.99726643127155e-06
"MFSD6",9.28371512298789,-1.52788705294719,0.298492213492486,30.2300237628157,3.83723123001723e-08,9.99726643127155e-06
"EDIL3",4.83433773819194,-3.14127432250683,0.598963404807163,30.1369491971841,4.02587283629033e-08,1.01503942220791e-05
"RANBP2",9.25628341094835,1.50484852321819,0.282603104122231,29.8428896961027,4.68511938885985e-08,1.14434041072902e-05
"GBP2",14.4702378046906,2.20947554724181,0.384620102113975,29.6867527251806,5.0780659006853e-08,1.20273221453807e-05
"AC026894.1",3.07395421330276,-3.4549380819916,0.694658210509062,29.2909963975506,6.2284420528665e-08,1.43180891427072e-05
"RNF115",17.7331646097173,-1.50399854471563,0.293512238392437,29.2331571329055,6.41716175541233e-08,1.43304389372294e-05
"RNF145",16.4405821632131,2.75988119604834,0.45704783391626,28.7679389717289,8.1590658579277e-08,1.77142385404341e-05
"ERCC1",1.75647177431613,-3.19032328661979,0.651040295845757,28.4446090366024,9.6417870030261e-08,2.03676235717978e-05
"UBC",19.6665376772976,3.16755349068992,0.533648210256647,28.1520956340892,1.12146175672673e-07,2.27324456754635e-05
"CAMK2D",40.8845445368737,1.12425123720858,0.205590906692583,28.1300729146026,1.13429552372451e-07,2.27324456754635e-05
"HSPA8",5.11639368907243,5.17191185835287,0.960490109468532,27.7649264844746,1.36987186119359e-07,2.67672961677228e-05
"HSPE1",5.97285393430484,5.30201238126685,0.969523812497249,27.2095173925813,1.82557792841668e-07,3.4801748996353e-05
"TLE1",8.25528422695931,-1.70511146812554,0.352651689490266,27.0619165281256,1.97041791155859e-07,3.66685390398618e-05
