"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Oas1c",1417.16478654064,6.33742139158491,0.405281820756657,174.298643630865,8.51856789838988e-40,7.16156003217637e-36
"RT1-A1",7313.275523683,3.02355842506798,0.222696680379702,135.244559394398,2.91906224261479e-31,1.22702781368313e-27
"SCoV2_UTR3",541.375546350868,10.8661588775523,1.25968081693834,124.117090128748,7.94162452491054e-29,2.22550791269743e-25
"Isg15",15386.694287088,9.63555522954215,0.576053662548665,121.739574760864,2.63217308496607e-28,5.53216978132743e-25
"Ifi27",3444.70124276368,5.52626553706875,0.405561700421409,108.080659796132,2.58059416410867e-25,4.33901102753231e-22
"Bst2",2858.28327192745,5.17089643360794,0.391597803149694,105.343534243749,1.02694976354663e-24,1.43892777702275e-21
"Irf7",1989.42256887161,5.94180229191683,0.44895974955132,105.013095040285,1.21331335514269e-24,1.45718933952637e-21
"Ube2l6",923.664443998108,5.42525028827638,0.439830863532047,104.3026742459,1.73654479646572e-24,1.82489151298591e-21
"Fabp5",2858.09334000725,4.10639481730001,0.347447565427578,92.3094385579072,7.41299029477803e-22,6.92455660091099e-19
"Tgtp2",1299.48428858992,7.2075563186524,0.625858662432883,81.4915034646266,1.76016675311025e-19,1.47977218933979e-16
"Shisa5",1490.07121973955,2.94296733772464,0.288578967128223,79.0221807427161,6.141650185892e-19,4.69389573752673e-16
"Rtp4",675.631931061555,4.3669906289086,0.417828376702104,77.503530023683,1.32485473931647e-18,9.28171149452795e-16
"Slfn1",557.669798211414,6.94738779577009,0.709887729645063,73.6400066972125,9.37452566433587e-18,6.06243363539013e-15
"Rpl22l1",55.5716287482406,-2.2298108566464,0.275078288263396,70.7621523862667,4.02994460418856e-17,2.41998173481523e-14
"Oasl",1134.32966637824,4.1135630594432,0.403640400070187,70.6118005804443,4.34907804342132e-17,2.43751327406954e-14
"Ifi44",545.935656988564,5.00876410827408,0.501159467760067,70.286594540053,5.12850239481243e-17,2.69470747707426e-14
"Lgals3bp",359.476934559368,6.51042884498842,0.723802169234828,69.2602102497213,8.62930479140766e-17,4.26744502243319e-14
"Apobec1",483.380996734331,4.95497610623797,0.508741281402712,68.0949151819688,1.55811943496085e-16,7.27728338317546e-14
"Ifi27l2b",72422.3200890698,4.76414766388226,0.444085679061849,67.875371774465,1.74163026814037e-16,7.70625561276636e-14
"Shfl",172.864422759787,3.59701515557653,0.423450069310834,67.5935445344675,2.00924350866243e-16,8.44585508866253e-14
"Csf1",304.00793369641,5.45723646931125,0.600821370432197,66.9202460892207,2.82716409491336e-16,1.13180802599698e-13
"Psmb9",324.255969028111,2.12476055330563,0.250931025497806,64.898230421128,7.8867869874127e-16,3.01382810014448e-13
"Xaf1",622.893101779408,3.47902470748669,0.373116271871282,64.7556979405855,8.47840918208616e-16,3.02233703533535e-13
"Usp18",652.689276555247,6.77295502538657,0.697420504235422,64.7212218023397,8.62805862353377e-16,3.02233703533535e-13
"Psmb8",826.06769222618,3.13576652392486,0.343199930767441,63.4247746620133,1.66609344939271e-15,5.60273905161779e-13
"RT1-N3",350.184228387699,3.14318913930935,0.355975437343286,63.2591761486154,1.81221476134656e-15,5.85972673024636e-13
"Ifit1bl",807.812946796646,7.60177831452795,0.794828027305287,62.0945047745277,3.27363661018081e-15,1.01931344377e-12
"Trafd1",273.689728636383,4.57848202921249,0.526059487275579,60.6788166052636,6.71892826311049e-15,2.01735821099892e-12
"Cd14",1392.8357007313,4.47378311419539,0.464686887754281,60.0294076701561,9.34506204678928e-15,2.70910126301233e-12
"Il1r2",318.444443141945,4.82796097633802,0.548818293497695,59.1737917537009,1.44343548730643e-14,4.04498738059504e-12
"Ifi207",664.693628546791,3.85804419734895,0.428491500502281,58.251171128809,2.30699603459967e-14,6.25642440738045e-12
"H2-T23",825.988449339443,2.41695424457771,0.28594364774778,58.1641893221267,2.41128698227196e-14,6.33490301873762e-12
"Ifit2",5006.36101504426,5.7501255652122,0.561786759834453,56.9904453180887,4.3793442446613e-14,1.1156711231778e-11
"Tmco6",244.113737111906,4.87226236013027,0.593772396823956,54.0074770634491,1.99728113725703e-13,4.93857132968232e-11
"Lgals9",384.080940096917,4.43449403973048,0.516919845794359,53.91177640041,2.09697065308544e-13,4.98781232596872e-11
"Igtp",380.933920670766,5.32898621581287,0.61574140677577,53.8756777940374,2.13585397567353e-13,4.98781232596872e-11
"Cst7",235.582015250808,4.59998617101295,0.564480273610085,53.590131692411,2.46996979416645e-13,5.61217190798848e-11
"Ddx60",73.5975445044624,7.98517969471728,1.29286939671106,52.7528786433248,3.78268522673394e-13,8.36869334240848e-11
"Tmem140",165.655701666765,5.18997571034436,0.688818622486394,51.6103044375963,6.7685402301178e-13,1.45905430037437e-10
