"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ifi27",2510.69147404026,5.4954562646898,0.250324607397256,319.402193354191,1.95486533321819e-71,1.49723135871181e-67
"Oas1c",1303.49855949097,6.64952060317639,0.380796006023866,225.228569525075,6.54573736549935e-51,2.50669012411797e-47
"Rtp4",196.971480870505,2.98842952947479,0.292062001930556,97.1638033998891,6.38227956113673e-23,1.62939597195821e-19
"Irf7",791.804463891001,5.03052358705658,0.435558260242991,88.2671173634034,5.7186234127413e-21,1.09497341795464e-17
"Ube2l6",382.630312805137,4.57290381443756,0.431572364646512,83.9229465416545,5.14439465780403e-20,7.88018373682422e-17
"Gm10358",1050.52439982636,2.38110165339219,0.238049287992558,81.2691313854573,1.96979437861176e-19,2.51444252429791e-16
"Tgtp2",483.934767218108,6.21932176334147,0.590418090556841,77.3360444975262,1.44210083728477e-18,1.57786433039487e-15
"Ifi207",371.340307574317,3.42604543760472,0.349233151879573,75.727618233357,3.25621168198529e-18,3.11741565904067e-15
"Ifit1bl",249.918069109432,6.31221386810784,0.696931529274995,71.5323617590217,2.72747850792004e-17,2.29700741670871e-14
"Herc6",184.016032815908,5.65988242282006,0.642657377967015,71.345048515312,2.99909572621584e-17,2.29700741670871e-14
"Lgals3bp",125.803032959134,5.41849304702574,0.667415653096822,68.9950396700188,9.8711401065935e-17,6.87300564330905e-14
"Ifi27l2b",41548.7452800737,4.38077512970297,0.417252878705255,67.9400291022386,1.68544557704367e-16,1.07573563954812e-13
"Usp18",281.754827663596,5.98806677168385,0.647331093078966,67.0498979521711,2.64721295492685e-16,1.55961569398344e-13
"Csrnp1",46.3377255711763,4.67420975333656,0.728233920514839,66.4372495396106,3.61211310116747e-16,1.97608387441726e-13
"Tmem140",48.950224760427,3.84395775263164,0.559137170944977,64.9197495569206,7.80112728957675e-16,3.98325559405789e-13
"Xaf1",471.086697077251,3.50480926492707,0.376352096868987,64.3321024700275,1.05118946566362e-15,5.03191257344855e-13
"Oasl2",125.042048618192,3.37468692500499,0.407054011628697,63.4810118097758,1.61920113052502e-15,7.29497732864184e-13
"Plek",198.661222682212,1.54450150948929,0.193110728726933,63.1671275282434,1.89891128529201e-15,8.0798675189175e-13
"RT1-A1",3267.79461179208,2.23217353851941,0.253328715914747,62.274641566444,2.98747307704112e-15,1.20426612089778e-12
"Ifi47",303.326522655771,4.52036173522258,0.495093882937698,61.5060754421844,4.41379123718059e-15,1.69026135427831e-12
"H2-T23",462.751022488319,1.96614684210319,0.235810323860533,60.4104681421189,7.70023779936141e-15,2.80838672882424e-12
"Igtp",139.079719367594,4.2893867315117,0.520244706845352,59.8301038847841,1.03409467710122e-14,3.60005960541738e-12
"Ifit2",2377.64126157714,5.09613089302949,0.507739656131617,59.1294781215913,1.47630996823522e-14,4.91611219422328e-12
"Trafd1",104.369380453796,3.59000285681141,0.457657546244023,58.5112569424704,2.02131109767085e-14,6.45050904044209e-12
"Gbp2",433.667275872576,4.59155449020329,0.501493701784219,57.5193935533794,3.34663192597387e-14,1.02527415684135e-11
"Isg15",4819.70404145654,8.4040503847513,0.744765605522659,57.2404300683471,3.85661121050327e-14,1.13606866389402e-11
"Ifit3",1940.01736215637,4.06552073577334,0.437188656792011,56.6255322386835,5.27228112602197e-14,1.49557041274823e-11
"Ifi44",268.827892124278,4.40231695549283,0.50477667146401,56.2988956777092,6.22503786061548e-14,1.70277017765907e-11
