"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Rtp4",163.003345764175,7.49242552349045,0.747051309394133,328.715792443393,1.8301686241138e-73,1.33053258973073e-69
"Ube2l6",169.704775988692,8.55094654923633,1.0387306452129,315.74336551395,1.22491945383166e-70,4.45258221467809e-67
"Ifit3",665.599226253211,7.33241837748051,0.425380334631021,302.54859902579,9.17329108966536e-68,2.22299420739557e-64
"Mx2",445.859178729101,5.75699032285509,0.325844547049615,297.212317835866,1.33389833280793e-66,2.42436021987841e-63
"Nmi",253.378934126071,5.95887158379933,0.404319050228578,281.319483300789,3.873113632871e-63,5.63150722219444e-60
"Irf9",435.4670793152,4.42586374518939,0.252718281272808,259.336814652757,2.3937313405948e-58,2.90040447435403e-55
"Irf7",293.137213711568,5.58649335819656,0.359888334726641,255.038161215887,2.07070365039298e-57,2.15057364833671e-54
"Mx1",353.06994870983,9.58813468575884,1.05622825283668,244.157834052873,4.87689964574764e-55,4.43188255307317e-52
"Apobec1",501.251930478397,5.78784294841369,0.353399576654165,215.057966185043,1.08248482484053e-48,8.74407186287851e-46
"Usp18",98.3383162333244,7.77423344892317,1.04622080252962,209.881225724046,1.45807216770308e-47,1.06001846592014e-44
"Samd9",317.717459745692,3.10017996479615,0.209120511506508,193.09315787888,6.71721727663738e-44,4.43946996374125e-41
"Psmb8",343.528873990281,4.63598937329629,0.315171578313091,175.517106270825,4.61620290996902e-40,2.79664959628956e-37
"Psme1",213.863134090689,3.30549160418738,0.242084605888068,173.256985880184,1.43829097538983e-39,8.0433656854493e-37
"Parp9",86.0916451452667,5.43478543385282,0.540128647227638,172.689813109664,1.91298150400186e-39,9.93383966720964e-37
"B2m",1939.64066649617,4.25596714938098,0.264404102645608,170.381232747716,6.10804159756465e-39,2.960364160953e-36
"Ly6e",138.580217957759,6.68055109671114,0.671555943070096,148.041451162603,4.64590250889448e-34,2.11098195247893e-31
"Ifi35",252.864660142011,3.22446587107383,0.247986074462553,146.15852064523,1.19863315760738e-33,5.12591944459156e-31
"Zbp1",65.5746180114433,6.63127649076989,0.886060400980887,142.313018930086,8.30689052110252e-33,3.35506078268974e-30
"Dtx3l",42.0267076446465,6.52494524980131,1.04051058328322,139.832644951075,2.89608014046322e-32,1.10813171690356e-29
"Sp110",114.463898282188,3.71312121886001,0.32989133338478,129.971967215335,4.15605842847025e-30,1.51072723874894e-27
"Ddx58",56.376750238693,5.63209881607697,0.694554565879882,129.074003072806,6.53363907995538e-30,2.26188362434646e-27
"Lgals9",77.0051645795903,4.22895725424835,0.425166302310767,118.774168204804,1.17358246804708e-27,3.87815661031923e-25
"Herc6",66.158977367277,8.04414719493499,1.21903755609604,111.218623186283,5.29923742308222e-26,1.67501982894816e-23
"Cmpk2",65.9574986617109,5.58283429665556,0.661972249057174,110.636744111892,7.10699825642568e-26,2.15282822184228e-23
"Tmem140",113.188461008412,4.47139252494394,0.426018277475167,110.184660985439,8.92747236308541e-26,2.59610896318524e-23
"Eif2ak2",75.3357236236128,2.96029251575222,0.301514219096449,106.428558792346,5.93955812146405e-25,1.6607918285786e-22
"Epsti1",54.8000775658554,5.94828004652123,0.792951082453416,105.927700091689,7.64751075664043e-25,2.05916308151022e-22
"Psmb9",262.420295248426,4.28077563699289,0.370689073555166,102.745003893612,3.81185962875096e-24,9.89722125036411e-22
"Ifit2",116.023109419366,5.51153827141813,0.560046650181028,101.336883266654,7.75973599227837e-24,1.94528554013323e-21
"Parp14",155.317853437746,4.60139055860235,0.43532279060498,94.8183886549424,2.08678124686756e-22,5.05696655490904e-20
"Rsad2",226.256998478417,10.7620700661609,1.29893504679869,89.1456486270656,3.66788927747349e-21,8.60179195072009e-19
"Tap1",78.7995589412194,4.21370589403189,0.458016346421992,87.6433289396339,7.83884889401157e-21,1.78088848310825e-18
"Trafd1",75.1587393851833,4.44893163369037,0.493318067656838,86.5208537145236,1.38271554930881e-20,3.0461642555985e-18
"Parp12",41.3880920410662,3.57343147128378,0.448193509112475,82.5966235216141,1.0062881800519e-19,2.15168090264038e-17
"Stat1",116.078203066199,2.26575084874122,0.249552008051241,78.249263826438,9.08249364768475e-19,1.88656368053338e-16
"Rnf213",30.2642589284622,6.07539271315457,1.0745528317197,77.0715908018194,1.64871924671671e-18,3.32949692323069e-16
"Slfn5",24.1708626833035,7.555100801928,1.23199747023284,74.1950584438958,7.07672250593802e-18,1.39048034103161e-15
"Bst2",47.1854098324324,4.56176727870717,0.594285400704325,73.8027588457004,8.63258643890298e-18,1.65155008975854e-15
"Aicda",37.9105900366742,5.40176733140124,0.809653094919872,72.5081806968459,1.66340987826249e-17,3.10076661922264e-15
"Wars1",85.4999760921906,3.66927550987366,0.417343067080895,71.9505663471654,2.20656432417335e-17,4.01043065918506e-15
"Cpm",194.457492790005,-1.34226109416589,0.165020383591363,69.3986048623966,8.0445549202012e-17,1.42643693341129e-14
"Stat2",25.9926816885537,4.53494088723889,0.71766677759513,67.1560806413378,2.50840433845833e-16,4.34192846204572e-14
"Isg15",710.156722705183,8.5046491850879,0.812684437707322,65.9156629829307,4.70636635742739e-16,7.95704265546444e-14
"Samhd1",90.621286989096,2.87045844735137,0.346793473051112,62.5164408476408,2.64229610191061e-15,4.36579378656594e-13
"Hsh2d",64.8266420620697,2.29837129110239,0.295580466431367,61.2825312096591,4.94447953117815e-15,7.98808137592559e-13
"Psmb10",78.981368935207,2.80761582265022,0.348437744315303,61.0871068768529,5.46045702949305e-15,8.62989621835097e-13
