,,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Genes,members
Syrian hamster,1,Pathways in cancer,33/295,2.5553218579216155e-09,5.468388775952257e-07,3.5058745472265342,CXCL12;RALBP1;EPAS1;BMP4;HSP90AB1;LAMB2;GADD45G;GNAI1;CTNNA1;F2R;GNG5;COL4A2;HRAS;ITGB1;GNAS;PDGFB;ELOC;GADD45B;CALM2;JAK1;ARHGEF12;CCND1;JUN;CDKN1B;GNG11;ROCK1;RALA;HSP90AA1;HES1;ELOB;TPR;ROCK2;COL4A1,33
Syrian hamster,1,Epithelial Mesenchymal Transition,17/111,2.647919339374705e-07,1.1512653099618571e-05,4.68101908805905,JUN;ITGB1;CXCL12;TGM2;DST;CADM1;TPM4;FERMT2;SERPINH1;GADD45B;SPARC;CALD1;TIMP3;COL4A2;CD59;PMP22;COL4A1,17
Syrian hamster,1,Myogenesis,15/91,5.116734710941587e-07,1.1512653099618571e-05,5.0286765200188235,WWTR1;ITGB1;HSPB8;APLNR;SPTAN1;GABARAPL2;MEF2A;GADD45B;CD36;IGFBP7;SPARC;VIPR1;COL4A2;MYO1C;CNN3,15
Syrian hamster,1,Leukocyte transendothelial migration,14/72,1.47896390201933e-07,1.5824913751606833e-05,5.929597197898424,AFDN;F11R;VCL;ITGB1;CXCL12;ROCK1;ROCK2;GNAI1;CTNNA1;CLDN5;PECAM1;CDH5;ARHGAP5;ESAM,14
Syrian hamster,1,Fluid shear stress and atherosclerosis,15/92,5.923008704366632e-07,4.2250795424481974e-05,4.973723459839452,CAV2;HSP90AB1;JUN;BMPR2;ACVR2A;PDGFB;HSP90AA1;THBD;MEF2A;KDR;CALM2;PECAM1;CDH5;CAV1;BMP4,15
Syrian hamster,1,Focal adhesion,17/124,1.327599796472641e-06,7.102658911128629e-05,4.185769627181291,CAV2;JUN;CCND1;COL4A1;VCL;ITGB1;LAMB2;ITGA1;ROCK1;PDGFB;COL4A2;KDR;CAPN2;ROCK2;ARHGAP5;CAV1;HRAS,17
Syrian hamster,1,UV Response Dn,14/99,8.01722293658355e-06,0.00012025834404875325,4.306779079284338,NRP1;PMP22;ATP2B4;NFIB;ACVR2A;CDKN1B;TJP1;SMAD7;DLC1;RBPMS;PTPRM;ID1;CAV1;SYNE1,14
Syrian hamster,1,Axon guidance,14/91,2.9007906200325672e-06,0.00012415383853739387,4.687768558659432,NRP1;SEMA6A;HRAS;BMPR2;ITGB1;DPYSL2;CXCL12;ROCK1;PLXNA1;SEMA3C;GNAI1;ROCK2;SEMA3G;ARHGEF12,14
Syrian hamster,1,TGF-beta Signaling,9/47,2.9675219879857787e-05,0.0003338462236484001,5.844750430292599,BMPR2;WWTR1;TJP1;SMAD7;ID3;SPTBN1;KLF10;ENG;ID1,9
Syrian hamster,1,Gap junction,9/45,2.052489532787989e-05,0.0007320546000277161,6.103099998108604,TUBB6;TUBB4B;TUBB2A;GNAS;TJP1;PDGFB;ADRB1;GNAI1;HRAS,9
Syrian hamster,1,Apoptosis,13/118,0.00023534399447193988,0.0021180959502474592,3.3475379415468223,HSPB1;CCND1;JUN;CDKN1B;ROCK1;SMAD7;SPTAN1;GADD45B;F2R;TIMP3;BTG2;CAV1;LMNA,13
Syrian hamster,1,PI3K-Akt signaling pathway,18/188,9.991285580013292e-05,0.003054478734461207,2.910652953342976,HSP90AB1;CCND1;COL4A1;CDKN1B;GNG11;ITGB1;LAMB2;TEK;PDGFB;YWHAE;HSP90AA1;COL4A2;KDR;F2R;GNG5;JAK1;ITGA1;HRAS,18
Syrian hamster,1,Adipogenesis,14/144,0.0005041123276879077,0.0037808424576593076,2.949751240766215,CAVIN1;UBC;CAVIN2;HSPB8;APLP2;CD151;TOB1;ALDH2;LTC4S;SPARCL1;CD36;LPL;MAP4K3;COL4A1,14
Syrian hamster,1,Cell adhesion molecules (CAMs),9/57,0.00014405565028088597,0.0038534886450137,4.822584748933623,F11R;ITGB1;CADM1;CD34;CLDN5;PECAM1;PTPRM;CDH5;ESAM,9
Syrian hamster,1,Vascular smooth muscle contraction,9/59,0.00018922680458177248,0.004499392908944368,4.659381825019164,RAMP3;GNAS;RAMP2;ROCK1;CALCRL;CALM2;CALD1;ROCK2;ARHGEF12,9
Syrian hamster,1,Tight junction,11/91,0.00031556286025897064,0.0067530452095419715,3.6792245551230693,CCND1;JUN;AFDN;AMOTL1;ITGB1;F11R;ROCK1;TJP1;CLDN5;RDX;ROCK2,11
Syrian hamster,1,Mitotic Spindle,13/140,0.0012202485462520821,0.007844454940191956,2.8159900132287454,ARHGAP29;VCL;DST;ROCK1;YWHAE;RALBP1;SPTAN1;KIF5B;PAFAH1B1;SPTBN1;SMC3;ARHGAP5;ARHGEF12,13
Syrian hamster,1,cAMP signaling pathway,10/82,0.0005478976318405203,0.010659099383079214,3.716847228764327,ATP2B4;JUN;AFDN;GNAS;ROCK1;ADRB1;GNAI1;CALM2;F2R;ROCK2,10
Syrian hamster,1,Apelin signaling pathway,10/84,0.0006648725897488124,0.010944825708172758,3.628016065242052,CCND1;GNG11;APLNR;GABARAPL2;GABARAPL1;GNAI1;MEF2A;CALM2;GNG5;HRAS,10
Syrian hamster,1,Pathogenic Escherichia coli infection,7/43,0.0006568606450184792,0.010944825708172758,5.0064839375184205,TUBB6;NCL;TUBB4B;TUBB2A;ITGB1;ROCK1;ROCK2,7
Syrian hamster,1,Rap1 signaling pathway,12/118,0.00084296734930131,0.012885358053605741,3.0887910475142175,AFDN;ITGB1;GNAS;TEK;RALA;PDGFB;GNAI1;KDR;CALM2;F2R;ID1;HRAS,12
Syrian hamster,1,Signaling pathways regulating pluripotency of stem cells,9/74,0.0010515850361789215,0.014064949858893075,3.714666913098222,BMPR2;ACVR2A;ID3;TBX3;KLF4;JAK1;ID1;BMP4;HRAS,9
Syrian hamster,1,Dilated cardiomyopathy (DCM),6/34,0.0010314360121205376,0.014064949858893075,5.45799076611609,GNAS;ITGB1;TPM4;ADRB1;ITGA1;LMNA,6
Syrian hamster,1,Estrogen Response Early,10/102,0.0029505349032494656,0.01613385598808196,2.984531783141666,CCND1;HSPB8;TGM2;CXCL12;TOB1;DLC1;HES1;KLF10;PODXL;KLF4,10
Syrian hamster,1,Coagulation,8/71,0.003226771197616392,0.01613385598808196,3.4524463529609326,CSRP1;PDGFB;DPP4;THBD;SPARC;PECAM1;CAPN2;TIMP3,8
Syrian hamster,1,Small cell lung cancer,8/65,0.0018342603022192521,0.023090100274995293,3.771372081756642,CCND1;CDKN1B;ITGB1;LAMB2;GADD45G;GADD45B;COL4A2;COL4A1,8
Syrian hamster,1,p53 Pathway,11/129,0.005482763697282351,0.024146730862992925,2.5879097716186106,JUN;TOB1;TM4SF1;ZFP36L1;HEXIM1;F2R;TSC22D1;KLF4;CD81;BTG2;HRAS,11
Syrian hamster,1,Estrogen Response Late,9/95,0.005902534210953826,0.024146730862992925,2.8906380946373376,ATP2B4;CCND1;HSPB8;CXCL12;TOB1;EMP2;JAK1;CAV1;KLF4,9
