,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,Enrichment_Term,score,significance_str,immune_related,dataset
3,prerank,KEGG_2021_Human__Wnt signaling pathway,-0.5739416627723918,-2.1600640124452304,0.0,0.0,0.0,37/133,9.69%,FRAT2;TPTEP2-CSNK1E;TBL1Y;SIAH1;PPP3CA;JUN;SOX17;NOTUM;CCND1;PRICKLE1;PPP3CB;FZD8;ROR1;GSK3B;TLE2;LRP6;ZNRF3;CTBP2;NLK;DAAM1;CTNNB1;WIF1;APC;FZD5;FZD6;PLCB1;SOST;AXIN2;TLE1;WNT16;RYK;ROCK2;CSNK1A1L;CXXC4;TBL1XR1;PPP3CC;RNF43,KEGG_2021_Human,Wnt signaling pathway,5.0,****,False,Goldhamster
19,prerank,KEGG_2021_Human__Signaling pathways regulating pluripotency of stem cells,-0.5174077022533338,-1.8813996506935187,0.0,0.031157942442782686,0.025,45/101,19.59%,COMMD3-BMI1;FZD8;FGFR3;GSK3B;AKT3;NRAS;ACVR1;TBX3;SMAD9;CTNNB1;BMP4;APC;FZD5;FZD6;KLF4;FGFR2;PIK3CA;REST;ACVR2B;AXIN2;WNT16;SMAD2;KRAS;RIF1;ZFHX3;PCGF2;ACVR2A;SMAD4;MAPK13;DVL1;MAPK12;WNT2;SMAD5;PCGF6;TCF3;FZD1;JARID2;ID3;HOXD1;AKT1;BMPR2;ID1;AXIN1;WNT11;DVL2,KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1.506431229280911,*,False,Goldhamster
23,prerank,MSigDB_Hallmark_2020__TGF-beta Signaling,-0.5694938877820686,-1.8725402927601325,0.005050505050505051,0.02575723241936702,0.03,26/51,20.41%,PPM1A;NCOR2;CDH1;ACVR1;HIPK2;CTNNB1;KLF10;APC;SERPINE1;PMEPA1;NOG;SKI;ARID4B;SMAD6;SLC20A1;CDKN1C;FNTA;SPTBN1;RHOA;MAP3K7;ID3;TJP1;BMPR2;ID1;SMAD7;WWTR1,MSigDB_Hallmark_2020,TGF-beta Signaling,1.5891008031743572,*,True,Goldhamster
26,prerank,MSigDB_Hallmark_2020__Wnt-beta Catenin Signaling,-0.6227328020111063,-1.8579234180913224,0.0,0.023680036256514846,0.036,23/36,27.13%,NCOR2;FZD8;CTNNB1;AXIN2;PTCH1;NOTCH4;FRAT1;HDAC11;JAG2;FZD1;HEY1;AXIN1;DVL2;NKD1;PSEN2;LEF1;CCND2;HDAC2;GNAI1;RBPJ;NUMB;KAT2A;CUL1,MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,1.6256176370001196,*,False,Goldhamster
28,prerank,KEGG_2021_Human__Hippo signaling pathway,-0.4778514967213435,-1.8431988860225652,0.0,0.021436664400634485,0.041,60/130,24.09%,TPTEP2-CSNK1E;CCND1;FZD8;FGF1;GSK3B;WWC1;CDH1;AMOT;CTNNB1;BMP4;APC;FZD5;MOB1B;SERPINE1;FZD6;PPP2CB;BMP6;AXIN2;PRKCZ;WNT16;SMAD2;CTNNA1;SMAD4;LATS1;PARD3;DLG3;DVL1;WNT2;DLG5;DCHS1;TEAD4;PRKCI;FZD1;PATJ;RASSF6;PARD6G;PPP2CA;BBC3;BMPR2;ID1;AXIN1;WNT11;DVL2;NKD1;SMAD7;WWTR1;FZD9;SAV1;DLG1;LATS2;BMP5;LEF1;FZD2;FAT4;TGFB2;CCND2;TEAD2;LLGL2;YWHAQ;WNT5A,KEGG_2021_Human,Hippo signaling pathway,1.6688427910453998,*,False,Goldhamster
30,prerank,KEGG_2021_Human__Cushing syndrome,-0.48179198567562304,-1.8207473823523768,0.0,0.023680036256514842,0.054,61/118,28.70%,CDK6;CCND1;FZD8;KMT2A;GNAQ;GSK3B;KMT2D;CTNNB1;ITPR2;APC;FZD5;FZD6;PLCB1;AXIN2;AHR;WNT16;CREB1;ITPR3;E2F2;CREB3L1;BRAF;DVL1;WNT2;ADCY4;FZD1;CAMK2G;RASD1;PDE8B;GNA11;PLCB3;NCEH1;AXIN1;WNT11;DVL2;PBX1;ORAI1;FZD9;USP8;LEF1;FZD2;RB1;CDK2;CAMK2B;ADCY2;GNAI1;WNT5A;ATF2;TCF7L1;ADCY8;MAPK3;ADCY1;MAPK1;ADCY3;CREB5;CREB3L2;ARMC5;NR4A1;KCNK3;SCARB1;AGT;CACNA1C,KEGG_2021_Human,Cushing syndrome,1.6256176370001199,*,False,Goldhamster
33,prerank,KEGG_2021_Human__Mineral absorption,-0.6024292238233246,-1.7990859054699992,0.0035587188612099642,0.026706807808099444,0.071,9/36,10.83%,SLC34A2;SLC5A1;SLC26A9;ATP2B1;ATP2B4;TRPV6;ATP1A1;TRPM7;SLC30A1,KEGG_2021_Human,Mineral absorption,1.5733780189115243,*,False,Goldhamster
34,prerank,KEGG_2021_Human__Glycerolipid metabolism,-0.5666504722499596,-1.7973777437902045,0.004016064257028112,0.023680036256514846,0.071,17/44,17.48%,MBOAT2;AGPAT2;GPAM;DGKH;LPIN3;DGKE;ALDH7A1;PLPP2;PLPP5;LCLAT1;GPAT4;DGKA;PLPP3;DGKZ;GPAT3;LPIN1;ALDH3A2,KEGG_2021_Human,Glycerolipid metabolism,1.6256176370001196,*,False,Goldhamster
37,prerank,KEGG_2021_Human__Lysine degradation,-0.5308468984366574,-1.7612689518663045,0.0,0.029357705768310798,0.096,26/54,22.14%,ASH1L;KMT2E;KMT2A;PLOD3;TMLHE;KMT2C;KMT2D;DOT1L;KMT5B;ALDH7A1;PLOD2;AASS;PIPOX;ACAT1;HADH;PRDM16;DLD;COLGALT2;SMYD2;MECOM;ALDH3A2;CAMKMT;NSD3;KMT5A;SETD1B;NSD1,KEGG_2021_Human,Lysine degradation,1.5322778864635223,*,False,Goldhamster
47,prerank,MSigDB_Hallmark_2020__Estrogen Response Early,-0.431299929130413,-1.7011556484035748,0.0,0.04910491728982551,0.166,59/164,22.66%,MED13L;SLC1A1;RHOD;CLDN7;SLC39A6;NCOR2;CCND1;MUC1;RETREG1;WWC1;LRIG1;MPPED2;OLFM1;KRT8;CXCL12;ELF3;KLF10;PEX11A;AQP3;CBFA2T3;KLF4;ENDOD1;SVIL;KDM4B;CLIC3;AMFR;FRK;KAZN;REEP1;TOB1;ESRP2;ABHD2;MAPT;HR;TMEM164;BCL2;RPS6KA2;TMPRSS3;PTGES;MYBBP1A;SLC19A2;HSPB8;DLC1;AKAP1;DYNLT3;MLPH;CD44;RET;SLC7A2;ELOVL5;INPP5F;OVOL2;SH3BP5;TIAM1;SEC14L2;MINDY1;FARP1;DHCR7;WFS1,MSigDB_Hallmark_2020,Estrogen Response Early,1.3088750161273746,*,False,Goldhamster
