,index,freq,total,organism,time,hamster,dummy,dose,total_log10
0,Endothelial cells,0.242570281124498,2789558.232931727,Goldhamster,D0,1,Goldhamster_D0,,6.445535431879007
1,T cells,0.11887550200803212,1367068.2730923693,Goldhamster,D0,1,Goldhamster_D0,,6.135790204316814
2,Bcells,0.09317269076305221,1071485.9437751004,Goldhamster,D0,1,Goldhamster_D0,,6.029986478148775
3,MonocyticMacrophages,0.0927710843373494,1066867.469879518,Goldhamster,D0,1,Goldhamster_D0,,6.0281104731500195
4,AT2,0.08714859437751005,1002208.8353413655,Goldhamster,D0,1,Goldhamster_D0,,6.000958227106405
5,AlveolarMacrophages,0.08634538152610442,992971.8875502009,Goldhamster,D0,1,Goldhamster_D0,,5.99693695317348
6,Neutrophils,0.07710843373493977,886746.9879518073,Goldhamster,D0,1,Goldhamster_D0,,5.947799721961425
7,Myofibroblast,0.04497991967871486,517269.0763052209,Goldhamster,D0,1,Goldhamster_D0,,5.713716515928057
8,AT1,0.040562248995983936,466465.8634538153,Goldhamster,D0,1,Goldhamster_D0,,5.668819867040518
9,Treml4+Macrophages,0.030522088353413655,351004.016064257,Goldhamster,D0,1,Goldhamster_D0,,5.545312085538667
10,SmoothMuscle,0.01967871485943775,226305.22088353412,Goldhamster,D0,1,Goldhamster_D0,,5.354694573286389
11,InterstitialMacrophages,0.017670682730923693,203212.85140562247,Goldhamster,D0,1,Goldhamster_D0,,5.3079511697440624
12,NK cells,0.015261044176706828,175502.0080321285,Goldhamster,D0,1,Goldhamster_D0,,5.244282089874686
13,Platelets,0.012449799196787148,143172.6907630522,Goldhamster,D0,1,Goldhamster_D0,,5.155860187092148
14,ILC2,0.010040160642570281,115461.84738955823,Goldhamster,D0,1,Goldhamster_D0,,5.062438501929913
15,cDC,0.007630522088353414,87751.00401606425,Goldhamster,D0,1,Goldhamster_D0,,4.943252094210704
16,Erythrocytes,0.001606425702811245,18473.895582329318,Goldhamster,D0,1,Goldhamster_D0,,4.266558484585838
17,Ciliated,0.00040160642570281126,4618.4738955823295,Goldhamster,D0,1,Goldhamster_D0,,3.6644984932578755
18,Mast cells,0.00040160642570281126,4618.4738955823295,Goldhamster,D0,1,Goldhamster_D0,,3.6644984932578755
19,Plasma cells,0.00040160642570281126,4618.4738955823295,Goldhamster,D0,1,Goldhamster_D0,,3.6644984932578755
20,Fibroblasts,0.00040160642570281126,4618.4738955823295,Goldhamster,D0,1,Goldhamster_D0,,3.6644984932578755
21,Endothelial cells,0.24708974840405556,3039203.9053698834,Goldhamster,D0,2,Goldhamster_D0,,6.482759838614412
22,MonocyticMacrophages,0.12392039053698836,1524220.803604957,Goldhamster,D0,2,Goldhamster_D0,,6.183047884878344
23,T cells,0.11978971085242208,1473413.4434847916,Goldhamster,D0,2,Goldhamster_D0,,6.168324628057638
24,Neutrophils,0.09237701840030041,1136237.326323695,Goldhamster,D0,2,Goldhamster_D0,,6.0554690521038355
25,Bcells,0.09049943672549755,1113143.07172362,Goldhamster,D0,2,Goldhamster_D0,,6.046550987575325
26,AlveolarMacrophages,0.07848291400675929,965339.8422831392,Goldhamster,D0,2,Goldhamster_D0,,5.98468023111151
27,AT2,0.07059707097258731,868343.9729628239,Goldhamster,D0,2,Goldhamster_D0,,5.938691794264137
28,Treml4+Macrophages,0.03867818250093879,475741.6447615471,Goldhamster,D0,2,Goldhamster_D0,,5.677371169705629
29,AT1,0.03454750281637251,424934.2846413819,Goldhamster,D0,2,Goldhamster_D0,,5.628321772346012
30,Myofibroblast,0.02853924145700338,351032.6699211416,Goldhamster,D0,2,Goldhamster_D0,,5.545347537281248
31,InterstitialMacrophages,0.019902365752910253,244799.09876079613,Goldhamster,D0,2,Goldhamster_D0,,5.388809814601246
32,SmoothMuscle,0.017273751408186256,212467.14232069094,Goldhamster,D0,2,Goldhamster_D0,,5.3272917766820305
