genes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
B2m,2.6992006,3.1540165,2.8841367,2.9629173,2.9102495,2.8620267,2.6538548,2.463942,2.3163774,1.6997273,1.4158211,1.3123579,1.8304967,2.4292705,2.6256409,2.6751251,2.7921727,2.7658167,2.9011354,2.8900962,2.9377782,3.0208745,3.2517452,3.1721904,3.2502396,3.3357234,3.266322,3.3931844,3.4117348,3.5422938,3.5324793,3.6082046,3.6215527,3.7116563,3.7396731,3.770664,3.8127303,3.8147726,3.8563411,4.009883,3.96927,4.0009956,3.9569173,3.842035,3.9669795,4.069421,4.203193,4.0532985,4.2623887,3.6092124
Ccl3,0.0,0.6329108,0.05262188,0.12564057,0.39979917,0.13561352,0.0,0.0,0.101756684,0.20267308,0.16236192,0.18856987,0.16352202,0.124798395,0.14510372,0.14444306,0.13740286,0.1723883,0.24834307,0.29199597,0.3877551,0.41406217,0.71855927,0.8434178,1.0499495,1.1523678,1.2172593,1.5244458,1.7079875,1.9555985,2.0467584,2.2028396,2.2766247,2.271855,2.7549675,2.8634477,2.9740367,3.445681,3.553839,3.3301733,3.5237164,3.3842196,3.3636918,3.4620168,3.6344185,3.4653456,3.598856,3.907733,3.9741335,4.0690117
Cd274,0.0,0.0,0.06252371,0.05193822,0.0,0.121417314,0.0,0.0,0.026154945,0.04082659,0.012460609,0.043286286,0.05696453,0.08202829,0.09395694,0.09622009,0.10992321,0.1461258,0.17420547,0.17701453,0.22832854,0.20386209,0.3598234,0.43516693,0.50373644,0.5335028,0.53695613,0.77473146,0.67748946,0.94365305,1.0025067,0.9654668,1.0435766,1.1528468,1.2700181,1.052575,1.3114562,1.2240456,1.4780592,1.4693154,1.4850433,1.3867476,1.4459964,1.400772,1.539909,1.5980657,1.5102794,1.6052656,2.0962903,2.4664953
Isg15,0.0,0.102447025,0.0,0.29985845,0.24350327,0.0,0.21578726,0.0,0.65594256,0.57586986,0.67555946,0.8913486,1.6696411,2.4720912,2.7231617,2.5821922,2.5046458,2.5543523,2.5162346,2.6950202,2.7748575,3.3299944,3.7534635,3.6999302,3.7757466,3.8250692,3.9739754,3.7155843,4.005779,3.9587333,3.770622,4.0073056,3.885214,3.8880596,4.0136657,3.9785814,4.2956705,4.01341,4.0525136,4.1265974,3.9513626,4.0518517,3.877148,3.9157133,4.0077744,3.906646,3.7216244,3.8645928,2.910531,2.3010075
Rtp4,0.0,0.46157613,0.09049946,0.43437085,0.20510028,0.20753796,0.2805984,0.13512233,0.39695197,0.24782252,0.2584558,0.26997957,0.42007494,0.59993625,0.74810046,0.8496598,0.87993515,0.8893882,0.94723845,1.024019,0.98842674,1.1047477,1.2372594,1.1807269,1.2218612,1.4274918,1.3717655,1.3054489,1.3587146,1.4402862,1.445283,1.4863509,1.4869984,1.5882702,1.5443727,1.5240417,1.6729083,1.6157037,1.6533588,1.6656919,1.5933322,1.6978315,1.7211269,1.6367171,1.6759714,1.8536307,1.4656712,1.8136543,1.461576,1.5246848
Icam1,0.43550077,0.0,0.0,0.0,0.0,0.0,0.0,0.31066555,0.05575846,0.0400175,0.049806103,0.051932827,0.03015913,0.060547978,0.054918747,0.06398688,0.0737298,0.10292587,0.124870636,0.12189822,0.16750607,0.21845944,0.32341728,0.2976379,0.4673528,0.51620275,0.5099226,0.872948,0.7277503,1.0691586,0.808303,1.1262822,0.9294806,1.1053929,1.4720197,1.1803311,1.0883039,1.2031533,1.5124916,1.4884353,1.5751362,1.4944168,1.4832631,1.4865075,1.519459,1.5520891,1.8465083,1.4865459,2.308413,3.1162748
Plac8,0.0,0.0,0.0,0.049394947,0.0,0.0,0.0,0.0,0.022012942,0.07058809,0.12200641,0.16601388,0.36866543,0.5388039,0.9073968,1.1674374,1.320386,1.2789668,1.2070911,1.0875951,1.1047716,1.3579932,1.4018658,1.5347747,1.920273,1.9639935,2.1781046,1.8001769,2.340841,2.0573814,2.413302,2.324736,2.182967,2.3865395,2.261168,2.0481114,2.2893343,2.098265,2.4549067,2.24644,2.5491612,2.6202638,2.6642854,2.87099,2.8401716,3.0917625,2.4465923,2.1074061,2.9176536,1.5246848
Cxcl10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013369498,0.019214634,0.0124067655,0.037352666,0.082284,0.08917316,0.09951758,0.10907501,0.18891516,0.3870802,0.55206215,0.5881181,0.9728681,0.95888317,0.9908511,0.8176912,0.63277894,1.0275146,1.0961597,0.9836145,1.1892079,1.0909103,1.3674128,1.3954138,1.6077305,1.4487406,1.3677038,1.4786247,1.6224531,1.9039128,1.6931347,1.9185653,2.2224855,2.1747816,1.6939765,2.3124976,2.7484305,2.835403,2.4765213,0.0
Psmb8,0.43550077,0.9622578,0.47613657,0.42323965,0.68264776,0.3673347,0.291499,0.39516756,0.37425593,0.45120984,0.35315847,0.41347766,0.70991606,0.9916271,1.1595904,1.2233912,1.3076122,1.3347948,1.4495541,1.6165856,1.6190119,1.5695055,1.6137518,1.5632117,1.5761957,1.6278746,1.5911885,1.5578928,1.5560664,1.7492881,1.5193771,1.6750213,1.8175375,1.9455156,1.8504552,2.000458,1.8049904,1.7392375,1.7539834,1.7671256,1.7689198,1.8244534,1.685062,1.8267103,1.6558031,1.8082927,1.9494389,2.1087463,1.5916009,0.0
Marcksl1,0.0,0.0,0.0,0.0,0.0,0.0,0.05731367,0.0,0.06356476,0.0070845154,0.0024515493,0.0121144485,0.015832689,0.023896743,0.011093824,0.022118308,0.03389822,0.05701387,0.074758604,0.07460736,0.08927604,0.13037325,0.22361124,0.1739337,0.27963385,0.2828346,0.39729598,0.45155331,0.38584846,0.606551,0.4187768,0.7102055,0.7118788,0.6772223,1.0435715,1.075513,0.90137464,1.1151588,1.2635115,1.4297271,1.7193942,1.58107,1.543698,1.6274725,1.6120244,1.7100393,1.638713,1.1161727,2.2430716,1.0284929
