,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,Enrichment_Term,score,significance_str,immune_related
5,prerank,KEGG_2021_Human__Ribosome,-0.5994825174163297,-2.4694017971757667,0.0,0.0,0.0,58/117,18.33%,RPS16;RPS27A;RPL26;RPS29;RPL31;RPL3;FAU;RPS8;RPS15;RPL12;RPL30;MRPL33;RPS20;RPS23;RPS13;RPL35;RPL27A;RPL13A;RPS18;RPS28;RPL37A;RPL22;RPS25;RPLP2;RPL18;RPS17;RPS19;RPL28;UBA52;RPL7A;RPS21;RPL34;RPL36;RPS7;RPL39;MRPL34;MRPL14;RPL37;RPS4Y2;RPL23A;RPL21;RPL9;RPS24;RPS3;RPL7;RPL5;RPL36AL;RPL38;RPL23;MRPS21;RPS14;RPL8;RPL10;MRPL18;RPL19;RPS3A;RPL14;RPL24,KEGG_2021_Human,Ribosome,5.0,****,False
10,prerank,KEGG_2021_Human__Retrograde endocannabinoid signaling,-0.6161918944061782,-2.3155854929135526,0.0,0.0,0.0,36/66,19.32%,GNG5;NDUFA4;NDUFS5;NDUFA13;NDUFA3;ND4;NDUFA2;NDUFC2-KCTD14;GNAQ;NDUFA1;NDUFB10;GNAI1;ND1;NDUFB5;MAPK3;NDUFB4;NDUFB8;GNG12;NDUFA7;NDUFS7;MGLL;NDUFS8;NDUFB1;NDUFB3;NDUFB11;GNB2;NDUFB2;NDUFC1;NDUFA8;NDUFA12;ND5;ITPR3;NDUFB7;NDUFA11;ND6;MAPK1,KEGG_2021_Human,Retrograde endocannabinoid signaling,5.0,****,False
18,prerank,KEGG_2021_Human__Oxidative phosphorylation,-0.5076072092978898,-2.041058911593856,0.0,0.0011084303209864198,0.004,42/98,18.64%,NDUFA4;NDUFS5;NDUFA13;ATP6V1G1;ATP5F1E;NDUFA3;ND4;CYTB;COX1;NDUFA2;NDUFC2-KCTD14;ATP5F1D;NDUFA1;NDUFB10;ATP6V0C;ATP5ME;ND1;NDUFB5;NDUFB4;NDUFB8;ATP5MC2;ATP5F1C;NDUFA7;NDUFS7;NDUFS8;NDUFB1;NDUFB3;ATP5MG;NDUFB11;NDUFB2;NDUFC1;NDUFA8;NDUFA12;ATP6V1E1;ND5;ATP5PB;COX2;NDUFB7;SDHD;ATP6V1A;NDUFA11;ND6,KEGG_2021_Human,Oxidative phosphorylation,2.955291602650742,**,False
23,prerank,KEGG_2021_Human__Diabetic cardiomyopathy,-0.46123560181349726,-1.917854802528954,0.0,0.006234920555548611,0.026,45/123,18.64%,NDUFA4;CD36;NDUFS5;CTSD;NDUFA13;ATP5F1E;NDUFA3;RAC1;ND4;CYTB;COX1;NDUFA2;NDUFC2-KCTD14;ATP5F1D;MMP2;NDUFA1;NDUFB10;ND1;NDUFB5;NDUFB4;NDUFB8;SLC25A4;ATP5MC2;ATP5F1C;NDUFA7;NDUFS7;NDUFS8;TGFBR2;NDUFB1;NDUFB3;NDUFB11;NDUFB2;NDUFC1;PTEN;NDUFA8;GSK3B;NDUFA12;MPC1;ND5;ATP5PB;COX2;NDUFB7;SDHD;NDUFA11;ND6,KEGG_2021_Human,Diabetic cardiomyopathy,2.205169075867342,**,False
30,prerank,MSigDB_Hallmark_2020__UV Response Dn,-0.48670328813105,-1.8546174106960716,0.0,0.011804782918505369,0.061,29/76,15.74%,NRP1;TJP1;DLC1;SRI;CAV1;NFIB;SYNE1;ATP2B4;RBPMS;PTPRM;ATP2B1;ATRX;PRKAR2B;SIPA1L1;ACVR2A;MGLL;GRK5;TGFBR2;IGF1R;IGFBP5;PRKCE;PTEN;PLPP3;TFPI;ZMIZ1;ADD3;TGFBR3;RXRA;KIT,MSigDB_Hallmark_2020,UV Response Dn,1.9279419948759855,*,False
33,prerank,KEGG_2021_Human__Melanogenesis,-0.5631378487880243,-1.825750690126278,0.0,0.01565657828393318,0.098,18/35,25.86%,CALM2;CALM1;GNAQ;GNAI1;KITLG;MAPK3;FZD6;GNAS;GSK3B;EDNRB;KIT;EP300;MAPK1;CREB1;CAMK2G;HRAS;PRKACA;CTNNB1,KEGG_2021_Human,Melanogenesis,1.8053031461592657,*,False
34,prerank,KEGG_2021_Human__Aldosterone synthesis and secretion,-0.5770404827990755,-1.794138228200528,0.0,0.019951745777755558,0.142,17/29,25.67%,CALM2;CALM1;ATP2B4;GNAQ;GNA11;SCARB1;ATP2B1;GNAS;ATF4;NR4A1;PRKCE;ITPR3;NPR1;CREB1;ATP1A1;CAMK2G;PRKACA,KEGG_2021_Human,Aldosterone synthesis and secretion,1.7000190975474359,*,False
38,prerank,KEGG_2021_Human__Dopaminergic synapse,-0.4880670041504068,-1.757788182632493,0.0,0.02732973510182141,0.208,23/53,25.78%,GNG5;CALM2;CALM1;MAOA;GNAQ;GNAI1;GNG12;GNAS;ATF4;PPP2R5E;GNB2;FOS;GSK3B;PPP3CA;ITPR3;KIF5B;COMT;ARRB2;ARRB1;CREB1;CAMK2G;PRKACA;MAPK14,KEGG_2021_Human,Dopaminergic synapse,1.5633645777612275,*,False
40,prerank,KEGG_2021_Human__Calcium signaling pathway,-0.4891262593388408,-1.7433236683558366,0.0,0.029465772699555658,0.245,21/52,16.46%,KDR;HGF;CALM2;CALM1;ADRB1;ATP2B4;GNAQ;ITPKB;CXCR4;GNA11;TPCN1;ATP2B1;PDGFB;SLC25A4;GNAS;FLT1;TBXA2R;EDNRB;PPP3CA;ITPR3;FLT4,KEGG_2021_Human,Calcium signaling pathway,1.5306821656411855,*,True
41,prerank,KEGG_2021_Human__Signaling pathways regulating pluripotency of stem cells,-0.4782410957799975,-1.737106923408397,0.0017301038062283738,0.029096295925893516,0.267,27/57,25.86%,BMPR2;ID3;TBX3;LIFR;KLF4;MAPK3;FZD6;ACVR2A;IGF1R;ZFHX3;ID4;KAT6A;GSK3B;BMP4;JAK1;ID2;JARID2;AXIN2;MEIS1;MAPK1;APC;SMAD5;PCGF5;GRB2;HRAS;MAPK14;CTNNB1,KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1.5361622949087663,*,False
43,prerank,KEGG_2021_Human__Adherens junction,-0.500681897871414,-1.7171659513916133,0.008605851979345954,0.03370635839726885,0.319,18/44,19.32%,TJP1;WASF2;RAC1;PTPRB;PTPRM;AFDN;SORBS1;MAPK3;VCL;TGFBR2;NECTIN3;IGF1R;ACTN4;IQGAP1;WASL;EP300;RHOA;MAPK1,KEGG_2021_Human,Adherens junction,1.4722881657051252,*,False
