,index,Time,hamster,Organism,Dosage,RORC+ CD4+CD8- T cells,RORC- CD4+CD8- T cells,percent Rorc+,Dosage_Time
0,0,0 dpi,Ha1_ma,Syrian hamster,0 pfu,12,206,0.05504587155963303,0 pfu_0 dpi
1,1,0 dpi,Ha1_pr,Roborovski hamster,0 pfu,31,364,0.07848101265822785,0 pfu_0 dpi
2,2,0 dpi,Ha2_ma,Syrian hamster,0 pfu,7,226,0.030042918454935622,0 pfu_0 dpi
3,3,0 dpi,Ha2_pr,Roborovski hamster,0 pfu,21,171,0.109375,0 pfu_0 dpi
4,4,0 dpi,Ha3_ma,Syrian hamster,0 pfu,22,394,0.052884615384615384,0 pfu_0 dpi
5,5,0 dpi,Ha3_pr,Roborovski hamster,0 pfu,17,210,0.07488986784140969,0 pfu_0 dpi
6,6,2 dpi,Ha1_ma,Syrian hamster,1x10$^5$ pfu,1,36,0.02702702702702703,1x10$^5$ pfu_2 dpi
7,7,2 dpi,Ha1_pr,Roborovski hamster,1x10$^4$ pfu,27,224,0.10756972111553785,1x10$^4$ pfu_2 dpi
8,8,2 dpi,Ha1_pr,Roborovski hamster,1x10$^5$ pfu,18,88,0.16981132075471697,1x10$^5$ pfu_2 dpi
9,9,2 dpi,Ha2_ma,Syrian hamster,1x10$^5$ pfu,6,187,0.031088082901554404,1x10$^5$ pfu_2 dpi
10,10,2 dpi,Ha2_pr,Roborovski hamster,1x10$^4$ pfu,16,380,0.04040404040404041,1x10$^4$ pfu_2 dpi
11,11,2 dpi,Ha2_pr,Roborovski hamster,1x10$^5$ pfu,19,111,0.14615384615384616,1x10$^5$ pfu_2 dpi
12,12,2 dpi,Ha3_ma,Syrian hamster,1x10$^5$ pfu,7,342,0.02005730659025788,1x10$^5$ pfu_2 dpi
13,13,2 dpi,Ha3_pr,Roborovski hamster,1x10$^4$ pfu,29,413,0.06561085972850679,1x10$^4$ pfu_2 dpi
14,14,2 dpi,Ha3_pr,Roborovski hamster,1x10$^5$ pfu,13,103,0.11206896551724138,1x10$^5$ pfu_2 dpi
15,15,3 dpi,Ha1_ma,Syrian hamster,1x10$^5$ pfu,9,260,0.03345724907063197,1x10$^5$ pfu_3 dpi
16,16,3 dpi,Ha1_pr,Roborovski hamster,1x10$^4$ pfu,26,161,0.13903743315508021,1x10$^4$ pfu_3 dpi
17,17,3 dpi,Ha1_pr,Roborovski hamster,1x10$^5$ pfu,18,154,0.10465116279069768,1x10$^5$ pfu_3 dpi
18,18,3 dpi,Ha2_ma,Syrian hamster,1x10$^5$ pfu,15,281,0.05067567567567568,1x10$^5$ pfu_3 dpi
19,19,3 dpi,Ha2_pr,Roborovski hamster,1x10$^4$ pfu,69,174,0.2839506172839506,1x10$^4$ pfu_3 dpi
20,20,3 dpi,Ha2_pr,Roborovski hamster,1x10$^5$ pfu,7,112,0.058823529411764705,1x10$^5$ pfu_3 dpi
21,21,3 dpi,Ha3_ma,Syrian hamster,1x10$^5$ pfu,7,219,0.030973451327433628,1x10$^5$ pfu_3 dpi
22,22,3 dpi,Ha3_pr,Roborovski hamster,1x10$^4$ pfu,24,187,0.11374407582938388,1x10$^4$ pfu_3 dpi
23,23,3 dpi,Ha3_pr,Roborovski hamster,1x10$^5$ pfu,28,235,0.10646387832699619,1x10$^5$ pfu_3 dpi
24,24,5 dpi,Ha1_ma,Syrian hamster,1x10$^5$ pfu,4,205,0.019138755980861243,1x10$^5$ pfu_5 dpi
25,25,5 dpi,Ha2_ma,Syrian hamster,1x10$^5$ pfu,4,164,0.023809523809523808,1x10$^5$ pfu_5 dpi
26,26,5 dpi,Ha3_ma,Syrian hamster,1x10$^5$ pfu,4,122,0.031746031746031744,1x10$^5$ pfu_5 dpi
27,27,14 dpi,Ha1_ma,Syrian hamster,1x10$^5$ pfu,12,247,0.04633204633204633,1x10$^5$ pfu_14 dpi
28,28,14 dpi,Ha2_ma,Syrian hamster,1x10$^5$ pfu,6,266,0.022058823529411766,1x10$^5$ pfu_14 dpi
29,29,14 dpi,Ha3_ma,Syrian hamster,1x10$^5$ pfu,1,196,0.005076142131979695,1x10$^5$ pfu_14 dpi
