Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sampling_timepoint,sars-cov-2_infection,source_name,SRA Study,tissue,adapter_sequence
SRR13151627,RNA-Seq,92,19977533292,PRJNA681002,SAMN16928374,5992083689,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9591789,GSM4946629,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mesocricetus auratus,ILLUMINA,2020-12-19T00:00:00Z,GSM4946629,0h,no,Syrian gold hamster,SRP294356,lung,
SRR13151628,RNA-Seq,92,21989906240,PRJNA681002,SAMN16928381,6625875458,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9591790,GSM4946630,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mesocricetus auratus,ILLUMINA,2020-12-19T00:00:00Z,GSM4946630,0h,no,Syrian gold hamster,SRP294356,lung,
SRR13151629,RNA-Seq,92,22815342752,PRJNA681002,SAMN16928380,6818227312,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9591791,GSM4946631,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mesocricetus auratus,ILLUMINA,2020-12-19T00:00:00Z,GSM4946631,0h,no,Syrian gold hamster,SRP294356,lung,
SRR13151633,RNA-Seq,92,25507125120,PRJNA681002,SAMN16929071,8059918446,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9591795,GSM4946635,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mesocricetus auratus,ILLUMINA,2020-12-19T00:00:00Z,GSM4946635,2dpi,yes,Syrian gold hamster,SRP294356,lung,
SRR13151634,RNA-Seq,92,27989833164,PRJNA681002,SAMN16929070,8600384700,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9591796,GSM4946636,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mesocricetus auratus,ILLUMINA,2020-12-19T00:00:00Z,GSM4946636,2dpi,yes,Syrian gold hamster,SRP294356,lung,
SRR13151635,RNA-Seq,92,18034518224,PRJNA681002,SAMN16929069,5589557124,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9591797,GSM4946637,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mesocricetus auratus,ILLUMINA,2020-12-19T00:00:00Z,GSM4946637,2dpi,yes,Syrian gold hamster,SRP294356,lung,
SRR13151639,RNA-Seq,92,21214893180,PRJNA681002,SAMN16928404,6309027141,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9591801,GSM4946641,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mesocricetus auratus,ILLUMINA,2020-12-19T00:00:00Z,GSM4946641,3dpi,yes,Syrian gold hamster,SRP294356,lung,
SRR13151640,RNA-Seq,92,19716793884,PRJNA681002,SAMN16928403,5869883754,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9591802,GSM4946642,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mesocricetus auratus,ILLUMINA,2020-12-19T00:00:00Z,GSM4946642,3dpi,yes,Syrian gold hamster,SRP294356,lung,
SRR13151641,RNA-Seq,92,19504517408,PRJNA681002,SAMN16928402,5813605699,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9591803,GSM4946643,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mesocricetus auratus,ILLUMINA,2020-12-19T00:00:00Z,GSM4946643,3dpi,yes,Syrian gold hamster,SRP294356,lung,
SRR13151645,RNA-Seq,92,27658590108,PRJNA681002,SAMN16928398,8436959661,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9591807,GSM4946647,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mesocricetus auratus,ILLUMINA,2020-12-19T00:00:00Z,GSM4946647,5dpi,yes,Syrian gold hamster,SRP294356,lung,
